,city,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,Latitude,Longitude
29,Beekdaelen,0.0,0.0,1.0,2.0,2.0,4.0,5.0,8.0,0.0,8.0,9.0,12.0,13.0,15.0,18.0,18.0,19.0,19.0,19.0,20.0,50.93449595,5.88869051100548
30,Beemster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.56245505,4.919867904155717
31,Beesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,51.2688217,6.0416706
32,Berg en Dal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,6.0,6.0,10.0,14.0,14.0,18.0,20.0,25.0,30.0,33.0,51.825911,5.9100697
33,Bergeijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,51.30452025,5.318413747169572
34,Bergen (L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,51.6012568,6.0469005
35,Bergen (NH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,6.0,8.0,9.0,52.66725715,4.697223541303441
36,Bergen (NH.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.66725715,4.697223541303441
37,Bergen op Zoom,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,10.0,12.0,51.4965864,4.289740797263708
38,Berkelland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,52.10152,6.618404626883939
39,Bernheze,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,13.0,15.0,16.0,19.0,20.0,26.0,30.0,37.0,41.0,57.0,62.0,51.683532850000006,5.521242816477055
