,city,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,Latitude,Longitude
124,Hardinxveld-Giessendam,1.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,51.83862405,4.824610423909343
125,Harlingen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,53.17364,5.42087
126,Hattem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.476711699999996,6.061913261141655
127,Heemskerk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,52.51011775,4.635060887073173
128,Heemstede,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,7.0,11.0,11.0,13.0,52.3427475,4.618043843137004
129,Heerde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,5.0,9.0,9.0,13.0,52.3896323,6.0393181
130,Heerenveen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,52.9568246,5.9270052
131,Heerhugowaard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,8.0,10.0,52.6780162,4.851688593963786
132,Heerlen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,6.0,8.0,14.0,15.0,18.0,19.0,24.0,29.0,50.87627725,5.982795215474173
133,Heeze-Leende,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,7.0,7.0,51.35863595,5.577977300926967
134,Heiloo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,52.60192475,4.70503175175436
135,Hellendoorn,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,52.3901258,6.447899
136,Hellevoetsluis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,51.8433469,4.121302772091925
137,Helmond,4.0,4.0,4.0,4.0,5.0,7.0,11.0,12.0,14.0,16.0,17.0,17.0,17.0,19.0,20.0,22.0,26.0,32.0,38.0,49.0,51.47356795,5.6671089885064525
138,Hendrik-Ido-Ambacht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,51.84664995,4.634280416662918
139,Hengelo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2523195,6.795525590808008
140,Hengelo (O),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,13.0,15.0,15.0,52.2523195,6.795525590808008
141,Het Hogeland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,53.41292275,6.505729937635983
142,Heumen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,6.0,7.0,7.0,7.0,9.0,51.7653817,5.8442265
143,Heusden,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,11.0,15.0,16.0,51.7335641,5.1382012
144,Hillegom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,52.2921995,4.5835031
145,Hilvarenbeek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,51.4862924,5.1379984
146,Hilversum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,52.23158695,5.173493602392345
147,Hoeksche Waard,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,12.0,17.0,17.0,21.0,23.0,51.767479249999994,4.435494000691374
148,Hof van Twente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,52.2359271,6.5668637425282705
149,Hollands Kroon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,7.0,8.0,52.875946799999994,4.965504712047365
150,Hoogeveen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,52.7202393,6.4759313
151,Hoorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,8.0,9.0,11.0,52.622545450000004,5.067726588147824
152,Horst aan de Maas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,8.0,8.0,10.0,11.0,13.0,13.0,16.0,51.4515953,6.030898893223135
153,Houten,1.0,9.0,9.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,17.0,17.0,19.0,23.0,25.0,52.03061555,5.1612166394266765
154,Huizen,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,52.296484449999994,5.240582040690262
155,Hulst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2822909,4.0532016
156,IJsselstein,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,7.0,8.0,8.0,11.0,13.0,16.0,52.026205250000004,5.028685923229064
157,Kaag en Braassem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,52.193046249999995,4.621636649034843
158,Kampen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,12.0,14.0,17.0,52.576263100000006,5.8681694696797395
159,Kapelle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,51.48635,3.95913
160,Katwijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,6.0,6.0,52.19660355,4.396804776123671
161,Kerkrade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,5.0,6.0,8.0,8.0,50.8654924,6.0632022
162,Koggenland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,52.64758125,4.952321716593174
163,Krimpen aan den IJssel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,51.9166979,4.608369872564271
164,Krimpenerwaard,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,9.0,11.0,11.0,51.955741950000004,4.75784699750764
165,Laarbeek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,8.0,11.0,13.0,51.53228435,5.61265248893554
166,Landerd,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,10.0,14.0,16.0,18.0,20.0,20.0,22.0,23.0,51.70925615,5.650857375128425
167,Landgraaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,9.0,10.0,11.0,50.902456599999994,6.02931034376856
168,Landsmeer,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,52.44966555,4.9302029546875765
169,Langedijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,52.6899114,4.778732158075601
170,Lansingerland,0.0,0.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,7.0,10.0,13.0,14.0,16.0,20.0,20.0,52.01101685,4.507645445233463
171,Laren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.24253135,5.216244030438074
172,Leeuwarden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,8.0,8.0,10.0,53.2005936,5.7918548
173,Leiden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,8.0,11.0,12.0,14.0,16.0,16.0,16.0,52.1518157,4.4811088666204295
174,Leiderdorp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,52.15705765,4.543378647059756
175,Leidschendam-Voorburg,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,9.0,10.0,10.0,52.09260105,4.4321249720751625
176,Lelystad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,7.0,8.0,10.0,12.0,13.0,15.0,15.0,19.0,21.0,52.5150949,5.4768915
177,Leudal,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,4.0,6.0,6.0,7.0,8.0,11.0,13.0,16.0,20.0,22.0,23.0,51.2339148,5.895853139985457
178,Leusden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,7.0,52.1187668,5.417118899734083
179,Lingewaard,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,9.0,10.0,51.9074337,5.9439721314706215
180,Lisse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.2540183,4.541928029675811
181,Lochem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,52.158471,6.4144888
182,Loon op Zand,5.0,5.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,9.0,11.0,13.0,14.0,16.0,17.0,51.6271273,5.07407
183,Lopik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,6.0,9.0,51.9752848,4.9491743
184,Loppersum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3320144,6.7469502
185,Losser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.2620369,7.0046452
186,Maasdriel,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,51.7853378,5.316792505584603
187,Maasgouw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,7.0,8.0,9.0,51.1577134,5.894547348825503
188,Maassluis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,6.0,51.9266671,4.244000657157326
189,Maastricht,0.0,0.0,2.0,3.0,4.0,6.0,7.0,8.0,8.0,10.0,16.0,21.0,24.0,33.0,41.0,42.0,56.0,57.0,59.0,60.0,50.8512438,5.6909768
190,Medemblik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,52.768691,5.106195
191,Meerssen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,50.8850867,5.7529708
192,Meierijstad,0.0,0.0,0.0,1.0,4.0,10.0,11.0,13.0,18.0,25.0,30.0,34.0,42.0,49.0,60.0,72.0,81.0,95.0,119.0,127.0,51.58844725,5.516390104700668
193,Meppel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,52.711744350000004,6.197307325163717
194,Middelburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,51.50529485,3.6100710049422853
195,Midden-Delfland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,51.97058165,4.322980951300874
196,Midden-Drenthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,52.87061935,6.568055858657804
197,Midden-Groningen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,53.184673599999996,6.7795735147296075
198,Mill en Sint Hubert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,51.67911945,5.78699324714527
199,Moerdijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,51.703314,4.6258899
200,Molenlanden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,7.0,9.0,11.0,11.0,11.0,11.0,51.891504350000005,4.836502649912571
201,Montferland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,51.92400575,6.205514601615217
202,Montfoort,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.0387833,4.956087684635074
203,Mook en Middelaar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,51.74830635,5.906406373368311
204,Neder-Betuwe,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,9.0,9.0,51.92150995,5.616123265710504
205,Nederweert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,8.0,9.0,51.2856418,5.7496037
206,Nieuwegein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,6.0,8.0,9.0,9.0,11.0,52.0298704,5.0929333789192395
207,Nieuwkoop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,52.1405891,4.786696497900001
208,Nijkerk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,52.2220116,5.4823124
209,Nijmegen,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,8.0,9.0,12.0,17.0,31.0,41.0,48.0,55.0,60.0,68.0,79.0,51.8427385,5.8634696
210,Nissewaard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,7.0,11.0,12.0,15.0,15.0,51.82787345,4.305284305924035
211,Noardeast-Fryslân,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,53.3681579,5.938900135147189
212,Noord-Beveland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.56520675,3.8009095733783114
213,Noordenveld,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53.0953746,6.420844296734667
214,Noordoostpolder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,52.7264415,5.703605604549722
215,Noordwijk,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,6.0,6.0,52.2698936,4.452685652490141
216,"Nuenen, Gerwen en Nederwetten",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,51.48603,5.544006988824241
217,Nunspeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,9.0,13.0,17.0,52.378571,5.780886
218,Oegstgeest,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,52.1833669,4.472129402976295
219,Oirschot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,51.5032385,5.3155486
220,Oisterwijk,0.0,0.0,1.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,9.0,10.0,10.0,10.0,12.0,15.0,16.0,16.0,51.5778742,5.1938101
221,Oldambt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2223408,7.068982392062174
222,Oldebroek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,6.0,7.0,7.0,52.4456068,5.8990319
223,Oldenzaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,6.0,6.0,6.0,52.30853685,6.914603743122237
224,Olst-Wijhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,52.3756076,6.146510651573131
225,Ommen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,6.0,52.5208023,6.4251941
226,Oost Gelre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,52.0153031,6.561010327461535
227,Oosterhout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,5.0,6.0,8.0,9.0,9.0,12.0,13.0,16.0,22.0,51.6447215,4.8608337
228,Ooststellingwerf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.99085895,6.304963752820772
229,Oostzaan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,52.45218065,4.868548732505015
230,Opmeer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.704381749999996,4.928568037131412
231,Opsterland,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,53.04680105,6.095135723829035
232,Oss,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,11.0,14.0,20.0,26.0,35.0,44.0,59.0,65.0,51.7689067,5.5223672
233,Oude IJsselstreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,51.90269995,6.391753286370878
234,Ouder-Amstel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,52.2946678,4.91646890749465
235,Oudewater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,52.02015625,4.896559775204166
236,Overbetuwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,8.0,9.0,9.0,11.0,15.0,20.0,22.0,30.0,51.921961249999995,5.786081549088322
237,Papendrecht,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,5.0,51.834666999999996,4.704688255674374
238,Peel en Maas,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,8.0,10.0,14.0,19.0,31.0,36.0,41.0,49.0,63.0,64.0,69.0,51.33064175,5.979363705773345
239,Pekela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,53.067078300000006,6.965987960024869
240,Pijnacker-Nootdorp,0.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,52.0111357,4.426848138072311
241,Purmerend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,7.0,11.0,14.0,20.0,22.0,52.4997208,4.964420036889974
242,Putten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,52.2608751,5.6100469
243,Raalte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,52.3857034,6.2718277
244,Reimerswaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,51.44300185,4.101441031156753
245,Renkum,0.0,0.0,1.0,1.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,51.9751065,5.7335691
246,Renswoude,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.072421899999995,5.5308677368115005
247,Reusel-De Mierden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.37099705,5.1468666691668705
248,Rheden,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,7.0,7.0,10.0,12.0,52.0043836,6.0302806
249,Rhenen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.980847600000004,5.5745623668309925
250,Ridderkerk,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,51.8709913,4.592647897485351
251,Rijssen-Holten,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,4.0,52.284324850000004,6.440777380657181
252,Rijswijk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,7.0,52.03739335,4.322502837527406
253,Roerdalen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,6.0,7.0,51.14172275,5.992474016651388
254,Roermond,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,13.0,15.0,18.0,21.0,23.0,51.190174,5.9914098
255,Roosendaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,6.0,6.0,7.0,8.0,8.0,11.0,16.0,51.5304587,4.464493820524657
256,Rotterdam,3.0,5.0,9.0,11.0,14.0,14.0,15.0,15.0,15.0,20.0,24.0,25.0,30.0,41.0,58.0,81.0,104.0,120.0,139.0,149.0,51.9228958,4.4631727
257,Rozendaal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,52.0394752,5.963024982504363
