,city,Latitude,Longitude,date,confirmed
90,Edam-Volendam,52.54861165,5.026615664206329,2020-03-04,0
91,Ede,52.0458265,5.6702011,2020-03-04,0
92,Eemnes,52.2547415,5.286070995513654,2020-03-04,0
93,Eersel,51.3586373,5.3201315,2020-03-04,0
94,Eijsden-Margraten,50.804994199999996,5.768281652884866,2020-03-04,0
95,Eindhoven,51.44855695,5.450122521857143,2020-03-04,1
96,Elburg,52.44875,5.83334,2020-03-04,0
97,Emmen,52.788937,6.8939001,2020-03-04,0
98,Enkhuizen,52.7577195,5.320694082212098,2020-03-04,0
99,Enschede,52.2209855,6.8940537,2020-03-04,0
100,Epe,52.34781,5.98399,2020-03-04,0
101,Ermelo,52.30015,5.62302,2020-03-04,0
102,Etten-Leur,51.57593705,4.6432215835526325,2020-03-04,0
103,Geertruidenberg,51.7010947,4.8597583,2020-03-04,0
104,Geldrop-Mierlo,51.43182315,5.5918099053219965,2020-03-04,0
105,Gemert-Bakel,51.5410462,5.755361244704551,2020-03-04,0
106,Gennep,51.700959999999995,5.9678631520832495,2020-03-04,0
107,Gilze en Rijen,51.56323905,4.913039391005126,2020-03-04,0
108,Goeree-Overflakkee,51.7525798,4.1224115085591055,2020-03-04,0
109,Goes,51.503979,3.89029,2020-03-04,0
110,Goirle,51.5239585,5.0661977,2020-03-04,0
111,Gooise Meren,52.322224000000006,5.104556785563771,2020-03-04,1
112,Gorinchem,51.8421872,4.974600467260094,2020-03-04,0
113,Gouda,52.018119350000006,4.711122134697802,2020-03-04,0
114,Grave,51.75787,3.89029,2020-03-04,0
115,Groningen,53.2190652,6.5680077,2020-03-04,0
116,Gulpen-Wittem,50.79962605,5.890529675273097,2020-03-04,0
117,Haaksbergen,52.16212075,6.775353827101859,2020-03-04,0
118,Haaren,51.6036127,5.2272278,2020-03-04,0
119,Haarlem,52.3885317,4.6388048,2020-03-04,1
120,Haarlemmermeer,52.3238421,4.715261248876009,2020-03-04,0
121,Halderberge,51.58976405,4.513483321011281,2020-03-04,0
122,Hardenberg,52.5754706,6.6188242,2020-03-04,0
123,Harderwijk,52.33599915,5.640271521392062,2020-03-04,0
124,Hardinxveld-Giessendam,51.83862405,4.824610423909343,2020-03-04,1
125,Harlingen,53.17364,5.42087,2020-03-04,0
126,Hattem,52.476711699999996,6.061913261141655,2020-03-04,0
127,Heemskerk,52.51011775,4.635060887073173,2020-03-04,0
128,Heemstede,52.3427475,4.618043843137004,2020-03-04,0
129,Heerde,52.3896323,6.0393181,2020-03-04,0
130,Heerenveen,52.9568246,5.9270052,2020-03-04,0
131,Heerhugowaard,52.6780162,4.851688593963786,2020-03-04,0
132,Heerlen,50.87627725,5.982795215474173,2020-03-04,0
133,Heeze-Leende,51.35863595,5.577977300926967,2020-03-04,0
134,Heiloo,52.60192475,4.70503175175436,2020-03-04,0
135,Hellendoorn,52.3901258,6.447899,2020-03-04,0
136,Hellevoetsluis,51.8433469,4.121302772091925,2020-03-04,0
137,Helmond,51.47356795,5.6671089885064525,2020-03-04,4
138,Hendrik-Ido-Ambacht,51.84664995,4.634280416662918,2020-03-04,0
139,Hengelo,52.2523195,6.795525590808008,2020-03-04,0
140,Hengelo (O),52.2523195,6.795525590808008,2020-03-04,0
141,Het Hogeland,53.41292275,6.505729937635983,2020-03-04,0
142,Heumen,51.7653817,5.8442265,2020-03-04,0
143,Heusden,51.7335641,5.1382012,2020-03-04,0
144,Hillegom,52.2921995,4.5835031,2020-03-04,0
145,Hilvarenbeek,51.4862924,5.1379984,2020-03-04,0
146,Hilversum,52.23158695,5.173493602392345,2020-03-04,0
147,Hoeksche Waard,51.767479249999994,4.435494000691374,2020-03-04,1
148,Hof van Twente,52.2359271,6.5668637425282705,2020-03-04,0
149,Hollands Kroon,52.875946799999994,4.965504712047365,2020-03-04,0
150,Hoogeveen,52.7202393,6.4759313,2020-03-04,0
151,Hoorn,52.622545450000004,5.067726588147824,2020-03-04,0
152,Horst aan de Maas,51.4515953,6.030898893223135,2020-03-04,0
153,Houten,52.03061555,5.1612166394266765,2020-03-04,1
154,Huizen,52.296484449999994,5.240582040690262,2020-03-04,0
155,Hulst,51.2822909,4.0532016,2020-03-04,0
156,IJsselstein,52.026205250000004,5.028685923229064,2020-03-04,0
157,Kaag en Braassem,52.193046249999995,4.621636649034843,2020-03-04,0
158,Kampen,52.576263100000006,5.8681694696797395,2020-03-04,0
159,Kapelle,51.48635,3.95913,2020-03-04,0
160,Katwijk,52.19660355,4.396804776123671,2020-03-04,0
161,Kerkrade,50.8654924,6.0632022,2020-03-04,0
162,Koggenland,52.64758125,4.952321716593174,2020-03-04,0
163,Krimpen aan den IJssel,51.9166979,4.608369872564271,2020-03-04,0
164,Krimpenerwaard,51.955741950000004,4.75784699750764,2020-03-04,0
165,Laarbeek,51.53228435,5.61265248893554,2020-03-04,0
166,Landerd,51.70925615,5.650857375128425,2020-03-04,0
167,Landgraaf,50.902456599999994,6.02931034376856,2020-03-04,0
168,Landsmeer,52.44966555,4.9302029546875765,2020-03-04,0
169,Langedijk,52.6899114,4.778732158075601,2020-03-04,0
170,Lansingerland,52.01101685,4.507645445233463,2020-03-04,0
171,Laren,52.24253135,5.216244030438074,2020-03-04,0
172,Leeuwarden,53.2005936,5.7918548,2020-03-04,0
173,Leiden,52.1518157,4.4811088666204295,2020-03-04,0
174,Leiderdorp,52.15705765,4.543378647059756,2020-03-04,0
175,Leidschendam-Voorburg,52.09260105,4.4321249720751625,2020-03-04,0
176,Lelystad,52.5150949,5.4768915,2020-03-04,0
177,Leudal,51.2339148,5.895853139985457,2020-03-04,0
178,Leusden,52.1187668,5.417118899734083,2020-03-04,0
179,Lingewaard,51.9074337,5.9439721314706215,2020-03-04,0
180,Lisse,52.2540183,4.541928029675811,2020-03-04,0
181,Lochem,52.158471,6.4144888,2020-03-04,0
182,Loon op Zand,51.6271273,5.07407,2020-03-04,5
183,Lopik,51.9752848,4.9491743,2020-03-04,0
184,Loppersum,53.3320144,6.7469502,2020-03-04,0
185,Losser,52.2620369,7.0046452,2020-03-04,0
186,Maasdriel,51.7853378,5.316792505584603,2020-03-04,0
187,Maasgouw,51.1577134,5.894547348825503,2020-03-04,0
188,Maassluis,51.9266671,4.244000657157326,2020-03-04,0
189,Maastricht,50.8512438,5.6909768,2020-03-04,0
190,Medemblik,52.768691,5.106195,2020-03-04,0
191,Meerssen,50.8850867,5.7529708,2020-03-04,0
192,Meierijstad,51.58844725,5.516390104700668,2020-03-04,0
193,Meppel,52.711744350000004,6.197307325163717,2020-03-04,0
194,Middelburg,51.50529485,3.6100710049422853,2020-03-04,0
195,Midden-Delfland,51.97058165,4.322980951300874,2020-03-04,0
196,Midden-Drenthe,52.87061935,6.568055858657804,2020-03-04,0
197,Midden-Groningen,53.184673599999996,6.7795735147296075,2020-03-04,0
198,Mill en Sint Hubert,51.67911945,5.78699324714527,2020-03-04,0
199,Moerdijk,51.703314,4.6258899,2020-03-04,0
200,Molenlanden,51.891504350000005,4.836502649912571,2020-03-04,0
201,Montferland,51.92400575,6.205514601615217,2020-03-04,0
202,Montfoort,52.0387833,4.956087684635074,2020-03-04,0
203,Mook en Middelaar,51.74830635,5.906406373368311,2020-03-04,0
204,Neder-Betuwe,51.92150995,5.616123265710504,2020-03-04,0
205,Nederweert,51.2856418,5.7496037,2020-03-04,0
206,Nieuwegein,52.0298704,5.0929333789192395,2020-03-04,0
207,Nieuwkoop,52.1405891,4.786696497900001,2020-03-04,0
208,Nijkerk,52.2220116,5.4823124,2020-03-04,0
209,Nijmegen,51.8427385,5.8634696,2020-03-04,0
210,Nissewaard,51.82787345,4.305284305924035,2020-03-04,0
211,Noardeast-Fryslân,53.3681579,5.938900135147189,2020-03-04,0
212,Noord-Beveland,51.56520675,3.8009095733783114,2020-03-04,0
213,Noordenveld,53.0953746,6.420844296734667,2020-03-04,0
214,Noordoostpolder,52.7264415,5.703605604549722,2020-03-04,0
215,Noordwijk,52.2698936,4.452685652490141,2020-03-04,0
216,"Nuenen, Gerwen en Nederwetten",51.48603,5.544006988824241,2020-03-04,0
217,Nunspeet,52.378571,5.780886,2020-03-04,0
218,Oegstgeest,52.1833669,4.472129402976295,2020-03-04,0
219,Oirschot,51.5032385,5.3155486,2020-03-04,0
220,Oisterwijk,51.5778742,5.1938101,2020-03-04,0
221,Oldambt,53.2223408,7.068982392062174,2020-03-04,0
222,Oldebroek,52.4456068,5.8990319,2020-03-04,0
223,Oldenzaal,52.30853685,6.914603743122237,2020-03-04,0
224,Olst-Wijhe,52.3756076,6.146510651573131,2020-03-04,0
225,Ommen,52.5208023,6.4251941,2020-03-04,0
226,Oost Gelre,52.0153031,6.561010327461535,2020-03-04,0
227,Oosterhout,51.6447215,4.8608337,2020-03-04,0
228,Ooststellingwerf,52.99085895,6.304963752820772,2020-03-04,0
229,Oostzaan,52.45218065,4.868548732505015,2020-03-04,0
230,Opmeer,52.704381749999996,4.928568037131412,2020-03-04,0
231,Opsterland,53.04680105,6.095135723829035,2020-03-04,0
232,Oss,51.7689067,5.5223672,2020-03-04,1
233,Oude IJsselstreek,51.90269995,6.391753286370878,2020-03-04,0
234,Ouder-Amstel,52.2946678,4.91646890749465,2020-03-04,0
235,Oudewater,52.02015625,4.896559775204166,2020-03-04,0
236,Overbetuwe,51.921961249999995,5.786081549088322,2020-03-04,0
237,Papendrecht,51.834666999999996,4.704688255674374,2020-03-04,0
238,Peel en Maas,51.33064175,5.979363705773345,2020-03-04,0
239,Pekela,53.067078300000006,6.965987960024869,2020-03-04,0
240,Pijnacker-Nootdorp,52.0111357,4.426848138072311,2020-03-04,0
241,Purmerend,52.4997208,4.964420036889974,2020-03-04,0
242,Putten,52.2608751,5.6100469,2020-03-04,0
243,Raalte,52.3857034,6.2718277,2020-03-04,0
244,Reimerswaal,51.44300185,4.101441031156753,2020-03-04,0
245,Renkum,51.9751065,5.7335691,2020-03-04,0
246,Renswoude,52.072421899999995,5.5308677368115005,2020-03-04,0
247,Reusel-De Mierden,51.37099705,5.1468666691668705,2020-03-04,0
248,Rheden,52.0043836,6.0302806,2020-03-04,0
249,Rhenen,51.980847600000004,5.5745623668309925,2020-03-04,0
250,Ridderkerk,51.8709913,4.592647897485351,2020-03-04,0
251,Rijssen-Holten,52.284324850000004,6.440777380657181,2020-03-04,0
252,Rijswijk,52.03739335,4.322502837527406,2020-03-04,0
253,Roerdalen,51.14172275,5.992474016651388,2020-03-04,0
254,Roermond,51.190174,5.9914098,2020-03-04,0
255,Roosendaal,51.5304587,4.464493820524657,2020-03-04,0
256,Rotterdam,51.9228958,4.4631727,2020-03-04,3
257,Rozendaal,52.0394752,5.963024982504363,2020-03-04,0
258,Rucphen,51.5328422,4.5597188,2020-03-04,0
259,Schagen,52.7882013,4.804434,2020-03-04,0
260,Scherpenzeel,52.090368850000004,5.507202445760246,2020-03-04,0
261,Schiedam,51.9300454,4.386451052615731,2020-03-04,0
262,Schiermonnikoog,53.48332935,6.2027736660373805,2020-03-04,0
263,Schouwen-Duiveland,51.687435300000004,3.876634088033648,2020-03-04,0
264,Simpelveld,50.8355496,5.9827262,2020-03-04,0
265,Sint Anthonis,51.626921,5.8816763,2020-03-04,0
266,Sint-Michielsgestel,51.6391001,5.3515392,2020-03-04,0
