"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"04-01-2023";"17-01-2023";187;33,8;25;4,5
"'s-Hertogenbosch";156538;"04-01-2023";"17-01-2023";27;17,2;9;5,7
"Aa en Hunze";25579;"04-01-2023";"17-01-2023";7;27,4;1;3,9
"Aalsmeer";32452;"04-01-2023";"17-01-2023";4;12,3;1;3,1
"Aalten";27100;"04-01-2023";"17-01-2023";9;33,2;2;7,4
"Achtkarspelen";27954;"04-01-2023";"17-01-2023";4;14,3;1;3,6
"Alblasserdam";20087;"04-01-2023";"17-01-2023";3;14,9;0;0
"Albrandswaard";25934;"04-01-2023";"17-01-2023";6;23,1;3;11,6
"Alkmaar";110783;"04-01-2023";"17-01-2023";40;36,1;8;7,2
"Almelo";73155;"04-01-2023";"17-01-2023";22;30,1;9;12,3
"Almere";217828;"04-01-2023";"17-01-2023";56;25,7;1;0,5
"Alphen aan den Rijn";112926;"04-01-2023";"17-01-2023";26;23;4;3,5
"Alphen-Chaam";10425;"04-01-2023";"17-01-2023";1;9,6;2;19,2
"Altena";57009;"04-01-2023";"17-01-2023";1;1,8;1;1,8
"Ameland";3757;"04-01-2023";"17-01-2023";0;0;0;0
"Amersfoort";158590;"04-01-2023";"17-01-2023";43;27,1;1;0,6
"Amstelveen";92331;"04-01-2023";"17-01-2023";26;28,2;0;0
"Amsterdam";903399;"04-01-2023";"17-01-2023";276;30,6;38;4,2
"Apeldoorn";165611;"04-01-2023";"17-01-2023";64;38,6;4;2,4
"Arnhem";163888;"04-01-2023";"17-01-2023";71;43,3;3;1,8
"Assen";68979;"04-01-2023";"17-01-2023";25;36,2;0;0
"Asten";17068;"04-01-2023";"17-01-2023";6;35,2;4;23,4
"Baarle-Nassau";6931;"04-01-2023";"17-01-2023";0;0;0;0
"Baarn";24876;"04-01-2023";"17-01-2023";14;56,3;0;0
"Barendrecht";48714;"04-01-2023";"17-01-2023";13;26,7;1;2,1
"Barneveld";60584;"04-01-2023";"17-01-2023";19;31,4;0;0
"Beek";15817;"04-01-2023";"17-01-2023";5;31,6;0;0
"Beekdaelen";35922;"04-01-2023";"17-01-2023";16;44,5;2;5,6
"Beesel";13408;"04-01-2023";"17-01-2023";3;22,4;0;0
"Berg en Dal";34951;"04-01-2023";"17-01-2023";17;48,6;7;20
"Bergeijk";18879;"04-01-2023";"17-01-2023";3;15,9;2;10,6
"Bergen (L.)";13106;"04-01-2023";"17-01-2023";2;15,3;0;0
"Bergen (NH.)";29723;"04-01-2023";"17-01-2023";16;53,8;4;13,5
"Bergen op Zoom";67894;"04-01-2023";"17-01-2023";14;20,6;3;4,4
"Berkelland";43850;"04-01-2023";"17-01-2023";6;13,7;3;6,8
"Bernheze";31715;"04-01-2023";"17-01-2023";6;18,9;3;9,5
"Best";30608;"04-01-2023";"17-01-2023";8;26,1;0;0
"Beuningen";26235;"04-01-2023";"17-01-2023";16;61;4;15,2
"Beverwijk";42084;"04-01-2023";"17-01-2023";20;47,5;1;2,4
"Bladel";20718;"04-01-2023";"17-01-2023";1;4,8;0;0
"Blaricum";12359;"04-01-2023";"17-01-2023";6;48,5;0;0
"Bloemendaal";23732;"04-01-2023";"17-01-2023";9;37,9;0;0
"Bodegraven-Reeuwijk";35752;"04-01-2023";"17-01-2023";7;19,6;2;5,6
"Boekel";11030;"04-01-2023";"17-01-2023";3;27,2;2;18,1
"Borger-Odoorn";25681;"04-01-2023";"17-01-2023";9;35;1;3,9
"Borne";24007;"04-01-2023";"17-01-2023";15;62,5;1;4,2
"Borsele";22847;"04-01-2023";"17-01-2023";3;13,1;2;8,8
"Boxtel";33129;"04-01-2023";"17-01-2023";3;9,1;0;0
"Breda";184702;"04-01-2023";"17-01-2023";67;36,3;7;3,8
"Bronckhorst";36077;"04-01-2023";"17-01-2023";12;33,3;0;0
"Brummen";20890;"04-01-2023";"17-01-2023";9;43,1;0;0
"Brunssum";27674;"04-01-2023";"17-01-2023";8;28,9;1;3,6
"Bunnik";15590;"04-01-2023";"17-01-2023";3;19,2;0;0
"Bunschoten";22325;"04-01-2023";"17-01-2023";5;22,4;2;9
"Buren";27155;"04-01-2023";"17-01-2023";6;22,1;2;7,4
"Capelle aan den IJssel";67188;"04-01-2023";"17-01-2023";15;22,3;1;1,5
"Castricum";36263;"04-01-2023";"17-01-2023";9;24,8;3;8,3
"Coevorden";35517;"04-01-2023";"17-01-2023";24;67,6;0;0
"Cranendonck";20669;"04-01-2023";"17-01-2023";4;19,4;0;0
"Culemborg";29397;"04-01-2023";"17-01-2023";6;20,4;2;6,8
"Dalfsen";29162;"04-01-2023";"17-01-2023";3;10,3;0;0
"Dantumadiel";18957;"04-01-2023";"17-01-2023";4;21,1;0;0
"De Bilt";43508;"04-01-2023";"17-01-2023";12;27,6;7;16,1
"De Fryske Marren";51597;"04-01-2023";"17-01-2023";6;11,6;7;13,6
"De Ronde Venen";44955;"04-01-2023";"17-01-2023";18;40;2;4,4
"De Wolden";24511;"04-01-2023";"17-01-2023";6;24,5;3;12,2
"Delft";104572;"04-01-2023";"17-01-2023";32;30,6;10;9,6
"Den Helder";56334;"04-01-2023";"17-01-2023";15;26,6;6;10,7
"Deurne";32606;"04-01-2023";"17-01-2023";13;39,9;4;12,3
"Deventer";101446;"04-01-2023";"17-01-2023";33;32,5;9;8,9
"Diemen";31822;"04-01-2023";"17-01-2023";18;56,6;3;9,4
"Dijk en Waard";87695;"04-01-2023";"17-01-2023";21;23,9;7;8
"Dinkelland";26594;"04-01-2023";"17-01-2023";8;30,1;3;11,3
"Doesburg";11036;"04-01-2023";"17-01-2023";7;63,4;0;0
"Doetinchem";58546;"04-01-2023";"17-01-2023";32;54,7;0;0
"Dongen";26483;"04-01-2023";"17-01-2023";3;11,3;0;0
"Dordrecht";119537;"04-01-2023";"17-01-2023";68;56,9;6;5
"Drechterland";19983;"04-01-2023";"17-01-2023";4;20;1;5
"Drimmelen";27476;"04-01-2023";"17-01-2023";3;10,9;0;0
"Dronten";42865;"04-01-2023";"17-01-2023";9;21;2;4,7
"Druten";19178;"04-01-2023";"17-01-2023";6;31,3;1;5,2
"Duiven";24946;"04-01-2023";"17-01-2023";5;20;1;4
"Echt-Susteren";31731;"04-01-2023";"17-01-2023";10;31,5;1;3,2
"Edam-Volendam";36471;"04-01-2023";"17-01-2023";1;2,7;1;2,7
"Ede";119986;"04-01-2023";"17-01-2023";47;39,2;4;3,3
"Eemnes";9450;"04-01-2023";"17-01-2023";0;0;0;0
"Eemsdelta";45389;"04-01-2023";"17-01-2023";8;17,6;1;2,2
"Eersel";19823;"04-01-2023";"17-01-2023";1;5;0;0
"Eijsden-Margraten";25857;"04-01-2023";"17-01-2023";11;42,5;0;0
"Eindhoven";238326;"04-01-2023";"17-01-2023";61;25,6;6;2,5
"Elburg";23740;"04-01-2023";"17-01-2023";1;4,2;0;0
"Emmen";107856;"04-01-2023";"17-01-2023";68;63;4;3,7
"Enkhuizen";18620;"04-01-2023";"17-01-2023";1;5,4;1;5,4
"Enschede";160640;"04-01-2023";"17-01-2023";45;28;8;5
"Epe";33257;"04-01-2023";"17-01-2023";16;48,1;4;12
"Ermelo";27258;"04-01-2023";"17-01-2023";11;40,4;0;0
"Etten-Leur";44152;"04-01-2023";"17-01-2023";12;27,2;2;4,5
"Geertruidenberg";21944;"04-01-2023";"17-01-2023";4;18,2;2;9,1
"Geldrop-Mierlo";40131;"04-01-2023";"17-01-2023";13;32,4;9;22,4
"Gemert-Bakel";31040;"04-01-2023";"17-01-2023";5;16,1;2;6,4
"Gennep";17237;"04-01-2023";"17-01-2023";2;11,6;0;0
"Gilze en Rijen";26557;"04-01-2023";"17-01-2023";10;37,7;2;7,5
"Goeree-Overflakkee";51051;"04-01-2023";"17-01-2023";24;47;5;9,8
"Goes";38950;"04-01-2023";"17-01-2023";14;35,9;3;7,7
"Goirle";23979;"04-01-2023";"17-01-2023";8;33,4;0;0
"Gooise Meren";58846;"04-01-2023";"17-01-2023";17;28,9;0;0
"Gorinchem";37632;"04-01-2023";"17-01-2023";9;23,9;1;2,7
"Gouda";74095;"04-01-2023";"17-01-2023";27;36,4;4;5,4
"Groningen";234950;"04-01-2023";"17-01-2023";64;27,2;8;3,4
