"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-06-19";"2023-06-25";0;0;159,6
"'s-Hertogenbosch";156538;"2023-06-19";"2023-06-25";0;0;11,31
"Aa en Hunze";25579;"2023-06-19";"2023-06-25";0;0;12,7
"Aalsmeer";32452;"2023-06-19";"2023-06-25";0;0;112,19
"Aalten";27100;"2023-06-19";"2023-06-25";0;0;16,8
"Achtkarspelen";27954;"2023-06-19";"2023-06-25";0;0;10,7
"Alblasserdam";20087;"2023-06-19";"2023-06-25";0;0;95,59
"Albrandswaard";25934;"2023-06-19";"2023-06-25";0;0;96,31
"Alkmaar";110783;"2023-06-19";"2023-06-25";0;0;63,8
"Almelo";73155;"2023-06-19";"2023-06-25";0;0;88,09
"Almere";217828;"2023-06-19";"2023-06-25";0;0;
"Alphen aan den Rijn";112926;"2023-06-19";"2023-06-25";0;0;14,9
"Alphen-Chaam";10425;"2023-06-19";"2023-06-25";0;0;10,87
"Altena";57009;"2023-06-19";"2023-06-25";0;0;8,5
"Ameland";3757;"2023-06-19";"2023-06-25";0;0;67,97
"Amersfoort";158590;"2023-06-19";"2023-06-25";0;0;62,42
"Amstelveen";92331;"2023-06-19";"2023-06-25";0;0;315,41
"Amsterdam";903399;"2023-06-19";"2023-06-25";3;0,3;306,36
"Apeldoorn";165611;"2023-06-19";"2023-06-25";0;0;54,12
"Arnhem";163888;"2023-06-19";"2023-06-25";0;0;45,29
"Assen";68979;"2023-06-19";"2023-06-25";0;0;23,74
"Asten";17068;"2023-06-19";"2023-06-25";0;0;
"Baarle-Nassau";6931;"2023-06-19";"2023-06-25";0;0;213,84
"Baarn";24876;"2023-06-19";"2023-06-25";0;0;167,26
"Barendrecht";48714;"2023-06-19";"2023-06-25";0;0;130,09
"Barneveld";60584;"2023-06-19";"2023-06-25";0;0;106,36
"Beek";15817;"2023-06-19";"2023-06-25";0;0;6,51
"Beekdaelen";35922;"2023-06-19";"2023-06-25";0;0;4,95
"Beesel";13408;"2023-06-19";"2023-06-25";0;0;34,42
"Berg en Dal";34951;"2023-06-19";"2023-06-25";0;0;39,64
"Bergeijk";18879;"2023-06-19";"2023-06-25";0;0;44,7
"Bergen (L.)";13106;"2023-06-19";"2023-06-25";0;0;25,84
"Bergen (NH.)";29723;"2023-06-19";"2023-06-25";0;0;49,24
"Bergen op Zoom";67894;"2023-06-19";"2023-06-25";0;0;30,06
"Berkelland";43850;"2023-06-19";"2023-06-25";0;0;17,89
"Bernheze";31715;"2023-06-19";"2023-06-25";0;0;34,9
"Best";30608;"2023-06-19";"2023-06-25";0;0;18,3
"Beuningen";26235;"2023-06-19";"2023-06-25";0;0;56,06
"Beverwijk";42084;"2023-06-19";"2023-06-25";0;0;63,87
"Bladel";20718;"2023-06-19";"2023-06-25";0;0;6,47
"Blaricum";12359;"2023-06-19";"2023-06-25";0;0;
"Bloemendaal";23732;"2023-06-19";"2023-06-25";0;0;36,68
"Bodegraven-Reeuwijk";35752;"2023-06-19";"2023-06-25";0;0;5,21
"Boekel";11030;"2023-06-19";"2023-06-25";0;0;16,72
"Borger-Odoorn";25681;"2023-06-19";"2023-06-25";0;0;37,47
"Borne";24007;"2023-06-19";"2023-06-25";0;0;74,96
"Borsele";22847;"2023-06-19";"2023-06-25";0;0;20,18
"Boxtel";33129;"2023-06-19";"2023-06-25";0;0;0
"Breda";184702;"2023-06-19";"2023-06-25";0;0;0,01
"Bronckhorst";36077;"2023-06-19";"2023-06-25";1;2,8;35,75
"Brummen";20890;"2023-06-19";"2023-06-25";0;0;29,22
"Brunssum";27674;"2023-06-19";"2023-06-25";0;0;5,32
"Bunnik";15590;"2023-06-19";"2023-06-25";0;0;38,35
"Bunschoten";22325;"2023-06-19";"2023-06-25";0;0;62,5
"Buren";27155;"2023-06-19";"2023-06-25";1;3,7;40,68
"Capelle aan den IJssel";67188;"2023-06-19";"2023-06-25";0;0;94,18
"Castricum";36263;"2023-06-19";"2023-06-25";0;0;114,51
"Coevorden";35517;"2023-06-19";"2023-06-25";0;0;63,5
"Cranendonck";20669;"2023-06-19";"2023-06-25";0;0;0
"Culemborg";29397;"2023-06-19";"2023-06-25";0;0;79,94
"Dalfsen";29162;"2023-06-19";"2023-06-25";0;0;29,2
"Dantumadiel";18957;"2023-06-19";"2023-06-25";0;0;66,83
"De Bilt";43508;"2023-06-19";"2023-06-25";0;0;10,6
"De Fryske Marren";51597;"2023-06-19";"2023-06-25";0;0;80,88
"De Ronde Venen";44955;"2023-06-19";"2023-06-25";0;0;121,69
"De Wolden";24511;"2023-06-19";"2023-06-25";1;4,1;0
"Delft";104572;"2023-06-19";"2023-06-25";0;0;158,4
"Den Helder";56334;"2023-06-19";"2023-06-25";0;0;14,94
"Deurne";32606;"2023-06-19";"2023-06-25";0;0;8,08
"Deventer";101446;"2023-06-19";"2023-06-25";0;0;136,34
"Diemen";31822;"2023-06-19";"2023-06-25";0;0;315,15
"Dijk en Waard";87695;"2023-06-19";"2023-06-25";0;0;0
"Dinkelland";26594;"2023-06-19";"2023-06-25";0;0;28,86
"Doesburg";11036;"2023-06-19";"2023-06-25";0;0;38
"Doetinchem";58546;"2023-06-19";"2023-06-25";0;0;50,09
"Dongen";26483;"2023-06-19";"2023-06-25";0;0;16,54
"Dordrecht";119537;"2023-06-19";"2023-06-25";0;0;279,87
"Drechterland";19983;"2023-06-19";"2023-06-25";0;0;104,41
"Drimmelen";27476;"2023-06-19";"2023-06-25";0;0;37,63
"Dronten";42865;"2023-06-19";"2023-06-25";0;0;41,19
"Druten";19178;"2023-06-19";"2023-06-25";0;0;50,29
"Duiven";24946;"2023-06-19";"2023-06-25";0;0;45,1
"Echt-Susteren";31731;"2023-06-19";"2023-06-25";0;0;5,59
"Edam-Volendam";36471;"2023-06-19";"2023-06-25";0;0;49,21
"Ede";119986;"2023-06-19";"2023-06-25";0;0;116,03
"Eemnes";9450;"2023-06-19";"2023-06-25";0;0;
"Eemsdelta";45389;"2023-06-19";"2023-06-25";0;0;95,21
"Eersel";19823;"2023-06-19";"2023-06-25";0;0;40,4
"Eijsden-Margraten";25857;"2023-06-19";"2023-06-25";0;0;141,31
"Eindhoven";238326;"2023-06-19";"2023-06-25";0;0;44,7
"Elburg";23740;"2023-06-19";"2023-06-25";0;0;0,17
"Emmen";107856;"2023-06-19";"2023-06-25";0;0;21,39
"Enkhuizen";18620;"2023-06-19";"2023-06-25";0;0;104,41
"Enschede";160640;"2023-06-19";"2023-06-25";0;0;0,07
"Epe";33257;"2023-06-19";"2023-06-25";0;0;64,99
"Ermelo";27258;"2023-06-19";"2023-06-25";0;0;36,06
"Etten-Leur";44152;"2023-06-19";"2023-06-25";0;0;0,47
