"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"10-11-2021";"23-11-2021";5923;1080.2;82;15;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"10-11-2021";"23-11-2021";2379;1530;29;18.7;3;1.9
"Aa en Hunze";1680;"Aa en Hunze";25399;"10-11-2021";"23-11-2021";216;850.4;3;11.8;0;0
"Aalsmeer";358;"Aalsmeer";31991;"10-11-2021";"23-11-2021";625;1953.7;6;18.8;0;0
"Aalten";197;"Aalten";27120;"10-11-2021";"23-11-2021";337;1242.6;3;11.1;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27900;"10-11-2021";"23-11-2021";364;1304.7;7;25.1;1;3.6
"Alblasserdam";482;"Alblasserdam";20136;"10-11-2021";"23-11-2021";456;2264.6;9;44.7;1;5
"Albrandswaard";613;"Albrandswaard";25814;"10-11-2021";"23-11-2021";478;1851.7;4;15.5;0;0
"Alkmaar";361;"Alkmaar";109896;"10-11-2021";"23-11-2021";1612;1466.8;16;14.6;0;0
"Almelo";141;"Almelo";73132;"10-11-2021";"23-11-2021";867;1185.5;14;19.1;2;2.7
"Almere";34;"Almere";214715;"10-11-2021";"23-11-2021";2565;1194.6;28;13;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"10-11-2021";"23-11-2021";1924;1708.9;15;13.3;5;4.4
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"10-11-2021";"23-11-2021";156;1503.9;2;19.3;0;0
"Altena";1959;"Altena";56352;"10-11-2021";"23-11-2021";1053;1868.6;21;37.3;2;3.5
"Ameland";60;"Ameland";3746;"10-11-2021";"23-11-2021";8;213.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"10-11-2021";"23-11-2021";2148;1364.1;12;7.6;0;0
"Amstelveen";362;"Amstelveen";90829;"10-11-2021";"23-11-2021";1269;1397.1;16;17.6;1;1.1
"Amsterdam";363;"Amsterdam";873338;"10-11-2021";"23-11-2021";10180;1165.6;85;9.7;13;1.5
"Apeldoorn";200;"Apeldoorn";164781;"10-11-2021";"23-11-2021";2001;1214.3;36;21.8;3;1.8
"Arnhem";202;"Arnhem";162424;"10-11-2021";"23-11-2021";2053;1264;13;8;6;3.7
"Assen";106;"Assen";68836;"10-11-2021";"23-11-2021";711;1032.9;9;13.1;0;0
"Asten";743;"Asten";16817;"10-11-2021";"23-11-2021";292;1736.3;2;11.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"10-11-2021";"23-11-2021";84;1217.6;1;14.5;0;0
"Baarn";308;"Baarn";24792;"10-11-2021";"23-11-2021";512;2065.2;4;16.1;0;0
