"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"26-10-2022";"08-11-2022";471;85,1;20;3,6;0;0
"'s-Hertogenbosch";156538;"26-10-2022";"08-11-2022";129;82,4;5;3,2;1;0,6
"Aa en Hunze";25579;"26-10-2022";"08-11-2022";32;125,1;0;0;0;0
"Aalsmeer";32452;"26-10-2022";"08-11-2022";29;89,4;1;3,1;0;0
"Aalten";27100;"26-10-2022";"08-11-2022";17;62,7;1;3,7;0;0
"Achtkarspelen";27954;"26-10-2022";"08-11-2022";21;75,1;0;0;0;0
"Alblasserdam";20087;"26-10-2022";"08-11-2022";14;69,7;0;0;0;0
"Albrandswaard";25934;"26-10-2022";"08-11-2022";37;142,7;0;0;0;0
"Alkmaar";110783;"26-10-2022";"08-11-2022";106;95,7;10;9;0;0
"Almelo";73155;"26-10-2022";"08-11-2022";51;69,7;2;2,7;0;0
"Almere";217828;"26-10-2022";"08-11-2022";203;93,2;6;2,8;0;0
"Alphen aan den Rijn";112926;"26-10-2022";"08-11-2022";119;105,4;2;1,8;0;0
"Alphen-Chaam";10425;"26-10-2022";"08-11-2022";18;172,7;0;0;0;0
"Altena";57009;"26-10-2022";"08-11-2022";20;35,1;2;3,5;0;0
"Ameland";3757;"26-10-2022";"08-11-2022";5;133,1;0;0;0;0
"Amersfoort";158590;"26-10-2022";"08-11-2022";193;121,7;15;9,5;0;0
"Amstelveen";92331;"26-10-2022";"08-11-2022";122;132,1;1;1,1;0;0
"Amsterdam";903399;"26-10-2022";"08-11-2022";891;98,6;36;4;0;0
"Apeldoorn";165611;"26-10-2022";"08-11-2022";237;143,1;14;8,5;0;0
"Arnhem";163888;"26-10-2022";"08-11-2022";167;101,9;1;0,6;0;0
"Assen";68979;"26-10-2022";"08-11-2022";91;131,9;1;1,4;0;0
"Asten";17068;"26-10-2022";"08-11-2022";13;76,2;1;5,9;0;0
"Baarle-Nassau";6931;"26-10-2022";"08-11-2022";5;72,1;0;0;0;0
"Baarn";24876;"26-10-2022";"08-11-2022";28;112,6;2;8;0;0
"Barendrecht";48714;"26-10-2022";"08-11-2022";51;104,7;6;12,3;0;0
"Barneveld";60584;"26-10-2022";"08-11-2022";34;56,1;2;3,3;1;1,7
"Beek";15817;"26-10-2022";"08-11-2022";37;233,9;0;0;0;0
"Beekdaelen";35922;"26-10-2022";"08-11-2022";68;189,3;3;8,4;0;0
"Beesel";13408;"26-10-2022";"08-11-2022";17;126,8;0;0;0;0
"Berg en Dal";34951;"26-10-2022";"08-11-2022";39;111,6;4;11,4;0;0
"Bergeijk";18879;"26-10-2022";"08-11-2022";15;79,5;0;0;0;0
"Bergen (L.)";13106;"26-10-2022";"08-11-2022";9;68,7;0;0;0;0
"Bergen (NH.)";29723;"26-10-2022";"08-11-2022";34;114,4;7;23,6;1;3,4
"Bergen op Zoom";67894;"26-10-2022";"08-11-2022";52;76,6;2;2,9;0;0
"Berkelland";43850;"26-10-2022";"08-11-2022";44;100,3;4;9,1;0;0
"Bernheze";31715;"26-10-2022";"08-11-2022";34;107,2;0;0;0;0
"Best";30608;"26-10-2022";"08-11-2022";20;65,3;3;9,8;0;0
"Beuningen";26235;"26-10-2022";"08-11-2022";36;137,2;0;0;0;0
"Beverwijk";42084;"26-10-2022";"08-11-2022";56;133,1;1;2,4;0;0
"Bladel";20718;"26-10-2022";"08-11-2022";12;57,9;1;4,8;0;0
"Blaricum";12359;"26-10-2022";"08-11-2022";18;145,6;0;0;0;0
"Bloemendaal";23732;"26-10-2022";"08-11-2022";34;143,3;0;0;0;0
"Bodegraven-Reeuwijk";35752;"26-10-2022";"08-11-2022";43;120,3;5;14;0;0
"Boekel";11030;"26-10-2022";"08-11-2022";6;54,4;0;0;0;0
"Borger-Odoorn";25681;"26-10-2022";"08-11-2022";17;66,2;0;0;0;0
"Borne";24007;"26-10-2022";"08-11-2022";16;66,6;1;4,2;0;0
"Borsele";22847;"26-10-2022";"08-11-2022";23;100,7;1;4,4;0;0
"Boxtel";33129;"26-10-2022";"08-11-2022";15;45,3;1;3;0;0
"Breda";184702;"26-10-2022";"08-11-2022";204;110,4;14;7,6;0;0
"Brielle";17704;"26-10-2022";"08-11-2022";17;96;1;5,6;0;0
"Bronckhorst";36077;"26-10-2022";"08-11-2022";25;69,3;0;0;0;0
"Brummen";20890;"26-10-2022";"08-11-2022";21;100,5;1;4,8;0;0
"Brunssum";27674;"26-10-2022";"08-11-2022";52;187,9;2;7,2;0;0
"Bunnik";15590;"26-10-2022";"08-11-2022";18;115,5;0;0;0;0
"Bunschoten";22325;"26-10-2022";"08-11-2022";26;116,5;4;17,9;0;0
"Buren";27155;"26-10-2022";"08-11-2022";25;92,1;1;3,7;0;0
"Capelle aan den IJssel";67188;"26-10-2022";"08-11-2022";55;81,9;7;10,4;0;0
"Castricum";36263;"26-10-2022";"08-11-2022";31;85,5;0;0;0;0
"Coevorden";35517;"26-10-2022";"08-11-2022";27;76;0;0;0;0
"Cranendonck";20669;"26-10-2022";"08-11-2022";9;43,5;1;4,8;0;0
"Culemborg";29397;"26-10-2022";"08-11-2022";15;51;3;10,2;0;0
"Dalfsen";29162;"26-10-2022";"08-11-2022";22;75,4;0;0;0;0
"Dantumadiel";18957;"26-10-2022";"08-11-2022";34;179,4;0;0;0;0
"De Bilt";43508;"26-10-2022";"08-11-2022";37;85;4;9,2;0;0
"De Fryske Marren";51597;"26-10-2022";"08-11-2022";30;58,1;1;1,9;0;0
"De Ronde Venen";44955;"26-10-2022";"08-11-2022";50;111,2;2;4,4;1;2,2
"De Wolden";24511;"26-10-2022";"08-11-2022";17;69,4;1;4,1;0;0
"Delft";104572;"26-10-2022";"08-11-2022";129;123,4;7;6,7;0;0
"Den Helder";56334;"26-10-2022";"08-11-2022";47;83,4;4;7,1;0;0
"Deurne";32606;"26-10-2022";"08-11-2022";21;64,4;3;9,2;0;0
"Deventer";101446;"26-10-2022";"08-11-2022";88;86,7;3;3;0;0
"Diemen";31822;"26-10-2022";"08-11-2022";50;157,1;2;6,3;0;0
"Dijk en Waard";87695;"26-10-2022";"08-11-2022";69;78,7;3;3,4;0;0
"Dinkelland";26594;"26-10-2022";"08-11-2022";11;41,4;1;3,8;0;0
"Doesburg";11036;"26-10-2022";"08-11-2022";9;81,6;1;9,1;0;0
"Doetinchem";58546;"26-10-2022";"08-11-2022";64;109,3;1;1,7;0;0
"Dongen";26483;"26-10-2022";"08-11-2022";34;128,4;2;7,6;0;0
"Dordrecht";119537;"26-10-2022";"08-11-2022";145;121,3;2;1,7;1;0,8
"Drechterland";19983;"26-10-2022";"08-11-2022";22;110,1;0;0;0;0
"Drimmelen";27476;"26-10-2022";"08-11-2022";11;40;1;3,6;0;0
