"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"01-09-2021";"14-09-2021";1469;267.9;11;2;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"01-09-2021";"14-09-2021";223;143.4;1;0.6;1;0.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"01-09-2021";"14-09-2021";18;70.9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"01-09-2021";"14-09-2021";52;162.5;0;0;0;0
"Aalten";197;"Aalten";27120;"01-09-2021";"14-09-2021";19;70.1;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"01-09-2021";"14-09-2021";71;254.5;1;3.6;0;0
"Alblasserdam";482;"Alblasserdam";20136;"01-09-2021";"14-09-2021";45;223.5;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"01-09-2021";"14-09-2021";42;162.7;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"01-09-2021";"14-09-2021";145;131.9;0;0;0;0
"Almelo";141;"Almelo";73132;"01-09-2021";"14-09-2021";136;186;2;2.7;0;0
"Almere";34;"Almere";214715;"01-09-2021";"14-09-2021";510;237.5;4;1.9;2;0.9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"01-09-2021";"14-09-2021";153;135.9;1;0.9;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"01-09-2021";"14-09-2021";3;28.9;0;0;0;0
"Altena";1959;"Altena";56352;"01-09-2021";"14-09-2021";46;81.6;0;0;0;0
"Ameland";60;"Ameland";3746;"01-09-2021";"14-09-2021";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"01-09-2021";"14-09-2021";324;205.8;1;0.6;1;0.6
"Amstelveen";362;"Amstelveen";90829;"01-09-2021";"14-09-2021";169;186.1;1;1.1;2;2.2
"Amsterdam";363;"Amsterdam";873338;"01-09-2021";"14-09-2021";2387;273.3;19;2.2;3;0.3
"Apeldoorn";200;"Apeldoorn";164781;"01-09-2021";"14-09-2021";276;167.5;3;1.8;3;1.8
"Arnhem";202;"Arnhem";162424;"01-09-2021";"14-09-2021";285;175.5;1;0.6;0;0
"Assen";106;"Assen";68836;"01-09-2021";"14-09-2021";64;93;2;2.9;0;0
"Asten";743;"Asten";16817;"01-09-2021";"14-09-2021";15;89.2;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"01-09-2021";"14-09-2021";1;14.5;0;0;0;0
"Baarn";308;"Baarn";24792;"01-09-2021";"14-09-2021";32;129.1;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"01-09-2021";"14-09-2021";149;306.3;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"01-09-2021";"14-09-2021";159;265;1;1.7;0;0
"Beek";888;"Beek";15875;"01-09-2021";"14-09-2021";19;119.7;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"01-09-2021";"14-09-2021";47;130.3;0;0;0;0
"Beemster";370;"Beemster";10110;"01-09-2021";"14-09-2021";15;148.4;0;0;0;0
"Beesel";889;"Beesel";13450;"01-09-2021";"14-09-2021";19;141.3;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"01-09-2021";"14-09-2021";34;97.1;0;0;0;0
"Bergeijk";1724;"Bergeijk";18754;"01-09-2021";"14-09-2021";20;106.6;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"01-09-2021";"14-09-2021";15;114.4;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"01-09-2021";"14-09-2021";36;121.2;0;0;0;0
