"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"21-12-2022";"03-01-2023";334;60,4;35;6,3;0;0
"'s-Hertogenbosch";156538;"21-12-2022";"03-01-2023";102;65,2;5;3,2;2;1,3
"Aa en Hunze";25579;"21-12-2022";"03-01-2023";10;39,1;0;0;0;0
"Aalsmeer";32452;"21-12-2022";"03-01-2023";19;58,5;1;3,1;0;0
"Aalten";27100;"21-12-2022";"03-01-2023";10;36,9;1;3,7;0;0
"Achtkarspelen";27954;"21-12-2022";"03-01-2023";8;28,6;1;3,6;0;0
"Alblasserdam";20087;"21-12-2022";"03-01-2023";8;39,8;0;0;0;0
"Albrandswaard";25934;"21-12-2022";"03-01-2023";10;38,6;2;7,7;0;0
"Alkmaar";110783;"21-12-2022";"03-01-2023";60;54,2;7;6,3;0;0
"Almelo";73155;"21-12-2022";"03-01-2023";37;50,6;4;5,5;0;0
"Almere";217828;"21-12-2022";"03-01-2023";121;55,5;0;0;0;0
"Alphen aan den Rijn";112926;"21-12-2022";"03-01-2023";66;58,4;4;3,5;0;0
"Alphen-Chaam";10425;"21-12-2022";"03-01-2023";4;38,4;1;9,6;0;0
"Altena";57009;"21-12-2022";"03-01-2023";33;57,9;6;10,5;0;0
"Ameland";3757;"21-12-2022";"03-01-2023";0;0;1;26,6;0;0
"Amersfoort";158590;"21-12-2022";"03-01-2023";173;109,1;2;1,3;0;0
"Amstelveen";92331;"21-12-2022";"03-01-2023";63;68,2;1;1,1;0;0
"Amsterdam";903399;"21-12-2022";"03-01-2023";545;60,3;29;3,2;4;0,4
"Apeldoorn";165611;"21-12-2022";"03-01-2023";132;79,7;17;10,3;0;0
"Arnhem";163888;"21-12-2022";"03-01-2023";137;83,6;3;1,8;1;0,6
"Assen";68979;"21-12-2022";"03-01-2023";52;75,4;1;1,4;0;0
"Asten";17068;"21-12-2022";"03-01-2023";7;41;2;11,7;0;0
"Baarle-Nassau";6931;"21-12-2022";"03-01-2023";0;0;1;14,4;0;0
"Baarn";24876;"21-12-2022";"03-01-2023";43;172,9;2;8;0;0
"Barendrecht";48714;"21-12-2022";"03-01-2023";23;47,2;5;10,3;0;0
"Barneveld";60584;"21-12-2022";"03-01-2023";32;52,8;5;8,3;0;0
"Beek";15817;"21-12-2022";"03-01-2023";21;132,8;0;0;0;0
"Beekdaelen";35922;"21-12-2022";"03-01-2023";17;47,3;1;2,8;0;0
"Beesel";13408;"21-12-2022";"03-01-2023";3;22,4;0;0;1;7,5
