"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"17-02-2021";"02-03-2021";58;227.9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"17-02-2021";"02-03-2021";88;276.2;1;3.1;0;0
"Aalten";197;"Aalten";27121;"17-02-2021";"02-03-2021";80;295;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"17-02-2021";"02-03-2021";135;484.9;2;7.2;4;14.4
"Alblasserdam";482;"Alblasserdam";20165;"17-02-2021";"02-03-2021";77;381.8;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"17-02-2021";"02-03-2021";52;203.2;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109436;"17-02-2021";"02-03-2021";510;466;1;0.9;1;0.9
"Almelo";141;"Almelo";73107;"17-02-2021";"02-03-2021";294;402.2;2;2.7;2;2.7
"Almere";34;"Almere";211893;"17-02-2021";"02-03-2021";575;271.4;6;2.8;9;4.2
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"17-02-2021";"02-03-2021";397;354.8;4;3.6;8;7.1
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"17-02-2021";"02-03-2021";22;215.6;0;0;0;0
"Altena";1959;"Altena";55967;"17-02-2021";"02-03-2021";188;335.9;1;1.8;0;0
"Ameland";60;"Ameland";3716;"17-02-2021";"02-03-2021";5;134.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"17-02-2021";"02-03-2021";419;266.4;3;1.9;6;3.8
"Amstelveen";362;"Amstelveen";91675;"17-02-2021";"02-03-2021";177;193.1;1;1.1;2;2.2
"Amsterdam";363;"Amsterdam";872757;"17-02-2021";"02-03-2021";2661;304.9;25;2.9;21;2.4
"Apeldoorn";200;"Apeldoorn";163818;"17-02-2021";"02-03-2021";396;241.7;3;1.8;1;0.6
"Arnhem";202;"Arnhem";161348;"17-02-2021";"02-03-2021";294;182.2;2;1.2;2;1.2
"Assen";106;"Assen";68599;"17-02-2021";"02-03-2021";196;285.7;1;1.5;0;0
"Asten";743;"Asten";16721;"17-02-2021";"02-03-2021";63;376.8;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"17-02-2021";"02-03-2021";17;247.8;0;0;0;0
"Baarn";308;"Baarn";24868;"17-02-2021";"02-03-2021";59;237.3;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"17-02-2021";"02-03-2021";161;330.5;3;6.2;2;4.1
"Barneveld";203;"Barneveld";59082;"17-02-2021";"02-03-2021";122;206.5;0;0;4;6.8
"Beek";888;"Beek";15865;"17-02-2021";"02-03-2021";15;94.5;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"17-02-2021";"02-03-2021";93;258.8;2;5.6;0;0
"Beemster";370;"Beemster";10022;"17-02-2021";"02-03-2021";108;1077.6;0;0;0;0
"Beesel";889;"Beesel";13482;"17-02-2021";"02-03-2021";31;229.9;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"17-02-2021";"02-03-2021";83;237.2;1;2.9;0;0
"Bergeijk";1724;"Bergeijk";18635;"17-02-2021";"02-03-2021";87;466.9;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"17-02-2021";"02-03-2021";74;565.5;1;7.6;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"17-02-2021";"02-03-2021";129;432.3;2;6.7;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"17-02-2021";"02-03-2021";152;225.2;1;1.5;2;3
"Berkelland";1859;"Berkelland";43747;"17-02-2021";"02-03-2021";98;224;1;2.3;0;0
"Bernheze";1721;"Bernheze";31240;"17-02-2021";"02-03-2021";169;541;0;0;0;0
"Best";753;"Best";29988;"17-02-2021";"02-03-2021";112;373.5;1;3.3;1;3.3
"Beuningen";209;"Beuningen";25890;"17-02-2021";"02-03-2021";101;390.1;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"17-02-2021";"02-03-2021";348;836;1;2.4;9;21.6
"Bladel";1728;"Bladel";20390;"17-02-2021";"02-03-2021";88;431.6;0;0;1;4.9
"Blaricum";376;"Blaricum";11540;"17-02-2021";"02-03-2021";47;407.3;0;0;1;8.7
"Bloemendaal";377;"Bloemendaal";23571;"17-02-2021";"02-03-2021";46;195.2;0;0;1;4.2
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"17-02-2021";"02-03-2021";148;424.4;9;25.8;1;2.9
"Boekel";755;"Boekel";10785;"17-02-2021";"02-03-2021";16;148.4;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"17-02-2021";"02-03-2021";48;187.8;2;7.8;1;3.9
"Borne";147;"Borne";23312;"17-02-2021";"02-03-2021";56;240.2;0;0;0;0
"Borsele";654;"Borsele";22739;"17-02-2021";"02-03-2021";38;167.1;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"17-02-2021";"02-03-2021";113;384.8;0;0;0;0
"Boxtel";757;"Boxtel";32970;"17-02-2021";"02-03-2021";142;430.7;0;0;1;3
"Breda";758;"Breda";184069;"17-02-2021";"02-03-2021";310;168.4;3;1.6;5;2.7
"Brielle";501;"Brielle";17271;"17-02-2021";"02-03-2021";41;237.4;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"17-02-2021";"02-03-2021";84;233;0;0;0;0
"Brummen";213;"Brummen";20726;"17-02-2021";"02-03-2021";27;130.3;0;0;0;0
"Brunssum";899;"Brunssum";27821;"17-02-2021";"02-03-2021";60;215.7;3;10.8;2;7.2
"Bunnik";312;"Bunnik";15191;"17-02-2021";"02-03-2021";35;230.4;1;6.6;0;0
"Bunschoten";313;"Bunschoten";21866;"17-02-2021";"02-03-2021";290;1326.3;0;0;0;0
"Buren";214;"Buren";26749;"17-02-2021";"02-03-2021";103;385.1;2;7.5;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"17-02-2021";"02-03-2021";258;384.4;6;8.9;8;11.9
"Castricum";383;"Castricum";35986;"17-02-2021";"02-03-2021";138;383.5;2;5.6;0;0
"Coevorden";109;"Coevorden";35297;"17-02-2021";"02-03-2021";137;388.1;1;2.8;1;2.8
"Cranendonck";1706;"Cranendonck";21138;"17-02-2021";"02-03-2021";79;373.7;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"17-02-2021";"02-03-2021";84;334.3;1;4;0;0
"Culemborg";216;"Culemborg";28955;"17-02-2021";"02-03-2021";78;269.4;1;3.5;0;0
"Dalfsen";148;"Dalfsen";28587;"17-02-2021";"02-03-2021";56;195.9;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"17-02-2021";"02-03-2021";73;385.8;1;5.3;0;0
"De Bilt";310;"De Bilt";43137;"17-02-2021";"02-03-2021";149;345.4;2;4.6;1;2.3
"De Fryske Marren";1940;"De Fryske Marren";51564;"17-02-2021";"02-03-2021";220;426.7;1;1.9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"17-02-2021";"02-03-2021";152;341.9;2;4.5;0;0
"De Wolden";1690;"De Wolden";24330;"17-02-2021";"02-03-2021";76;312.4;0;0;1;4.1
"Delft";503;"Delft";103595;"17-02-2021";"02-03-2021";227;219.1;0;0;4;3.9
"Den Helder";400;"Den Helder";56296;"17-02-2021";"02-03-2021";477;847.3;2;3.6;4;7.1
"Deurne";762;"Deurne";32471;"17-02-2021";"02-03-2021";180;554.3;0;0;0;0
"Deventer";150;"Deventer";100719;"17-02-2021";"02-03-2021";124;123.1;1;1;0;0
"Diemen";384;"Diemen";30780;"17-02-2021";"02-03-2021";126;409.4;0;0;0;0
"Dinkelland";1774;"Dinkelland";26461;"17-02-2021";"02-03-2021";31;117.2;1;3.8;1;3.8
"Doesburg";221;"Doesburg";11077;"17-02-2021";"02-03-2021";27;243.7;0;0;0;0
"Doetinchem";222;"Doetinchem";58001;"17-02-2021";"02-03-2021";129;222.4;0;0;0;0
"Dongen";766;"Dongen";26222;"17-02-2021";"02-03-2021";153;583.5;0;0;0;0
"Dordrecht";505;"Dordrecht";119284;"17-02-2021";"02-03-2021";557;467;4;3.4;6;5
"Drechterland";498;"Drechterland";19719;"17-02-2021";"02-03-2021";109;552.8;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"17-02-2021";"02-03-2021";34;124.7;0;0;0;0
"Dronten";303;"Dronten";41555;"17-02-2021";"02-03-2021";99;238.2;2;4.8;0;0
"Druten";225;"Druten";18926;"17-02-2021";"02-03-2021";92;486.1;0;0;0;0
"Duiven";226;"Duiven";25126;"17-02-2021";"02-03-2021";49;195;1;4;2;8
"Echt-Susteren";1711;"Echt-Susteren";31610;"17-02-2021";"02-03-2021";75;237.3;0;0;2;6.3
"Edam-Volendam";385;"Edam-Volendam";36197;"17-02-2021";"02-03-2021";255;704.5;1;2.8;1;2.8
"Ede";228;"Ede";117165;"17-02-2021";"02-03-2021";270;230.4;1;0.9;3;2.6
"Eemnes";317;"Eemnes";9247;"17-02-2021";"02-03-2021";55;594.8;1;10.8;0;0
"Eemsdelta";1979;"Eemsdelta";45857;"17-02-2021";"02-03-2021";185;403.4;1;2.2;1;2.2
"Eersel";770;"Eersel";19313;"17-02-2021";"02-03-2021";89;460.8;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"17-02-2021";"02-03-2021";35;135.8;0;0;2;7.8
"Eindhoven";772;"Eindhoven";234394;"17-02-2021";"02-03-2021";854;364.3;8;3.4;13;5.5
"Elburg";230;"Elburg";23161;"17-02-2021";"02-03-2021";53;228.8;1;4.3;0;0
"Emmen";114;"Emmen";107048;"17-02-2021";"02-03-2021";509;475.5;6;5.6;2;1.9
"Enkhuizen";388;"Enkhuizen";18591;"17-02-2021";"02-03-2021";143;769.2;1;5.4;0;0
"Enschede";153;"Enschede";159640;"17-02-2021";"02-03-2021";337;211.1;3;1.9;4;2.5
"Epe";232;"Epe";33178;"17-02-2021";"02-03-2021";93;280.3;0;0;4;12.1
"Ermelo";233;"Ermelo";27008;"17-02-2021";"02-03-2021";42;155.5;0;0;0;0
"Etten-Leur";777;"Etten-Leur";43878;"17-02-2021";"02-03-2021";85;193.7;0;0;1;2.3
"Geertruidenberg";779;"Geertruidenberg";21544;"17-02-2021";"02-03-2021";96;445.6;0;0;0;0
"Geldrop-Mierlo";1771;"Geldrop-Mierlo";39726;"17-02-2021";"02-03-2021";186;468.2;1;2.5;1;2.5
