"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Castricum";383;"Castricum";36086;"30-03-2022";"12-04-2022";343;950.5;3;8.3;0;0
"Coevorden";109;"Coevorden";35317;"30-03-2022";"12-04-2022";349;988.2;6;17;0;0
"Cranendonck";1706;"Cranendonck";21001;"30-03-2022";"12-04-2022";118;561.9;1;4.8;0;0
"Culemborg";216;"Culemborg";29121;"30-03-2022";"12-04-2022";350;1201.9;3;10.3;0;0
"Dalfsen";148;"Dalfsen";28901;"30-03-2022";"12-04-2022";335;1159.1;1;3.5;0;0
"Dantumadiel";1891;"Dantumadiel";18943;"30-03-2022";"12-04-2022";134;707.4;5;26.4;0;0
"De Bilt";310;"De Bilt";43384;"30-03-2022";"12-04-2022";476;1097.2;3;6.9;0;0
"De Fryske Marren";1940;"De Fryske Marren";51778;"30-03-2022";"12-04-2022";418;807.3;10;19.3;0;0
"De Ronde Venen";736;"De Ronde Venen";44720;"30-03-2022";"12-04-2022";467;1044.3;1;2.2;0;0
"De Wolden";1690;"De Wolden";24374;"30-03-2022";"12-04-2022";294;1206.2;2;8.2;1;4.1
"Delft";503;"Delft";103581;"30-03-2022";"12-04-2022";1172;1131.5;14;13.5;0;0
"Den Helder";400;"Den Helder";56582;"30-03-2022";"12-04-2022";522;922.6;5;8.8;0;0
"Deurne";762;"Deurne";32437;"30-03-2022";"12-04-2022";192;591.9;1;3.1;0;0
"Deventer";150;"Deventer";101236;"30-03-2022";"12-04-2022";1060;1047.1;15;14.8;0;0
"Diemen";384;"Diemen";31334;"30-03-2022";"12-04-2022";307;979.8;1;3.2;0;0
"Dijk en Waard";1980;"Dijk en Waard";86722;"30-03-2022";"12-04-2022";784;904;14;16.1;1;1.2
"Dinkelland";1774;"Dinkelland";26606;"30-03-2022";"12-04-2022";219;823.1;0;0;1;3.8
"Doesburg";221;"Doesburg";11064;"30-03-2022";"12-04-2022";145;1310.6;2;18.1;0;0
"Doetinchem";222;"Doetinchem";58270;"30-03-2022";"12-04-2022";708;1215;4;6.9;0;0
"Dongen";766;"Dongen";26368;"30-03-2022";"12-04-2022";211;800.2;4;15.2;0;0
"Dordrecht";505;"Dordrecht";119115;"30-03-2022";"12-04-2022";1056;886.5;14;11.8;2;1.7
"Drechterland";498;"Drechterland";19838;"30-03-2022";"12-04-2022";151;761.2;3;15.1;0;0
"Drimmelen";1719;"Drimmelen";27325;"30-03-2022";"12-04-2022";196;717.3;8;29.3;0;0
"Dronten";303;"Dronten";42011;"30-03-2022";"12-04-2022";438;1042.6;3;7.1;0;0
