"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"11-01-2023";"24-01-2023";107;19,3;11;2
"'s-Hertogenbosch";156538;"11-01-2023";"24-01-2023";19;12,1;3;1,9
"Aa en Hunze";25579;"11-01-2023";"24-01-2023";6;23,5;0;0
"Aalsmeer";32452;"11-01-2023";"24-01-2023";3;9,2;1;3,1
"Aalten";27100;"11-01-2023";"24-01-2023";6;22,1;2;7,4
"Achtkarspelen";27954;"11-01-2023";"24-01-2023";3;10,7;1;3,6
"Alblasserdam";20087;"11-01-2023";"24-01-2023";3;14,9;0;0
"Albrandswaard";25934;"11-01-2023";"24-01-2023";6;23,1;0;0
"Alkmaar";110783;"11-01-2023";"24-01-2023";20;18,1;3;2,7
"Almelo";73155;"11-01-2023";"24-01-2023";16;21,9;2;2,7
"Almere";217828;"11-01-2023";"24-01-2023";29;13,3;1;0,5
"Alphen aan den Rijn";112926;"11-01-2023";"24-01-2023";11;9,7;3;2,7
"Alphen-Chaam";10425;"11-01-2023";"24-01-2023";0;0;0;0
"Altena";57009;"11-01-2023";"24-01-2023";3;5,3;1;1,8
"Ameland";3757;"11-01-2023";"24-01-2023";0;0;0;0
"Amersfoort";158590;"11-01-2023";"24-01-2023";33;20,8;0;0
"Amstelveen";92331;"11-01-2023";"24-01-2023";5;5,4;0;0
"Amsterdam";903399;"11-01-2023";"24-01-2023";169;18,7;30;3,3
"Apeldoorn";165611;"11-01-2023";"24-01-2023";53;32;4;2,4
"Arnhem";163888;"11-01-2023";"24-01-2023";58;35,4;1;0,6
"Assen";68979;"11-01-2023";"24-01-2023";9;13;0;0
"Asten";17068;"11-01-2023";"24-01-2023";3;17,6;2;11,7
"Baarle-Nassau";6931;"11-01-2023";"24-01-2023";0;0;0;0
"Baarn";24876;"11-01-2023";"24-01-2023";17;68,3;0;0
"Barendrecht";48714;"11-01-2023";"24-01-2023";8;16,4;0;0
"Barneveld";60584;"11-01-2023";"24-01-2023";11;18,2;0;0
"Beek";15817;"11-01-2023";"24-01-2023";3;19;0;0
"Beekdaelen";35922;"11-01-2023";"24-01-2023";11;30,6;3;8,4
"Beesel";13408;"11-01-2023";"24-01-2023";1;7,5;0;0
"Berg en Dal";34951;"11-01-2023";"24-01-2023";10;28,6;2;5,7
"Bergeijk";18879;"11-01-2023";"24-01-2023";1;5,3;0;0
"Bergen (L.)";13106;"11-01-2023";"24-01-2023";1;7,6;0;0
"Bergen (NH.)";29723;"11-01-2023";"24-01-2023";9;30,3;3;10,1
"Bergen op Zoom";67894;"11-01-2023";"24-01-2023";9;13,3;0;0
"Berkelland";43850;"11-01-2023";"24-01-2023";4;9,1;0;0
"Bernheze";31715;"11-01-2023";"24-01-2023";4;12,6;0;0
"Best";30608;"11-01-2023";"24-01-2023";2;6,5;0;0
"Beuningen";26235;"11-01-2023";"24-01-2023";11;41,9;3;11,4
"Beverwijk";42084;"11-01-2023";"24-01-2023";11;26,1;0;0
"Bladel";20718;"11-01-2023";"24-01-2023";1;4,8;0;0
"Blaricum";12359;"11-01-2023";"24-01-2023";4;32,4;0;0
"Bloemendaal";23732;"11-01-2023";"24-01-2023";5;21,1;0;0
"Bodegraven-Reeuwijk";35752;"11-01-2023";"24-01-2023";1;2,8;0;0
"Boekel";11030;"11-01-2023";"24-01-2023";2;18,1;1;9,1
"Borger-Odoorn";25681;"11-01-2023";"24-01-2023";2;7,8;0;0
"Borne";24007;"11-01-2023";"24-01-2023";6;25;0;0
"Borsele";22847;"11-01-2023";"24-01-2023";3;13,1;0;0
"Boxtel";33129;"11-01-2023";"24-01-2023";4;12,1;0;0
"Breda";184702;"11-01-2023";"24-01-2023";27;14,6;6;3,2
"Bronckhorst";36077;"11-01-2023";"24-01-2023";8;22,2;0;0
"Brummen";20890;"11-01-2023";"24-01-2023";4;19,1;1;4,8
"Brunssum";27674;"11-01-2023";"24-01-2023";4;14,5;1;3,6
"Bunnik";15590;"11-01-2023";"24-01-2023";0;0;0;0
"Bunschoten";22325;"11-01-2023";"24-01-2023";5;22,4;1;4,5
"Buren";27155;"11-01-2023";"24-01-2023";2;7,4;0;0
"Capelle aan den IJssel";67188;"11-01-2023";"24-01-2023";9;13,4;4;6
"Castricum";36263;"11-01-2023";"24-01-2023";5;13,8;1;2,8
"Coevorden";35517;"11-01-2023";"24-01-2023";8;22,5;1;2,8
"Cranendonck";20669;"11-01-2023";"24-01-2023";3;14,5;1;4,8
"Culemborg";29397;"11-01-2023";"24-01-2023";2;6,8;0;0
"Dalfsen";29162;"11-01-2023";"24-01-2023";0;0;0;0
"Dantumadiel";18957;"11-01-2023";"24-01-2023";4;21,1;0;0
"De Bilt";43508;"11-01-2023";"24-01-2023";8;18,4;3;6,9
"De Fryske Marren";51597;"11-01-2023";"24-01-2023";4;7,8;5;9,7
"De Ronde Venen";44955;"11-01-2023";"24-01-2023";7;15,6;2;4,4
"De Wolden";24511;"11-01-2023";"24-01-2023";4;16,3;1;4,1
"Delft";104572;"11-01-2023";"24-01-2023";16;15,3;7;6,7
"Den Helder";56334;"11-01-2023";"24-01-2023";5;8,9;3;5,3
"Deurne";32606;"11-01-2023";"24-01-2023";4;12,3;0;0
"Deventer";101446;"11-01-2023";"24-01-2023";10;9,9;3;3
"Diemen";31822;"11-01-2023";"24-01-2023";10;31,4;4;12,6
"Dijk en Waard";87695;"11-01-2023";"24-01-2023";13;14,8;2;2,3
"Dinkelland";26594;"11-01-2023";"24-01-2023";5;18,8;3;11,3
"Doesburg";11036;"11-01-2023";"24-01-2023";5;45,3;0;0
"Doetinchem";58546;"11-01-2023";"24-01-2023";25;42,7;0;0
"Dongen";26483;"11-01-2023";"24-01-2023";1;3,8;0;0
"Dordrecht";119537;"11-01-2023";"24-01-2023";39;32,6;4;3,3
"Drechterland";19983;"11-01-2023";"24-01-2023";3;15;3;15
"Drimmelen";27476;"11-01-2023";"24-01-2023";5;18,2;2;7,3
"Dronten";42865;"11-01-2023";"24-01-2023";3;7;1;2,3
"Druten";19178;"11-01-2023";"24-01-2023";5;26,1;1;5,2
"Duiven";24946;"11-01-2023";"24-01-2023";5;20;1;4
"Echt-Susteren";31731;"11-01-2023";"24-01-2023";11;34,7;0;0
"Edam-Volendam";36471;"11-01-2023";"24-01-2023";2;5,5;1;2,7
"Ede";119986;"11-01-2023";"24-01-2023";22;18,3;3;2,5
"Eemnes";9450;"11-01-2023";"24-01-2023";0;0;1;10,6
"Eemsdelta";45389;"11-01-2023";"24-01-2023";11;24,2;1;2,2
"Eersel";19823;"11-01-2023";"24-01-2023";4;20,2;2;10,1
"Eijsden-Margraten";25857;"11-01-2023";"24-01-2023";10;38,7;0;0
"Eindhoven";238326;"11-01-2023";"24-01-2023";44;18,5;7;2,9
"Elburg";23740;"11-01-2023";"24-01-2023";5;21,1;1;4,2
"Emmen";107856;"11-01-2023";"24-01-2023";27;25;0;0
"Enkhuizen";18620;"11-01-2023";"24-01-2023";1;5,4;1;5,4
"Enschede";160640;"11-01-2023";"24-01-2023";37;23;10;6,2
"Epe";33257;"11-01-2023";"24-01-2023";8;24,1;3;9
"Ermelo";27258;"11-01-2023";"24-01-2023";6;22;0;0
"Etten-Leur";44152;"11-01-2023";"24-01-2023";10;22,6;2;4,5
"Geertruidenberg";21944;"11-01-2023";"24-01-2023";2;9,1;2;9,1
"Geldrop-Mierlo";40131;"11-01-2023";"24-01-2023";6;15;6;15
"Gemert-Bakel";31040;"11-01-2023";"24-01-2023";6;19,3;3;9,7
"Gennep";17237;"11-01-2023";"24-01-2023";2;11,6;0;0
"Gilze en Rijen";26557;"11-01-2023";"24-01-2023";2;7,5;0;0
"Goeree-Overflakkee";51051;"11-01-2023";"24-01-2023";24;47;5;9,8
"Goes";38950;"11-01-2023";"24-01-2023";17;43,6;1;2,6
"Goirle";23979;"11-01-2023";"24-01-2023";3;12,5;0;0
"Gooise Meren";58846;"11-01-2023";"24-01-2023";9;15,3;0;0
"Gorinchem";37632;"11-01-2023";"24-01-2023";6;15,9;0;0
"Gouda";74095;"11-01-2023";"24-01-2023";18;24,3;5;6,7
"Groningen";234950;"11-01-2023";"24-01-2023";41;17,5;4;1,7
"Gulpen-Wittem";14178;"11-01-2023";"24-01-2023";3;21,2;1;7,1
"Haaksbergen";24268;"11-01-2023";"24-01-2023";9;37,1;1;4,1
"Haarlem";162898;"11-01-2023";"24-01-2023";40;24,6;3;1,8
"Haarlemmermeer";159336;"11-01-2023";"24-01-2023";38;23,8;6;3,8
"Halderberge";30770;"11-01-2023";"24-01-2023";2;6,5;1;3,2
"Hardenberg";61798;"11-01-2023";"24-01-2023";15;24,3;0;0
"Harderwijk";48857;"11-01-2023";"24-01-2023";15;30,7;0;0
"Hardinxveld-Giessendam";18511;"11-01-2023";"24-01-2023";2;10,8;0;0
"Harlingen";15904;"11-01-2023";"24-01-2023";0;0;0;0
"Hattem";12307;"11-01-2023";"24-01-2023";2;16,3;1;8,1
"Heemskerk";39189;"11-01-2023";"24-01-2023";14;35,7;0;0
"Heemstede";27557;"11-01-2023";"24-01-2023";10;36,3;2;7,3
"Heerde";18976;"11-01-2023";"24-01-2023";5;26,3;1;5,3
"Heerenveen";51119;"11-01-2023";"24-01-2023";7;13,7;2;3,9
"Heerlen";86845;"11-01-2023";"24-01-2023";9;10,4;2;2,3
"Heeze-Leende";16470;"11-01-2023";"24-01-2023";3;18,2;0;0
"Heiloo";24417;"11-01-2023";"24-01-2023";4;16,4;1;4,1
"Hellendoorn";35940;"11-01-2023";"24-01-2023";8;22,3;0;0
"Helmond";93476;"11-01-2023";"24-01-2023";9;9,6;4;4,3
"Hendrik-Ido-Ambacht";31663;"11-01-2023";"24-01-2023";4;12,6;3;9,5
"Hengelo";81476;"11-01-2023";"24-01-2023";15;18,4;2;2,5
"Het Hogeland";48022;"11-01-2023";"24-01-2023";6;12,5;1;2,1
"Heumen";17175;"11-01-2023";"24-01-2023";1;5,8;0;0
"Heusden";45557;"11-01-2023";"24-01-2023";5;11;1;2,2
"Hillegom";22312;"11-01-2023";"24-01-2023";1;4,5;1;4,5
"Hilvarenbeek";15810;"11-01-2023";"24-01-2023";2;12,7;1;6,3
"Hilversum";91733;"11-01-2023";"24-01-2023";10;10,9;0;0
"Hoeksche Waard";88715;"11-01-2023";"24-01-2023";11;12,4;4;4,5
"Hof van Twente";35056;"11-01-2023";"24-01-2023";10;28,5;0;0
"Hollands Kroon";48778;"11-01-2023";"24-01-2023";3;6,2;1;2,1
"Hoogeveen";55857;"11-01-2023";"24-01-2023";11;19,7;1;1,8
"Hoorn";74298;"11-01-2023";"24-01-2023";15;20,2;1;1,3
"Horst aan de Maas";43039;"11-01-2023";"24-01-2023";5;11,6;1;2,3
"Houten";50323;"11-01-2023";"24-01-2023";10;19,9;3;6
"Huizen";40938;"11-01-2023";"24-01-2023";6;14,7;0;0
"Hulst";27533;"11-01-2023";"24-01-2023";12;43,6;2;7,3
"IJsselstein";33429;"11-01-2023";"24-01-2023";11;32,9;3;9
"Kaag en Braassem";27895;"11-01-2023";"24-01-2023";1;3,6;0;0
"Kampen";54791;"11-01-2023";"24-01-2023";5;9,1;2;3,7
"Kapelle";13020;"11-01-2023";"24-01-2023";3;23;0;0
"Katwijk";66032;"11-01-2023";"24-01-2023";12;18,2;5;7,6
"Kerkrade";45324;"11-01-2023";"24-01-2023";3;6,6;1;2,2
"Koggenland";23048;"11-01-2023";"24-01-2023";7;30,4;2;8,7
"Krimpen aan den IJssel";29415;"11-01-2023";"24-01-2023";1;3,4;0;0
"Krimpenerwaard";57062;"11-01-2023";"24-01-2023";12;21;3;5,3
"Laarbeek";22943;"11-01-2023";"24-01-2023";7;30,5;6;26,2
"Land van Cuijk";90707;"11-01-2023";"24-01-2023";15;16,5;4;4,4
"Landgraaf";37023;"11-01-2023";"24-01-2023";5;13,5;1;2,7
"Landsmeer";11560;"11-01-2023";"24-01-2023";0;0;0;0
"Lansingerland";64110;"11-01-2023";"24-01-2023";7;10,9;1;1,6
"Laren";11528;"11-01-2023";"24-01-2023";5;43,4;1;8,7
"Leeuwarden";125504;"11-01-2023";"24-01-2023";23;18,3;1;0,8
"Leiden";125074;"11-01-2023";"24-01-2023";31;24,8;3;2,4
"Leiderdorp";27464;"11-01-2023";"24-01-2023";5;18,2;2;7,3
"Leidschendam-Voorburg";76659;"11-01-2023";"24-01-2023";12;15,7;0;0
"Lelystad";81214;"11-01-2023";"24-01-2023";7;8,6;1;1,2
"Leudal";35928;"11-01-2023";"24-01-2023";3;8,4;0;0
"Leusden";30713;"11-01-2023";"24-01-2023";6;19,5;0;0
"Lingewaard";46963;"11-01-2023";"24-01-2023";11;23,4;0;0
"Lisse";23015;"11-01-2023";"24-01-2023";1;4,3;0;0
"Lochem";34069;"11-01-2023";"24-01-2023";8;23,5;2;5,9
"Loon op Zand";23768;"11-01-2023";"24-01-2023";4;16,8;0;0
"Lopik";14512;"11-01-2023";"24-01-2023";2;13,8;0;0
"Losser";23084;"11-01-2023";"24-01-2023";5;21,7;1;4,3
"Maasdriel";25504;"11-01-2023";"24-01-2023";9;35,3;1;3,9
"Maasgouw";24028;"11-01-2023";"24-01-2023";8;33,3;0;0
"Maashorst";58362;"11-01-2023";"24-01-2023";10;17,1;1;1,7
"Maassluis";34148;"11-01-2023";"24-01-2023";7;20,5;2;5,9
"Maastricht";121151;"11-01-2023";"24-01-2023";21;17,3;0;0
"Medemblik";45464;"11-01-2023";"24-01-2023";8;17,6;0;0
"Meerssen";18581;"11-01-2023";"24-01-2023";9;48,4;0;0
"Meierijstad";82613;"11-01-2023";"24-01-2023";18;21,8;1;1,2
"Meppel";34761;"11-01-2023";"24-01-2023";15;43,2;1;2,9
"Middelburg";49199;"11-01-2023";"24-01-2023";13;26,4;1;2
"Midden-Delfland";19484;"11-01-2023";"24-01-2023";3;15,4;1;5,1
"Midden-Drenthe";33689;"11-01-2023";"24-01-2023";6;17,8;0;0
"Midden-Groningen";60898;"11-01-2023";"24-01-2023";14;23;0;0
"Moerdijk";37313;"11-01-2023";"24-01-2023";4;10,7;0;0
"Molenlanden";44644;"11-01-2023";"24-01-2023";4;9;1;2,2
"Montferland";36359;"11-01-2023";"24-01-2023";3;8,3;0;0
"Montfoort";13818;"11-01-2023";"24-01-2023";0;0;0;0
"Mook en Middelaar";7989;"11-01-2023";"24-01-2023";1;12,5;1;12,5
"Neder-Betuwe";25032;"11-01-2023";"24-01-2023";2;8;0;0
"Nederweert";17323;"11-01-2023";"24-01-2023";3;17,3;0;0
"Nieuwegein";64554;"11-01-2023";"24-01-2023";11;17;1;1,5
"Nieuwkoop";29304;"11-01-2023";"24-01-2023";14;47,8;0;0
"Nijkerk";44311;"11-01-2023";"24-01-2023";3;6,8;1;2,3
"Nijmegen";179100;"11-01-2023";"24-01-2023";34;19;5;2,8
"Nissewaard";86332;"11-01-2023";"24-01-2023";11;12,7;4;4,6
"Noardeast-Fryslân";45593;"11-01-2023";"24-01-2023";7;15,4;0;0
"Noord-Beveland";7668;"11-01-2023";"24-01-2023";1;13;0;0
"Noordenveld";31238;"11-01-2023";"24-01-2023";3;9,6;0;0
"Noordoostpolder";48048;"11-01-2023";"24-01-2023";5;10,4;1;2,1
"Noordwijk";44365;"11-01-2023";"24-01-2023";11;24,8;1;2,3
"Nuenen, Gerwen en Nederwetten";23826;"11-01-2023";"24-01-2023";6;25,2;2;8,4
"Nunspeet";28223;"11-01-2023";"24-01-2023";2;7,1;1;3,5
"Oegstgeest";25499;"11-01-2023";"24-01-2023";4;15,7;3;11,8
"Oirschot";19061;"11-01-2023";"24-01-2023";4;21;1;5,2
"Oisterwijk";32503;"11-01-2023";"24-01-2023";4;12,3;2;6,2
"Oldambt";38521;"11-01-2023";"24-01-2023";8;20,8;0;0
"Oldebroek";23930;"11-01-2023";"24-01-2023";4;16,7;3;12,5
"Oldenzaal";31741;"11-01-2023";"24-01-2023";9;28,4;2;6,3
"Olst-Wijhe";18496;"11-01-2023";"24-01-2023";0;0;2;10,8
"Ommen";18457;"11-01-2023";"24-01-2023";10;54,2;1;5,4
"Oost Gelre";29603;"11-01-2023";"24-01-2023";4;13,5;1;3,4
"Oosterhout";56535;"11-01-2023";"24-01-2023";1;1,8;1;1,8
"Ooststellingwerf";25680;"11-01-2023";"24-01-2023";3;11,7;0;0
"Oostzaan";9639;"11-01-2023";"24-01-2023";3;31,1;0;0
"Opmeer";12074;"11-01-2023";"24-01-2023";0;0;0;0
"Opsterland";29791;"11-01-2023";"24-01-2023";3;10,1;0;0
"Oss";93307;"11-01-2023";"24-01-2023";17;18,2;0;0
"Oude IJsselstreek";39387;"11-01-2023";"24-01-2023";11;27,9;0;0
"Ouder-Amstel";14212;"11-01-2023";"24-01-2023";6;42,2;0;0
"Oudewater";10159;"11-01-2023";"24-01-2023";4;39,4;1;9,8
"Overbetuwe";48266;"11-01-2023";"24-01-2023";10;20,7;2;4,1
"Papendrecht";32208;"11-01-2023";"24-01-2023";10;31;2;6,2
"Peel en Maas";44278;"11-01-2023";"24-01-2023";8;18,1;0;0
"Pekela";12196;"11-01-2023";"24-01-2023";0;0;0;0
"Pijnacker-Nootdorp";56572;"11-01-2023";"24-01-2023";2;3,5;1;1,8
"Purmerend";92240;"11-01-2023";"24-01-2023";13;14,1;3;3,3
"Putten";24598;"11-01-2023";"24-01-2023";1;4,1;1;4,1
"Raalte";38140;"11-01-2023";"24-01-2023";10;26,2;1;2,6
"Reimerswaal";22920;"11-01-2023";"24-01-2023";5;21,8;1;4,4
"Renkum";31358;"11-01-2023";"24-01-2023";12;38,3;1;3,2
"Renswoude";5651;"11-01-2023";"24-01-2023";0;0;0;0
"Reusel-De Mierden";13271;"11-01-2023";"24-01-2023";1;7,5;0;0
"Rheden";43435;"11-01-2023";"24-01-2023";18;41,4;2;4,6
"Rhenen";20265;"11-01-2023";"24-01-2023";3;14,8;0;0
"Ridderkerk";47099;"11-01-2023";"24-01-2023";10;21,2;2;4,2
"Rijssen-Holten";38231;"11-01-2023";"24-01-2023";4;10,5;1;2,6
"Rijswijk";56941;"11-01-2023";"24-01-2023";10;17,6;1;1,8
"Roerdalen";20558;"11-01-2023";"24-01-2023";13;63,2;0;0
"Roermond";59184;"11-01-2023";"24-01-2023";12;20,3;1;1,7
"Roosendaal";77244;"11-01-2023";"24-01-2023";5;6,5;2;2,6
"Rotterdam";655468;"11-01-2023";"24-01-2023";105;16;35;5,3
"Rozendaal";1756;"11-01-2023";"24-01-2023";0;0;0;0
