"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"28-09-2022";"11-10-2022";818;147,8;24;4,3;1;0,2
"'s-Hertogenbosch";156538;"28-09-2022";"11-10-2022";334;213,4;12;7,7;0;0
"Aa en Hunze";25579;"28-09-2022";"11-10-2022";51;199,4;0;0;0;0
"Aalsmeer";32452;"28-09-2022";"11-10-2022";57;175,6;2;6,2;0;0
"Aalten";27100;"28-09-2022";"11-10-2022";66;243,5;5;18,5;0;0
"Achtkarspelen";27954;"28-09-2022";"11-10-2022";28;100,2;0;0;0;0
"Alblasserdam";20087;"28-09-2022";"11-10-2022";34;169,3;2;10;0;0
"Albrandswaard";25934;"28-09-2022";"11-10-2022";44;169,7;3;11,6;0;0
"Alkmaar";110783;"28-09-2022";"11-10-2022";218;196,8;9;8,1;0;0
"Almelo";73155;"28-09-2022";"11-10-2022";194;265,2;4;5,5;0;0
"Almere";217828;"28-09-2022";"11-10-2022";372;170,8;17;7,8;0;0
"Alphen aan den Rijn";112926;"28-09-2022";"11-10-2022";309;273,6;6;5,3;0;0
"Alphen-Chaam";10425;"28-09-2022";"11-10-2022";17;163,1;3;28,8;0;0
"Altena";57009;"28-09-2022";"11-10-2022";66;115,8;4;7;0;0
"Ameland";3757;"28-09-2022";"11-10-2022";2;53,2;0;0;0;0
"Amersfoort";158590;"28-09-2022";"11-10-2022";460;290,1;6;3,8;0;0
"Amstelveen";92331;"28-09-2022";"11-10-2022";198;214,4;2;2,2;0;0
"Amsterdam";903399;"28-09-2022";"11-10-2022";1436;159;28;3,1;3;0,3
"Apeldoorn";165611;"28-09-2022";"11-10-2022";542;327,3;22;13,3;2;1,2
"Arnhem";163888;"28-09-2022";"11-10-2022";404;246,5;2;1,2;0;0
"Assen";68979;"28-09-2022";"11-10-2022";184;266,7;0;0;0;0
"Asten";17068;"28-09-2022";"11-10-2022";34;199,2;4;23,4;0;0
"Baarle-Nassau";6931;"28-09-2022";"11-10-2022";3;43,3;0;0;0;0
"Baarn";24876;"28-09-2022";"11-10-2022";47;188,9;1;4;0;0
"Barendrecht";48714;"28-09-2022";"11-10-2022";94;193;3;6,2;1;2,1
