"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"14-12-2022";"27-12-2022";370;66,9;25;4,5;1;0,2
"'s-Hertogenbosch";156538;"14-12-2022";"27-12-2022";113;72,2;2;1,3;1;0,6
"Aa en Hunze";25579;"14-12-2022";"27-12-2022";10;39,1;0;0;0;0
"Aalsmeer";32452;"14-12-2022";"27-12-2022";11;33,9;2;6,2;0;0
"Aalten";27100;"14-12-2022";"27-12-2022";7;25,8;0;0;0;0
"Achtkarspelen";27954;"14-12-2022";"27-12-2022";14;50,1;4;14,3;0;0
"Alblasserdam";20087;"14-12-2022";"27-12-2022";19;94,6;1;5;0;0
"Albrandswaard";25934;"14-12-2022";"27-12-2022";19;73,3;1;3,9;0;0
"Alkmaar";110783;"14-12-2022";"27-12-2022";50;45,1;10;9;0;0
"Almelo";73155;"14-12-2022";"27-12-2022";32;43,7;1;1,4;0;0
"Almere";217828;"14-12-2022";"27-12-2022";149;68,4;0;0;0;0
"Alphen aan den Rijn";112926;"14-12-2022";"27-12-2022";86;76,2;5;4,4;0;0
"Alphen-Chaam";10425;"14-12-2022";"27-12-2022";2;19,2;1;9,6;0;0
"Altena";57009;"14-12-2022";"27-12-2022";10;17,5;2;3,5;0;0
"Ameland";3757;"14-12-2022";"27-12-2022";0;0;1;26,6;0;0
"Amersfoort";158590;"14-12-2022";"27-12-2022";184;116;1;0,6;0;0
"Amstelveen";92331;"14-12-2022";"27-12-2022";65;70,4;0;0;0;0
"Amsterdam";903399;"14-12-2022";"27-12-2022";671;74,3;29;3,2;1;0,1
"Apeldoorn";165611;"14-12-2022";"27-12-2022";132;79,7;14;8,5;1;0,6
"Arnhem";163888;"14-12-2022";"27-12-2022";116;70,8;2;1,2;0;0
"Assen";68979;"14-12-2022";"27-12-2022";73;105,8;1;1,4;0;0
"Asten";17068;"14-12-2022";"27-12-2022";2;11,7;1;5,9;0;0
"Baarle-Nassau";6931;"14-12-2022";"27-12-2022";1;14,4;2;28,9;0;0
"Baarn";24876;"14-12-2022";"27-12-2022";33;132,7;3;12,1;1;4
"Barendrecht";48714;"14-12-2022";"27-12-2022";24;49,3;4;8,2;0;0
"Barneveld";60584;"14-12-2022";"27-12-2022";26;42,9;1;1,7;0;0
"Beek";15817;"14-12-2022";"27-12-2022";9;56,9;0;0;0;0
"Beekdaelen";35922;"14-12-2022";"27-12-2022";23;64;0;0;0;0
"Beesel";13408;"14-12-2022";"27-12-2022";6;44,7;0;0;1;7,5
"Berg en Dal";34951;"14-12-2022";"27-12-2022";43;123;4;11,4;0;0
"Bergeijk";18879;"14-12-2022";"27-12-2022";3;15,9;0;0;0;0
"Bergen (L.)";13106;"14-12-2022";"27-12-2022";6;45,8;0;0;0;0
"Bergen (NH.)";29723;"14-12-2022";"27-12-2022";14;47,1;6;20,2;0;0
"Bergen op Zoom";67894;"14-12-2022";"27-12-2022";20;29,5;2;2,9;0;0
"Berkelland";43850;"14-12-2022";"27-12-2022";25;57;3;6,8;0;0
"Bernheze";31715;"14-12-2022";"27-12-2022";14;44,1;1;3,2;0;0
"Best";30608;"14-12-2022";"27-12-2022";16;52,3;0;0;0;0
"Beuningen";26235;"14-12-2022";"27-12-2022";15;57,2;2;7,6;0;0
"Beverwijk";42084;"14-12-2022";"27-12-2022";38;90,3;0;0;0;0
"Bladel";20718;"14-12-2022";"27-12-2022";6;29;0;0;0;0
"Blaricum";12359;"14-12-2022";"27-12-2022";5;40,5;0;0;0;0
"Bloemendaal";23732;"14-12-2022";"27-12-2022";13;54,8;0;0;0;0
"Bodegraven-Reeuwijk";35752;"14-12-2022";"27-12-2022";22;61,5;1;2,8;0;0
"Boekel";11030;"14-12-2022";"27-12-2022";5;45,3;1;9,1;0;0
"Borger-Odoorn";25681;"14-12-2022";"27-12-2022";23;89,6;0;0;0;0
"Borne";24007;"14-12-2022";"27-12-2022";15;62,5;2;8,3;0;0
"Borsele";22847;"14-12-2022";"27-12-2022";23;100,7;1;4,4;0;0
"Boxtel";33129;"14-12-2022";"27-12-2022";23;69,4;1;3;0;0
"Breda";184702;"14-12-2022";"27-12-2022";98;53,1;11;6;0;0
"Brielle";17704;"14-12-2022";"27-12-2022";12;67,8;3;16,9;0;0
"Bronckhorst";36077;"14-12-2022";"27-12-2022";22;61;1;2,8;0;0
"Brummen";20890;"14-12-2022";"27-12-2022";18;86,2;2;9,6;0;0
"Brunssum";27674;"14-12-2022";"27-12-2022";35;126,5;1;3,6;1;3,6
"Bunnik";15590;"14-12-2022";"27-12-2022";15;96,2;1;6,4;0;0
"Bunschoten";22325;"14-12-2022";"27-12-2022";12;53,8;1;4,5;0;0
"Buren";27155;"14-12-2022";"27-12-2022";40;147,3;1;3,7;0;0
"Capelle aan den IJssel";67188;"14-12-2022";"27-12-2022";24;35,7;4;6;0;0
"Castricum";36263;"14-12-2022";"27-12-2022";16;44,1;1;2,8;0;0
"Coevorden";35517;"14-12-2022";"27-12-2022";35;98,5;2;5,6;0;0
"Cranendonck";20669;"14-12-2022";"27-12-2022";11;53,2;0;0;0;0
"Culemborg";29397;"14-12-2022";"27-12-2022";13;44,2;3;10,2;0;0
"Dalfsen";29162;"14-12-2022";"27-12-2022";13;44,6;1;3,4;0;0
"Dantumadiel";18957;"14-12-2022";"27-12-2022";15;79,1;2;10,6;0;0
"De Bilt";43508;"14-12-2022";"27-12-2022";27;62,1;1;2,3;0;0
"De Fryske Marren";51597;"14-12-2022";"27-12-2022";24;46,5;4;7,8;0;0
"De Ronde Venen";44955;"14-12-2022";"27-12-2022";33;73,4;4;8,9;0;0
"De Wolden";24511;"14-12-2022";"27-12-2022";7;28,6;1;4,1;0;0
"Delft";104572;"14-12-2022";"27-12-2022";40;38,3;1;1;0;0
"Den Helder";56334;"14-12-2022";"27-12-2022";52;92,3;9;16;0;0
"Deurne";32606;"14-12-2022";"27-12-2022";5;15,3;2;6,1;0;0
"Deventer";101446;"14-12-2022";"27-12-2022";72;71;4;3,9;0;0
