"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"Eijsden-Margraten";25857;"17-4-2023";"23-4-2023";0;0;432,6
"Eindhoven";238326;"17-4-2023";"23-4-2023";2;0,8;276,88
"Elburg";23740;"17-4-2023";"23-4-2023";2;8,4;337,67
"Emmen";107856;"17-4-2023";"23-4-2023";2;1,9;147,97
"Enkhuizen";18620;"17-4-2023";"23-4-2023";0;0;262,37
"Enschede";160640;"17-4-2023";"23-4-2023";6;3,7;530,35
"Epe";33257;"17-4-2023";"23-4-2023";0;0;538,04
"Ermelo";27258;"17-4-2023";"23-4-2023";0;0;555,72
"Etten-Leur";44152;"17-4-2023";"23-4-2023";1;2,3;262,11
"Geertruidenberg";21944;"17-4-2023";"23-4-2023";0;0;
"Geldrop-Mierlo";40131;"17-4-2023";"23-4-2023";0;0;276,55
"Gemert-Bakel";31040;"17-4-2023";"23-4-2023";0;0;28,53
"Gennep";17237;"17-4-2023";"23-4-2023";0;0;294,07
"Gilze en Rijen";26557;"17-4-2023";"23-4-2023";1;3,8;
"Goeree-Overflakkee";51051;"17-4-2023";"23-4-2023";0;0;669,6
"Goes";38950;"17-4-2023";"23-4-2023";1;2,6;902,44
"Goirle";23979;"17-4-2023";"23-4-2023";0;0;144,14
"Gooise Meren";58846;"17-4-2023";"23-4-2023";0;0;742,13
"Gorinchem";37632;"17-4-2023";"23-4-2023";0;0;423
"Gouda";74095;"17-4-2023";"23-4-2023";0;0;975,77
"Groningen";234950;"17-4-2023";"23-4-2023";5;2,1;380,56
"Gulpen-Wittem";14178;"17-4-2023";"23-4-2023";0;0;1776,42
"Haaksbergen";24268;"17-4-2023";"23-4-2023";2;8,2;165,16
"Haarlem";162898;"17-4-2023";"23-4-2023";1;0,6;720,53
"Haarlemmermeer";159336;"17-4-2023";"23-4-2023";2;1,3;671,29
"Halderberge";30770;"17-4-2023";"23-4-2023";1;3,2;175,84
"Hardenberg";61798;"17-4-2023";"23-4-2023";0;0;796,68
"Harderwijk";48857;"17-4-2023";"23-4-2023";1;2;555,57
"Hardinxveld-Giessendam";18511;"17-4-2023";"23-4-2023";0;0;802,62
"Harlingen";15904;"17-4-2023";"23-4-2023";0;0;554,99
"Hattem";12307;"17-4-2023";"23-4-2023";2;16,3;1544,4
"Heemskerk";39189;"17-4-2023";"23-4-2023";0;0;
"Heemstede";27557;"17-4-2023";"23-4-2023";0;0;426,09
"Heerde";18976;"17-4-2023";"23-4-2023";1;5,3;163,04
"Heerenveen";51119;"17-4-2023";"23-4-2023";4;7,8;1113,89
"Heerlen";86845;"17-4-2023";"23-4-2023";1;1,2;110,06
"Heeze-Leende";16470;"17-4-2023";"23-4-2023";0;0;277,3
"Heiloo";24417;"17-4-2023";"23-4-2023";0;0;
"Hellendoorn";35940;"17-4-2023";"23-4-2023";0;0;221,62
"Helmond";93476;"17-4-2023";"23-4-2023";0;0;28,41
"Hendrik-Ido-Ambacht";31663;"17-4-2023";"23-4-2023";0;0;228,78
"Hengelo";81476;"17-4-2023";"23-4-2023";1;1,2;220,14
"Het Hogeland";48022;"17-4-2023";"23-4-2023";4;8,3;630,91
"Heumen";17175;"17-4-2023";"23-4-2023";0;0;728,9
"Heusden";45557;"17-4-2023";"23-4-2023";0;0;287,75
"Hillegom";22312;"17-4-2023";"23-4-2023";0;0;
"Hilvarenbeek";15810;"17-4-2023";"23-4-2023";0;0;153,29
"Hilversum";91733;"17-4-2023";"23-4-2023";0;0;516,74
"Hoeksche Waard";88715;"17-4-2023";"23-4-2023";2;2,3;810,54
"Hof van Twente";35056;"17-4-2023";"23-4-2023";0;0;252,71
"Hollands Kroon";48778;"17-4-2023";"23-4-2023";0;0;238,99
"Hoogeveen";55857;"17-4-2023";"23-4-2023";1;1,8;318,21
"Hoorn";74298;"17-4-2023";"23-4-2023";4;5,4;262,37
"Horst aan de Maas";43039;"17-4-2023";"23-4-2023";0;0;416,04
"Houten";50323;"17-4-2023";"23-4-2023";1;2;591,73
"Huizen";40938;"17-4-2023";"23-4-2023";0;0;
"Hulst";27533;"17-4-2023";"23-4-2023";0;0;235,85
"IJsselstein";33429;"17-4-2023";"23-4-2023";1;3;855,19
"Kaag en Braassem";27895;"17-4-2023";"23-4-2023";1;3,6;418,64
"Kampen";54791;"17-4-2023";"23-4-2023";3;5,5;1553,87
"Kapelle";13020;"17-4-2023";"23-4-2023";1;7,7;902,44
"Katwijk";66032;"17-4-2023";"23-4-2023";1;1,5;2468,74
"Kerkrade";45324;"17-4-2023";"23-4-2023";0;0;140,48
"Koggenland";23048;"17-4-2023";"23-4-2023";0;0;286,04
"Krimpen aan den IJssel";29415;"17-4-2023";"23-4-2023";1;3,4;449,77
"Krimpenerwaard";57062;"17-4-2023";"23-4-2023";1;1,8;583,65
"Laarbeek";22943;"17-4-2023";"23-4-2023";0;0;28,41
"Land van Cuijk";90707;"17-4-2023";"23-4-2023";1;1,1;208,7
"Landgraaf";37023;"17-4-2023";"23-4-2023";0;0;168,65
"Landsmeer";11560;"17-4-2023";"23-4-2023";0;0;375,72
"Lansingerland";64110;"17-4-2023";"23-4-2023";1;1,6;378,87
"Laren";11528;"17-4-2023";"23-4-2023";0;0;466,35
"Leeuwarden";125504;"17-4-2023";"23-4-2023";0;0;701,68
"Leiden";125074;"17-4-2023";"23-4-2023";2;1,6;462,72
"Leiderdorp";27464;"17-4-2023";"23-4-2023";1;3,6;505,13
"Leidschendam-Voorburg";76659;"17-4-2023";"23-4-2023";1;1,3;287,4
"Lelystad";81214;"17-4-2023";"23-4-2023";3;3,7;1174,01
"Leudal";35928;"17-4-2023";"23-4-2023";0;0;115,22
"Leusden";30713;"17-4-2023";"23-4-2023";0;0;971,68
"Lingewaard";46963;"17-4-2023";"23-4-2023";2;4,3;222,09
