"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-05-29";"2023-06-04";3;0,5;173,78
"'s-Hertogenbosch";156538;"2023-05-29";"2023-06-04";0;0;16,9
"Aa en Hunze";25579;"2023-05-29";"2023-06-04";0;0;119,08
"Aalsmeer";32452;"2023-05-29";"2023-06-04";0;0;876,31
"Aalten";27100;"2023-05-29";"2023-06-04";0;0;32,73
"Achtkarspelen";27954;"2023-05-29";"2023-06-04";0;0;170,43
"Alblasserdam";20087;"2023-05-29";"2023-06-04";0;0;0
"Albrandswaard";25934;"2023-05-29";"2023-06-04";0;0;54,65
"Alkmaar";110783;"2023-05-29";"2023-06-04";0;0;
"Almelo";73155;"2023-05-29";"2023-06-04";0;0;48,2
"Almere";217828;"2023-05-29";"2023-06-04";0;0;148,12
"Alphen aan den Rijn";112926;"2023-05-29";"2023-06-04";1;0,9;155,7
"Alphen-Chaam";10425;"2023-05-29";"2023-06-04";0;0;55,77
"Altena";57009;"2023-05-29";"2023-06-04";0;0;20,24
"Ameland";3757;"2023-05-29";"2023-06-04";0;0;111,99
"Amersfoort";158590;"2023-05-29";"2023-06-04";0;0;65,64
"Amstelveen";92331;"2023-05-29";"2023-06-04";0;0;251,42
"Amsterdam";903399;"2023-05-29";"2023-06-04";3;0,3;27,96
"Apeldoorn";165611;"2023-05-29";"2023-06-04";0;0;181,08
"Arnhem";163888;"2023-05-29";"2023-06-04";0;0;125,81
"Assen";68979;"2023-05-29";"2023-06-04";1;1,4;78,99
"Asten";17068;"2023-05-29";"2023-06-04";0;0;63,5
"Baarle-Nassau";6931;"2023-05-29";"2023-06-04";0;0;7,39
"Baarn";24876;"2023-05-29";"2023-06-04";0;0;138,56
"Barendrecht";48714;"2023-05-29";"2023-06-04";0;0;128,82
"Barneveld";60584;"2023-05-29";"2023-06-04";0;0;26,05
"Beek";15817;"2023-05-29";"2023-06-04";0;0;49,58
