"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"14-04-2021";"27-04-2021";61;239.7;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"14-04-2021";"27-04-2021";270;847.5;0;0;1;3.1
"Aalten";197;"Aalten";27121;"14-04-2021";"27-04-2021";134;494.1;3;11.1;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27843;"14-04-2021";"27-04-2021";147;528;2;7.2;0;0
"Alblasserdam";482;"Alblasserdam";20165;"14-04-2021";"27-04-2021";185;917.4;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"14-04-2021";"27-04-2021";160;625.2;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109436;"14-04-2021";"27-04-2021";461;421.3;2;1.8;0;0
"Almelo";141;"Almelo";73107;"14-04-2021";"27-04-2021";354;484.2;3;4.1;0;0
"Almere";34;"Almere";211893;"14-04-2021";"27-04-2021";855;403.5;4;1.9;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"14-04-2021";"27-04-2021";677;605;6;5.4;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"14-04-2021";"27-04-2021";96;940.9;0;0;0;0
"Altena";1959;"Altena";55967;"14-04-2021";"27-04-2021";358;639.7;0;0;0;0
"Ameland";60;"Ameland";3716;"14-04-2021";"27-04-2021";14;376.7;1;26.9;1;26.9
"Amersfoort";307;"Amersfoort";157276;"14-04-2021";"27-04-2021";820;521.4;5;3.2;2;1.3
"Amstelveen";362;"Amstelveen";91675;"14-04-2021";"27-04-2021";416;453.8;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"14-04-2021";"27-04-2021";4293;491.9;55;6.3;7;0.8
"Apeldoorn";200;"Apeldoorn";163818;"14-04-2021";"27-04-2021";935;570.8;5;3.1;3;1.8
"Arnhem";202;"Arnhem";161348;"14-04-2021";"27-04-2021";742;459.9;4;2.5;1;0.6
"Assen";106;"Assen";68599;"14-04-2021";"27-04-2021";211;307.6;3;4.4;0;0
"Asten";743;"Asten";16721;"14-04-2021";"27-04-2021";131;783.4;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"14-04-2021";"27-04-2021";30;437.4;1;14.6;0;0
"Baarn";308;"Baarn";24868;"14-04-2021";"27-04-2021";121;486.6;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"14-04-2021";"27-04-2021";297;609.7;1;2.1;1;2.1
"Barneveld";203;"Barneveld";59082;"14-04-2021";"27-04-2021";470;795.5;3;5.1;1;1.7
"Beek";888;"Beek";15865;"14-04-2021";"27-04-2021";132;832;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"14-04-2021";"27-04-2021";315;876.5;3;8.3;2;5.6
"Beemster";370;"Beemster";10022;"14-04-2021";"27-04-2021";34;339.3;0;0;0;0
"Beesel";889;"Beesel";13482;"14-04-2021";"27-04-2021";128;949.4;2;14.8;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"14-04-2021";"27-04-2021";276;788.8;2;5.7;1;2.9
"Bergeijk";1724;"Bergeijk";18635;"14-04-2021";"27-04-2021";137;735.2;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"14-04-2021";"27-04-2021";57;435.6;1;7.6;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"14-04-2021";"27-04-2021";128;429;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"14-04-2021";"27-04-2021";435;644.5;3;4.4;0;0
"Berkelland";1859;"Berkelland";43747;"14-04-2021";"27-04-2021";334;763.5;2;4.6;1;2.3
"Bernheze";1721;"Bernheze";31240;"14-04-2021";"27-04-2021";284;909.1;0;0;0;0
"Best";753;"Best";29988;"14-04-2021";"27-04-2021";194;646.9;1;3.3;0;0
"Beuningen";209;"Beuningen";25890;"14-04-2021";"27-04-2021";196;757;2;7.7;2;7.7
"Beverwijk";375;"Beverwijk";41626;"14-04-2021";"27-04-2021";205;492.5;1;2.4;0;0
"Bladel";1728;"Bladel";20390;"14-04-2021";"27-04-2021";117;573.8;0;0;0;0
"Blaricum";376;"Blaricum";11540;"14-04-2021";"27-04-2021";45;389.9;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"14-04-2021";"27-04-2021";114;483.6;0;0;1;4.2
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"14-04-2021";"27-04-2021";207;593.6;1;2.9;1;2.9
"Boekel";755;"Boekel";10785;"14-04-2021";"27-04-2021";66;612;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"14-04-2021";"27-04-2021";64;250.4;1;3.9;0;0
