"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"28-07-2021";"10-08-2021";10;39.3;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"28-07-2021";"10-08-2021";88;276.2;0;0;0;0
"Aalten";197;"Aalten";27121;"28-07-2021";"10-08-2021";23;84.8;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"28-07-2021";"10-08-2021";22;79;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"28-07-2021";"10-08-2021";50;248;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"28-07-2021";"10-08-2021";61;238.4;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"28-07-2021";"10-08-2021";245;223.9;0;0;0;0
"Almelo";141;"Almelo";73107;"28-07-2021";"10-08-2021";176;240.7;0;0;0;0
"Almere";34;"Almere";211893;"28-07-2021";"10-08-2021";699;329.9;11;5.2;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"28-07-2021";"10-08-2021";197;176.1;1;0.9;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"28-07-2021";"10-08-2021";7;68.6;0;0;0;0
"Altena";1959;"Altena";55967;"28-07-2021";"10-08-2021";49;87.6;0;0;0;0
"Ameland";60;"Ameland";3716;"28-07-2021";"10-08-2021";4;107.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"28-07-2021";"10-08-2021";245;155.8;2;1.3;0;0
"Amstelveen";362;"Amstelveen";91675;"28-07-2021";"10-08-2021";214;233.4;2;2.2;0;0
"Amsterdam";363;"Amsterdam";872757;"28-07-2021";"10-08-2021";2730;312.8;34;3.9;6;0.7
"Apeldoorn";200;"Apeldoorn";163818;"28-07-2021";"10-08-2021";341;208.2;0;0;0;0
"Arnhem";202;"Arnhem";161348;"28-07-2021";"10-08-2021";313;194;3;1.9;0;0
"Assen";106;"Assen";68599;"28-07-2021";"10-08-2021";92;134.1;0;0;0;0
"Asten";743;"Asten";16721;"28-07-2021";"10-08-2021";57;340.9;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"28-07-2021";"10-08-2021";8;116.6;0;0;0;0
"Baarn";308;"Baarn";24868;"28-07-2021";"10-08-2021";35;140.7;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"28-07-2021";"10-08-2021";94;193;0;0;0;0
"Barneveld";203;"Barneveld";59082;"28-07-2021";"10-08-2021";91;154;0;0;0;0
"Beek";888;"Beek";15865;"28-07-2021";"10-08-2021";37;233.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"28-07-2021";"10-08-2021";82;228.2;0;0;1;2.8
"Beemster";370;"Beemster";10022;"28-07-2021";"10-08-2021";14;139.7;0;0;0;0
"Beesel";889;"Beesel";13482;"28-07-2021";"10-08-2021";21;155.8;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"28-07-2021";"10-08-2021";49;140;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"28-07-2021";"10-08-2021";25;134.2;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"28-07-2021";"10-08-2021";18;137.6;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"28-07-2021";"10-08-2021";54;181;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"28-07-2021";"10-08-2021";142;210.4;1;1.5;0;0
"Berkelland";1859;"Berkelland";43747;"28-07-2021";"10-08-2021";62;141.7;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"28-07-2021";"10-08-2021";112;358.5;1;3.2;0;0
"Best";753;"Best";29988;"28-07-2021";"10-08-2021";92;306.8;0;0;1;3.3
"Beuningen";209;"Beuningen";25890;"28-07-2021";"10-08-2021";41;158.4;0;0;0;0
