"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Heemskerk";88;224.6;28;71.5;10;25.5
"Heemstede";90;330.4;11;40.4;32;117.5
"Heerde";191;1027.6;54;290.5;28;150.6
"Heerenveen";93;184.2;13;25.7;20;39.6
"Heerhugowaard";147;255.2;27;46.9;9;15.6
"Heerlen";384;441.1;125;143.6;54;62
"Heeze-Leende";68;421.1;15;92.9;8;49.5
"Heiloo";48;200.2;9;37.5;8;33.4
"Hellendoorn";95;264.5;8;22.3;12;33.4
"Hellevoetsluis";71;176.8;16;39.8;3;7.5
"Helmond";405;438.2;114;123.3;42;45.4
"Hendrik-Ido-Ambacht";69;221.1;11;35.3;6;19.2
"Hengelo";125;154;21;25.9;19;23.4
"Het Hogeland";31;64.8;7;14.6;3;6.3
"Heumen";74;449.8;17;103.3;9;54.7
"Heusden";141;315.4;44;98.4;22;49.2
"Hillegom";33;148.6;8;36;2;9
"Hilvarenbeek";48;309.4;9;58;6;38.7
"Hilversum";196;215.7;31;34.1;25;27.5
"Hoeksche Waard";308;352.2;76;86.9;20;22.9
"Hof van Twente";63;179.9;15;42.8;4;11.4
"Hollands Kroon";62;128;26;53.7;6;12.4
"Hoogeveen";93;167;19;34.1;8;14.4
"Hoorn";93;127;35;47.8;12;16.4
"Horst aan de Maas";125;294.6;41;96.6;24;56.6
"Houten";139;277.2;24;47.9;14;27.9
"Huizen";133;322.2;22;53.3;10;24.2
"Hulst";31;112.5;9;32.7;5;18.1
"IJsselstein";156;457.3;36;105.5;34;99.7
"Kaag en Braassem";28;102.6;6;22;2;7.3
"Kampen";342;629.4;59;108.6;26;47.8
"Kapelle";24;189.1;3;23.6;1;7.9
"Katwijk";254;386.3;31;47.1;15;22.8
"Kerkrade";207;452.5;64;139.9;35;76.5
"Koggenland";36;158.2;6;26.4;6;26.4
"Krimpen aan den IJssel";81;274.3;10;33.9;8;27.1
"Krimpenerwaard";186;330.3;45;79.9;31;55
"Laarbeek";124;550.4;41;182;26;115.4
"Landerd";146;928.2;39;247.9;21;133.5
"Landgraaf";143;381.8;52;138.8;13;34.7
"Landsmeer";23;200.1;3;26.1;3;26.1
"Langedijk";45;159.8;16;56.8;4;14.2
"Lansingerland";187;299.7;42;67.3;25;40.1
"Laren";26;230.6;8;71;2;17.7
"Leeuwarden";64;51.6;33;26.6;6;4.8
"Leiden";166;132.6;39;31.2;18;14.4
"Leiderdorp";36;133;13;48;6;22.2
"Leidschendam-Voorburg";125;163.3;20;26.1;15;19.6
"Lelystad";188;239.1;64;81.4;29;36.9
"Leudal";188;523.7;51;142.1;32;89.1
"Leusden";53;174.3;9;29.6;5;16.4
"Lingewaard";130;278.9;31;66.5;10;21.5
"Lisse";26;113.3;7;30.5;2;8.7
"Lochem";95;281.6;14;41.5;15;44.5
"Loon op Zand";59;252.1;24;102.5;7;29.9
"Lopik";64;442.3;19;131.3;8;55.3
"Loppersum";2;21;0;0;0;0
"Losser";25;110.2;7;30.9;0;0
"Maasdriel";52;207.7;15;59.9;7;28
"Maasgouw";105;438.2;27;112.7;14;58.4
"Maassluis";63;189.7;20;60.2;4;12
"Maastricht";909;747.8;186;153;139;114.3
"Medemblik";72;159.6;18;39.9;6;13.3
"Meerssen";113;600;22;116.8;13;69
"Meierijstad";550;677.4;211;259.9;131;161.3
"Meppel";46;135.7;8;23.6;4;11.8
"Middelburg";59;120.9;18;36.9;10;20.5
"Midden-Delfland";20;103.4;4;20.7;0;0
"Midden-Drenthe";22;66.3;6;18.1;0;0
"Midden-Groningen";32;52.6;6;9.9;3;4.9
"Mill en Sint Hubert";39;356.5;9;82.3;5;45.7
"Moerdijk";82;220.8;14;37.7;8;21.5
"Molenlanden";122;277.7;18;41;8;18.2
"Montferland";102;283.3;20;55.5;9;25
"Montfoort";45;323.3;13;93.4;5;35.9
"Mook en Middelaar";39;497;6;76.5;5;63.7
"Neder-Betuwe";138;566.9;36;147.9;20;82.2
"Nederweert";53;311.4;31;182.1;7;41.1
"Nieuwegein";153;241.1;44;69.3;14;22.1
"Nieuwkoop";49;170.1;9;31.2;4;13.9
