"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"28-12-2022";"10-01-2023";293;52,9;35;6,3;;
"'s-Hertogenbosch";156538;"28-12-2022";"10-01-2023";47;30;8;5,1;;
"Aa en Hunze";25579;"28-12-2022";"10-01-2023";12;46,9;0;0;;
"Aalsmeer";32452;"28-12-2022";"10-01-2023";16;49,3;1;3,1;;
"Aalten";27100;"28-12-2022";"10-01-2023";8;29,5;1;3,7;;
"Achtkarspelen";27954;"28-12-2022";"10-01-2023";5;17,9;0;0;;
"Alblasserdam";20087;"28-12-2022";"10-01-2023";5;24,9;0;0;;
"Albrandswaard";25934;"28-12-2022";"10-01-2023";5;19,3;3;11,6;;
"Alkmaar";110783;"28-12-2022";"10-01-2023";56;50,5;10;9;;
"Almelo";73155;"28-12-2022";"10-01-2023";36;49,2;15;20,5;;
"Almere";217828;"28-12-2022";"10-01-2023";75;34,4;2;0,9;;
"Alphen aan den Rijn";112926;"28-12-2022";"10-01-2023";60;53,1;6;5,3;;
"Alphen-Chaam";10425;"28-12-2022";"10-01-2023";5;48;2;19,2;;
"Altena";57009;"28-12-2022";"10-01-2023";19;33,3;3;5,3;;
"Ameland";3757;"28-12-2022";"10-01-2023";0;0;0;0;;
"Amersfoort";158590;"28-12-2022";"10-01-2023";112;70,6;1;0,6;;
"Amstelveen";92331;"28-12-2022";"10-01-2023";60;65;1;1,1;;
"Amsterdam";903399;"28-12-2022";"10-01-2023";392;43,4;31;3,4;;
"Apeldoorn";165611;"28-12-2022";"10-01-2023";94;56,8;11;6,6;;
"Arnhem";163888;"28-12-2022";"10-01-2023";115;70,2;14;8,5;;
"Assen";68979;"28-12-2022";"10-01-2023";41;59,4;0;0;;
"Asten";17068;"28-12-2022";"10-01-2023";7;41;2;11,7;;
"Baarle-Nassau";6931;"28-12-2022";"10-01-2023";0;0;0;0;;
"Baarn";24876;"28-12-2022";"10-01-2023";22;88,4;0;0;;
"Barendrecht";48714;"28-12-2022";"10-01-2023";21;43,1;6;12,3;;
"Barneveld";60584;"28-12-2022";"10-01-2023";38;62,7;1;1,7;;
"Beek";15817;"28-12-2022";"10-01-2023";19;120,1;0;0;;
"Beekdaelen";35922;"28-12-2022";"10-01-2023";20;55,7;1;2,8;;
"Beesel";13408;"28-12-2022";"10-01-2023";1;7,5;0;0;;
"Berg en Dal";34951;"28-12-2022";"10-01-2023";31;88,7;7;20;;
"Bergeijk";18879;"28-12-2022";"10-01-2023";4;21,2;3;15,9;;
"Bergen (L.)";13106;"28-12-2022";"10-01-2023";4;30,5;1;7,6;;
"Bergen (NH.)";29723;"28-12-2022";"10-01-2023";14;47,1;5;16,8;;
"Bergen op Zoom";67894;"28-12-2022";"10-01-2023";14;20,6;9;13,3;;
"Berkelland";43850;"28-12-2022";"10-01-2023";30;68,4;5;11,4;;
"Bernheze";31715;"28-12-2022";"10-01-2023";10;31,5;4;12,6;;
"Best";30608;"28-12-2022";"10-01-2023";10;32,7;0;0;;
"Beuningen";26235;"28-12-2022";"10-01-2023";20;76,2;6;22,9;;
"Beverwijk";42084;"28-12-2022";"10-01-2023";31;73,7;1;2,4;;
"Bladel";20718;"28-12-2022";"10-01-2023";2;9,7;0;0;;
"Blaricum";12359;"28-12-2022";"10-01-2023";7;56,6;0;0;;
"Bloemendaal";23732;"28-12-2022";"10-01-2023";18;75,8;0;0;;
"Bodegraven-Reeuwijk";35752;"28-12-2022";"10-01-2023";18;50,3;6;16,8;;
"Boekel";11030;"28-12-2022";"10-01-2023";2;18,1;0;0;;
"Borger-Odoorn";25681;"28-12-2022";"10-01-2023";10;38,9;1;3,9;;
"Borne";24007;"28-12-2022";"10-01-2023";16;66,6;0;0;;
"Borsele";22847;"28-12-2022";"10-01-2023";11;48,1;2;8,8;;
"Boxtel";33129;"28-12-2022";"10-01-2023";12;36,2;1;3;;
"Breda";184702;"28-12-2022";"10-01-2023";89;48,2;8;4,3;;
"Bronckhorst";36077;"28-12-2022";"10-01-2023";21;58,2;0;0;;
"Brummen";20890;"28-12-2022";"10-01-2023";13;62,2;0;0;;
"Brunssum";27674;"28-12-2022";"10-01-2023";15;54,2;0;0;;
"Bunnik";15590;"28-12-2022";"10-01-2023";7;44,9;2;12,8;;
"Bunschoten";22325;"28-12-2022";"10-01-2023";9;40,3;1;4,5;;
"Buren";27155;"28-12-2022";"10-01-2023";15;55,2;3;11;;
"Capelle aan den IJssel";67188;"28-12-2022";"10-01-2023";20;29,8;3;4,5;;
"Castricum";36263;"28-12-2022";"10-01-2023";15;41,4;2;5,5;;
"Coevorden";35517;"28-12-2022";"10-01-2023";33;92,9;0;0;;
"Cranendonck";20669;"28-12-2022";"10-01-2023";5;24,2;1;4,8;;
