"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"25-01-2023";"07-02-2023";87;15,7;10;1,8
"'s-Hertogenbosch";156538;"25-01-2023";"07-02-2023";35;22,4;4;2,6
"Aa en Hunze";25579;"25-01-2023";"07-02-2023";9;35,2;0;0
"Aalsmeer";32452;"25-01-2023";"07-02-2023";8;24,7;1;3,1
"Aalten";27100;"25-01-2023";"07-02-2023";4;14,8;1;3,7
"Achtkarspelen";27954;"25-01-2023";"07-02-2023";17;60,8;2;7,2
"Alblasserdam";20087;"25-01-2023";"07-02-2023";3;14,9;2;10
"Albrandswaard";25934;"25-01-2023";"07-02-2023";10;38,6;1;3,9
"Alkmaar";110783;"25-01-2023";"07-02-2023";18;16,2;6;5,4
"Almelo";73155;"25-01-2023";"07-02-2023";29;39,6;0;0
"Almere";217828;"25-01-2023";"07-02-2023";36;16,5;0;0
"Alphen aan den Rijn";112926;"25-01-2023";"07-02-2023";28;24,8;6;5,3
"Alphen-Chaam";10425;"25-01-2023";"07-02-2023";0;0;0;0
"Altena";57009;"25-01-2023";"07-02-2023";7;12,3;1;1,8
"Ameland";3757;"25-01-2023";"07-02-2023";0;0;0;0
"Amersfoort";158590;"25-01-2023";"07-02-2023";46;29;0;0
"Amstelveen";92331;"25-01-2023";"07-02-2023";29;31,4;1;1,1
"Amsterdam";903399;"25-01-2023";"07-02-2023";177;19,6;10;1,1
"Apeldoorn";165611;"25-01-2023";"07-02-2023";87;52,5;7;4,2
"Arnhem";163888;"25-01-2023";"07-02-2023";76;46,4;8;4,9
"Assen";68979;"25-01-2023";"07-02-2023";17;24,6;0;0
"Asten";17068;"25-01-2023";"07-02-2023";4;23,4;2;11,7
"Baarle-Nassau";6931;"25-01-2023";"07-02-2023";0;0;0;0
"Baarn";24876;"25-01-2023";"07-02-2023";13;52,3;0;0
"Barendrecht";48714;"25-01-2023";"07-02-2023";11;22,6;0;0
"Barneveld";60584;"25-01-2023";"07-02-2023";4;6,6;0;0
"Beek";15817;"25-01-2023";"07-02-2023";4;25,3;0;0
"Beekdaelen";35922;"25-01-2023";"07-02-2023";7;19,5;1;2,8
"Beesel";13408;"25-01-2023";"07-02-2023";4;29,8;0;0
