"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"26-01-2022";"08-02-2022";34009;6202.4;114;20.8;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"26-01-2022";"08-02-2022";10370;6669.2;15;9.6;1;0.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"26-01-2022";"08-02-2022";990;3897.8;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"26-01-2022";"08-02-2022";2170;6783.2;1;3.1;0;0
"Aalten";197;"Aalten";27120;"26-01-2022";"08-02-2022";1412;5206.5;2;7.4;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"26-01-2022";"08-02-2022";2026;7261.6;1;3.6;0;0
"Alblasserdam";482;"Alblasserdam";20136;"26-01-2022";"08-02-2022";1561;7752.3;6;29.8;0;0
"Albrandswaard";613;"Albrandswaard";25814;"26-01-2022";"08-02-2022";1674;6484.9;3;11.6;0;0
"Alkmaar";361;"Alkmaar";109896;"26-01-2022";"08-02-2022";7262;6608.1;21;19.1;2;1.8
"Almelo";141;"Almelo";73132;"26-01-2022";"08-02-2022";4921;6728.9;6;8.2;1;1.4
"Almere";34;"Almere";214715;"26-01-2022";"08-02-2022";12919;6016.8;34;15.8;2;0.9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"26-01-2022";"08-02-2022";6869;6101.1;4;3.6;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"26-01-2022";"08-02-2022";664;6401.2;0;0;0;0
"Altena";1959;"Altena";56352;"26-01-2022";"08-02-2022";4540;8056.5;8;14.2;0;0
"Ameland";60;"Ameland";3746;"26-01-2022";"08-02-2022";59;1575;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"26-01-2022";"08-02-2022";12222;7761.9;26;16.5;0;0
"Amstelveen";362;"Amstelveen";90829;"26-01-2022";"08-02-2022";5659;6230.4;6;6.6;1;1.1
"Amsterdam";363;"Amsterdam";873338;"26-01-2022";"08-02-2022";48037;5500.4;133;15.2;10;1.1
"Apeldoorn";200;"Apeldoorn";164781;"26-01-2022";"08-02-2022";10721;6506.2;21;12.7;1;0.6
"Arnhem";202;"Arnhem";162424;"26-01-2022";"08-02-2022";10347;6370.4;15;9.2;1;0.6
"Assen";106;"Assen";68836;"26-01-2022";"08-02-2022";3328;4834.7;3;4.4;0;0
"Asten";743;"Asten";16817;"26-01-2022";"08-02-2022";812;4828.4;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"26-01-2022";"08-02-2022";390;5653;2;29;0;0
"Baarn";308;"Baarn";24792;"26-01-2022";"08-02-2022";1521;6135;5;20.2;0;0
"Barendrecht";489;"Barendrecht";48643;"26-01-2022";"08-02-2022";3188;6553.9;9;18.5;0;0
"Barneveld";203;"Barneveld";59992;"26-01-2022";"08-02-2022";4159;6932.6;7;11.7;1;1.7
"Beek";888;"Beek";15875;"26-01-2022";"08-02-2022";887;5587.4;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"26-01-2022";"08-02-2022";2063;5720.2;2;5.5;1;2.8
"Beesel";889;"Beesel";13450;"26-01-2022";"08-02-2022";774;5754.6;2;14.9;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"26-01-2022";"08-02-2022";1948;5564.1;4;11.4;1;2.9
"Bergeijk";1724;"Bergeijk";18754;"26-01-2022";"08-02-2022";1185;6318.7;2;10.7;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"26-01-2022";"08-02-2022";885;6751.6;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"26-01-2022";"08-02-2022";1372;4617.2;4;13.5;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"26-01-2022";"08-02-2022";4902;7260.7;8;11.8;0;0
"Berkelland";1859;"Berkelland";43846;"26-01-2022";"08-02-2022";2736;6240;3;6.8;0;0
"Bernheze";1721;"Bernheze";31455;"26-01-2022";"08-02-2022";2339;7436;0;0;0;0
"Best";753;"Best";30216;"26-01-2022";"08-02-2022";1845;6106;2;6.6;0;0
"Beuningen";209;"Beuningen";26157;"26-01-2022";"08-02-2022";1660;6346.3;4;15.3;0;0
"Beverwijk";375;"Beverwijk";41863;"26-01-2022";"08-02-2022";3010;7190.1;1;2.4;0;0
"Bladel";1728;"Bladel";20529;"26-01-2022";"08-02-2022";1291;6288.7;1;4.9;0;0
"Blaricum";376;"Blaricum";11954;"26-01-2022";"08-02-2022";725;6064.9;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23478;"26-01-2022";"08-02-2022";1552;6610.4;4;17;1;4.3
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"26-01-2022";"08-02-2022";2612;7404;2;5.7;0;0
"Boekel";755;"Boekel";10959;"26-01-2022";"08-02-2022";812;7409.4;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"26-01-2022";"08-02-2022";1280;5000.4;3;11.7;0;0
"Borne";147;"Borne";23668;"26-01-2022";"08-02-2022";1882;7951.7;1;4.2;0;0
"Borsele";654;"Borsele";22818;"26-01-2022";"08-02-2022";1886;8265.4;6;26.3;1;4.4
