"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"09-11-2022";"22-11-2022";320;57,8;19;3,4;2;0,4
"'s-Hertogenbosch";156538;"09-11-2022";"22-11-2022";87;55,6;6;3,8;0;0
"Aa en Hunze";25579;"09-11-2022";"22-11-2022";3;11,7;1;3,9;0;0
"Aalsmeer";32452;"09-11-2022";"22-11-2022";17;52,4;1;3,1;0;0
"Aalten";27100;"09-11-2022";"22-11-2022";8;29,5;1;3,7;0;0
"Achtkarspelen";27954;"09-11-2022";"22-11-2022";12;42,9;1;3,6;0;0
"Alblasserdam";20087;"09-11-2022";"22-11-2022";16;79,7;1;5;0;0
"Albrandswaard";25934;"09-11-2022";"22-11-2022";11;42,4;1;3,9;0;0
"Alkmaar";110783;"09-11-2022";"22-11-2022";79;71,3;10;9;0;0
"Almelo";73155;"09-11-2022";"22-11-2022";16;21,9;4;5,5;0;0
"Almere";217828;"09-11-2022";"22-11-2022";125;57,4;3;1,4;1;0,5
"Alphen aan den Rijn";112926;"09-11-2022";"22-11-2022";78;69,1;7;6,2;0;0
"Alphen-Chaam";10425;"09-11-2022";"22-11-2022";8;76,7;2;19,2;0;0
"Altena";57009;"09-11-2022";"22-11-2022";13;22,8;3;5,3;0;0
"Ameland";3757;"09-11-2022";"22-11-2022";0;0;0;0;0;0
"Amersfoort";158590;"09-11-2022";"22-11-2022";118;74,4;9;5,7;0;0
"Amstelveen";92331;"09-11-2022";"22-11-2022";67;72,6;0;0;0;0
"Amsterdam";903399;"09-11-2022";"22-11-2022";633;70,1;21;2,3;0;0
"Apeldoorn";165611;"09-11-2022";"22-11-2022";127;76,7;3;1,8;1;0,6
"Arnhem";163888;"09-11-2022";"22-11-2022";101;61,6;0;0;1;0,6
"Assen";68979;"09-11-2022";"22-11-2022";29;42;0;0;0;0
"Asten";17068;"09-11-2022";"22-11-2022";2;11,7;0;0;0;0
"Baarle-Nassau";6931;"09-11-2022";"22-11-2022";3;43,3;0;0;0;0
"Baarn";24876;"09-11-2022";"22-11-2022";7;28,1;2;8;0;0
"Barendrecht";48714;"09-11-2022";"22-11-2022";35;71,8;5;10,3;0;0
"Barneveld";60584;"09-11-2022";"22-11-2022";22;36,3;8;13,2;0;0
"Beek";15817;"09-11-2022";"22-11-2022";29;183,3;0;0;0;0
"Beekdaelen";35922;"09-11-2022";"22-11-2022";17;47,3;0;0;0;0
"Beesel";13408;"09-11-2022";"22-11-2022";8;59,7;0;0;0;0
"Berg en Dal";34951;"09-11-2022";"22-11-2022";25;71,5;2;5,7;0;0
"Bergeijk";18879;"09-11-2022";"22-11-2022";9;47,7;0;0;0;0
"Bergen (L.)";13106;"09-11-2022";"22-11-2022";11;83,9;2;15,3;0;0
"Bergen (NH.)";29723;"09-11-2022";"22-11-2022";20;67,3;4;13,5;1;3,4
"Bergen op Zoom";67894;"09-11-2022";"22-11-2022";32;47,1;5;7,4;0;0
"Berkelland";43850;"09-11-2022";"22-11-2022";19;43,3;1;2,3;0;0
"Bernheze";31715;"09-11-2022";"22-11-2022";15;47,3;2;6,3;0;0
"Best";30608;"09-11-2022";"22-11-2022";17;55,5;1;3,3;0;0
"Beuningen";26235;"09-11-2022";"22-11-2022";22;83,9;1;3,8;0;0
"Beverwijk";42084;"09-11-2022";"22-11-2022";19;45,1;0;0;0;0
"Bladel";20718;"09-11-2022";"22-11-2022";3;14,5;0;0;0;0
"Blaricum";12359;"09-11-2022";"22-11-2022";16;129,5;0;0;0;0
"Bloemendaal";23732;"09-11-2022";"22-11-2022";17;71,6;2;8,4;0;0
"Bodegraven-Reeuwijk";35752;"09-11-2022";"22-11-2022";19;53,1;0;0;0;0
"Boekel";11030;"09-11-2022";"22-11-2022";3;27,2;0;0;0;0
"Borger-Odoorn";25681;"09-11-2022";"22-11-2022";4;15,6;0;0;0;0
"Borne";24007;"09-11-2022";"22-11-2022";9;37,5;2;8,3;0;0
"Borsele";22847;"09-11-2022";"22-11-2022";17;74,4;1;4,4;0;0
"Boxtel";33129;"09-11-2022";"22-11-2022";8;24,1;1;3;0;0
"Breda";184702;"09-11-2022";"22-11-2022";137;74,2;12;6,5;0;0
"Brielle";17704;"09-11-2022";"22-11-2022";10;56,5;1;5,6;1;5,6
"Bronckhorst";36077;"09-11-2022";"22-11-2022";17;47,1;0;0;0;0
"Brummen";20890;"09-11-2022";"22-11-2022";3;14,4;1;4,8;0;0
"Brunssum";27674;"09-11-2022";"22-11-2022";20;72,3;3;10,8;0;0
"Bunnik";15590;"09-11-2022";"22-11-2022";8;51,3;0;0;0;0
"Bunschoten";22325;"09-11-2022";"22-11-2022";14;62,7;0;0;0;0
"Buren";27155;"09-11-2022";"22-11-2022";10;36,8;0;0;0;0
"Capelle aan den IJssel";67188;"09-11-2022";"22-11-2022";50;74,4;1;1,5;0;0
"Castricum";36263;"09-11-2022";"22-11-2022";21;57,9;1;2,8;0;0
"Coevorden";35517;"09-11-2022";"22-11-2022";16;45;1;2,8;0;0
"Cranendonck";20669;"09-11-2022";"22-11-2022";6;29;0;0;0;0
"Culemborg";29397;"09-11-2022";"22-11-2022";18;61,2;5;17;0;0
"Dalfsen";29162;"09-11-2022";"22-11-2022";11;37,7;2;6,9;0;0
"Dantumadiel";18957;"09-11-2022";"22-11-2022";7;36,9;1;5,3;0;0
"De Bilt";43508;"09-11-2022";"22-11-2022";17;39,1;4;9,2;0;0
"De Fryske Marren";51597;"09-11-2022";"22-11-2022";22;42,6;0;0;0;0
"De Ronde Venen";44955;"09-11-2022";"22-11-2022";21;46,7;0;0;0;0
