"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"08-02-2023";"21-02-2023";164;29,6;12;2,2
"'s-Hertogenbosch";156538;"08-02-2023";"21-02-2023";57;36,4;4;2,6
"Aa en Hunze";25579;"08-02-2023";"21-02-2023";7;27,4;0;0
"Aalsmeer";32452;"08-02-2023";"21-02-2023";6;18,5;0;0
"Aalten";27100;"08-02-2023";"21-02-2023";6;22,1;0;0
"Achtkarspelen";27954;"08-02-2023";"21-02-2023";7;25;1;3,6
"Alblasserdam";20087;"08-02-2023";"21-02-2023";2;10;0;0
"Albrandswaard";25934;"08-02-2023";"21-02-2023";7;27;1;3,9
"Alkmaar";110783;"08-02-2023";"21-02-2023";29;26,2;8;7,2
"Almelo";73155;"08-02-2023";"21-02-2023";19;26;2;2,7
"Almere";217828;"08-02-2023";"21-02-2023";45;20,7;0;0
"Alphen aan den Rijn";112926;"08-02-2023";"21-02-2023";19;16,8;6;5,3
"Alphen-Chaam";10425;"08-02-2023";"21-02-2023";0;0;1;9,6
"Altena";57009;"08-02-2023";"21-02-2023";18;31,6;2;3,5
"Ameland";3757;"08-02-2023";"21-02-2023";0;0;0;0
"Amersfoort";158590;"08-02-2023";"21-02-2023";65;41;2;1,3
"Amstelveen";92331;"08-02-2023";"21-02-2023";66;71,5;0;0
"Amsterdam";903399;"08-02-2023";"21-02-2023";351;38,9;15;1,7
"Apeldoorn";165611;"08-02-2023";"21-02-2023";68;41,1;12;7,2
"Arnhem";163888;"08-02-2023";"21-02-2023";89;54,3;0;0
"Assen";68979;"08-02-2023";"21-02-2023";26;37,7;0;0
"Asten";17068;"08-02-2023";"21-02-2023";6;35,2;1;5,9
"Baarle-Nassau";6931;"08-02-2023";"21-02-2023";2;28,9;1;14,4
"Baarn";24876;"08-02-2023";"21-02-2023";7;28,1;0;0
"Barendrecht";48714;"08-02-2023";"21-02-2023";19;39;4;8,2
"Barneveld";60584;"08-02-2023";"21-02-2023";20;33;1;1,7
"Beek";15817;"08-02-2023";"21-02-2023";8;50,6;1;6,3
"Beekdaelen";35922;"08-02-2023";"21-02-2023";9;25,1;2;5,6
"Beesel";13408;"08-02-2023";"21-02-2023";3;22,4;0;0
"Berg en Dal";34951;"08-02-2023";"21-02-2023";29;83;5;14,3
"Bergeijk";18879;"08-02-2023";"21-02-2023";8;42,4;2;10,6
"Bergen (L.)";13106;"08-02-2023";"21-02-2023";4;30,5;2;15,3
"Bergen (NH.)";29723;"08-02-2023";"21-02-2023";8;26,9;3;10,1
