"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";462;297.8;125;80.6;76;49
"Aa en Hunze";14;55;1;3.9;0;0
"Aalsmeer";38;119.3;9;28.3;3;9.4
"Aalten";55;202.8;9;33.2;7;25.8
"Achtkarspelen";11;39.5;0;0;0;0
"Alblasserdam";41;203.3;10;49.6;3;14.9
"Albrandswaard";95;371.3;14;54.7;8;31.3
"Alkmaar";240;219.3;53;48.4;29;26.5
"Almelo";90;123.2;22;30.1;9;12.3
"Almere";407;192.1;123;58.1;27;12.7
"Alphen aan den Rijn";192;171.6;59;52.7;24;21.4
"Alphen-Chaam";46;450.4;18;176.2;5;49
"Altena";123;219.7;31;55.4;11;19.6
"Ameland";0;0;0;0;0;0
"Amersfoort";201;127.8;58;36.9;23;14.6
"Amstelveen";303;330.5;56;61.1;35;38.2
"Amsterdam";2260;258.9;604;69.2;254;29.1
"Apeldoorn";385;235;86;52.5;48;29.3
"Appingedam";5;42.9;3;25.8;0;0
"Arnhem";278;172.3;65;40.3;26;16.1
"Assen";42;61.2;12;17.5;2;2.9
"Asten";73;436.2;18;107.6;12;71.7
"Baarle-Nassau";25;364.4;9;131.2;2;29.2
"Baarn";56;225.1;11;44.2;8;32.2
"Barendrecht";121;248.4;39;80.1;12;24.6
"Barneveld";122;206.5;18;30.5;6;10.2
"Beek";43;271;15;94.5;5;31.5
"Beekdaelen";163;453.1;50;139;22;61.2
"Beemster";9;89.8;4;39.9;1;10
"Beesel";41;304.1;20;148.3;8;59.3
"Berg en Dal";153;437.3;29;82.9;16;45.7
"Bergeijk";55;295.1;19;101.9;5;26.8
"Bergen (L.)";23;175.8;7;53.5;2;15.3
"Bergen (NH.)";73;244.6;16;53.6;3;10.1
"Bergen op Zoom";134;198.6;23;34.1;9;13.3
"Berkelland";73;166.9;12;27.4;7;16
"Bernheze";266;851.3;96;307.2;64;204.8
"Best";72;240.1;31;103.4;10;33.4
"Beuningen";69;266.5;19;73.4;5;19.3
"Beverwijk";73;175.4;15;36;10;24
"Bladel";62;304;20;98.1;8;39.2
"Blaricum";26;225.4;8;69.3;2;17.3
"Bloemendaal";48;203.6;7;29.7;5;21.2
"Bodegraven-Reeuwijk";55;157.7;7;20.1;1;2.9
"Boekel";89;825.3;35;324.6;21;194.7
"Borger-Odoorn";9;35.2;4;15.7;3;11.7
"Borne";50;214.5;14;60.1;6;25.7
"Borsele";25;109.9;5;22;0;0
"Boxmeer";113;384.7;18;61.3;27;91.9
"Boxtel";83;269.5;24;77.9;13;42.2
"Breda";467;253.4;143;77.6;61;33.1
"Brielle";32;185.2;11;63.7;0;0
"Bronckhorst";70;194.2;17;47.2;7;19.4
"Brummen";35;168.6;17;81.9;5;24.1
"Brunssum";95;341.5;43;154.6;13;46.7
"Bunnik";41;269.9;9;59.2;1;6.6
"Bunschoten";61;279;9;41.2;7;32
"Buren";47;175.8;16;59.8;7;26.2
"Capelle aan den IJssel";276;411;50;74.5;51;75.9
"Castricum";76;211.2;15;41.7;9;25
"Coevorden";56;158.7;13;36.8;2;5.7
"Cranendonck";166;784.3;63;297.6;36;170.1
"Cuijk";70;278.5;12;47.7;9;35.8
"Culemborg";60;207.2;21;72.5;7;24.2
"Dalfsen";77;269.4;16;56;6;21
"Dantumadiel";6;31.7;2;10.6;0;0
"De Bilt";155;359.4;25;58;19;44.1
"De Fryske Marren";63;122.2;16;31;5;9.7
"De Ronde Venen";91;204.7;39;87.7;11;24.7
"De Wolden";44;180.9;11;45.2;5;20.6
"Delft";136;131.2;38;36.7;12;11.6
"Delfzijl";17;68.9;6;24.3;0;0
"Den Helder";37;65.7;12;21.3;2;3.6
"Deurne";162;498.9;54;166.3;22;67.7
"Deventer";251;249.2;46;45.7;32;31.8
"Diemen";98;318.4;17;55.2;14;45.5
"Dinkelland";71;268.2;19;71.8;9;34
"Doesburg";32;288.9;9;81.2;6;54.2
"Doetinchem";94;162;26;44.8;15;25.9
"Dongen";76;289.8;20;76.3;12;45.8
"Dordrecht";382;320.2;83;69.6;30;25.1
"Drechterland";43;218.1;4;20.3;8;40.6
"Drimmelen";65;238.3;18;66;8;29.3
"Dronten";113;271.8;30;72.2;11;26.5
"Druten";111;586.7;24;126.9;8;42.3
"Duiven";46;183.1;14;55.7;6;23.9
"Echt-Susteren";88;278.3;39;123.3;15;47.4
"Edam-Volendam";96;265.2;23;63.5;3;8.3
"Ede";202;172.4;54;46.1;20;17.1
"Eemnes";17;183.8;2;21.6;1;10.8
"Eersel";64;331.4;26;134.6;10;51.8
"Eijsden-Margraten";160;621.3;53;205.8;27;104.8
"Eindhoven";485;206.9;178;75.9;82;35
