"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"15-02-2023";"28-02-2023";165;29,8;18;3,3
"'s-Hertogenbosch";156538;"15-02-2023";"28-02-2023";106;67,7;23;14,7
"Aa en Hunze";25579;"15-02-2023";"28-02-2023";6;23,5;0;0
"Aalsmeer";32452;"15-02-2023";"28-02-2023";8;24,7;1;3,1
"Aalten";27100;"15-02-2023";"28-02-2023";15;55,4;5;18,5
"Achtkarspelen";27954;"15-02-2023";"28-02-2023";8;28,6;2;7,2
"Alblasserdam";20087;"15-02-2023";"28-02-2023";6;29,9;1;5
"Albrandswaard";25934;"15-02-2023";"28-02-2023";8;30,8;2;7,7
"Alkmaar";110783;"15-02-2023";"28-02-2023";31;28;14;12,6
"Almelo";73155;"15-02-2023";"28-02-2023";31;42,4;3;4,1
"Almere";217828;"15-02-2023";"28-02-2023";44;20,2;0;0
"Alphen aan den Rijn";112926;"15-02-2023";"28-02-2023";28;24,8;5;4,4
"Alphen-Chaam";10425;"15-02-2023";"28-02-2023";0;0;0;0
"Altena";57009;"15-02-2023";"28-02-2023";13;22,8;0;0
"Ameland";3757;"15-02-2023";"28-02-2023";0;0;0;0
"Amersfoort";158590;"15-02-2023";"28-02-2023";56;35,3;2;1,3
"Amstelveen";92331;"15-02-2023";"28-02-2023";50;54,2;0;0
"Amsterdam";903399;"15-02-2023";"28-02-2023";384;42,5;25;2,8
"Apeldoorn";165611;"15-02-2023";"28-02-2023";62;37,4;9;5,4
"Arnhem";163888;"15-02-2023";"28-02-2023";106;64,7;2;1,2
"Assen";68979;"15-02-2023";"28-02-2023";26;37,7;0;0
"Asten";17068;"15-02-2023";"28-02-2023";3;17,6;3;17,6
"Baarle-Nassau";6931;"15-02-2023";"28-02-2023";2;28,9;0;0
"Baarn";24876;"15-02-2023";"28-02-2023";5;20,1;0;0
"Barendrecht";48714;"15-02-2023";"28-02-2023";16;32,8;3;6,2
"Barneveld";60584;"15-02-2023";"28-02-2023";25;41,3;3;5
"Beek";15817;"15-02-2023";"28-02-2023";6;37,9;1;6,3
"Beekdaelen";35922;"15-02-2023";"28-02-2023";17;47,3;1;2,8
"Beesel";13408;"15-02-2023";"28-02-2023";8;59,7;0;0
"Berg en Dal";34951;"15-02-2023";"28-02-2023";35;100,1;6;17,2
"Bergeijk";18879;"15-02-2023";"28-02-2023";13;68,9;1;5,3
"Bergen (L.)";13106;"15-02-2023";"28-02-2023";7;53,4;0;0
"Bergen (NH.)";29723;"15-02-2023";"28-02-2023";7;23,6;2;6,7
"Bergen op Zoom";67894;"15-02-2023";"28-02-2023";21;30,9;6;8,8
"Berkelland";43850;"15-02-2023";"28-02-2023";23;52,5;1;2,3
"Bernheze";31715;"15-02-2023";"28-02-2023";21;66,2;1;3,2
"Best";30608;"15-02-2023";"28-02-2023";9;29,4;1;3,3
"Beuningen";26235;"15-02-2023";"28-02-2023";28;106,7;3;11,4
"Beverwijk";42084;"15-02-2023";"28-02-2023";15;35,6;1;2,4
"Bladel";20718;"15-02-2023";"28-02-2023";7;33,8;0;0
"Blaricum";12359;"15-02-2023";"28-02-2023";2;16,2;0;0
"Bloemendaal";23732;"15-02-2023";"28-02-2023";16;67,4;0;0
"Bodegraven-Reeuwijk";35752;"15-02-2023";"28-02-2023";14;39,2;3;8,4
"Boekel";11030;"15-02-2023";"28-02-2023";2;18,1;1;9,1
"Borger-Odoorn";25681;"15-02-2023";"28-02-2023";8;31,2;0;0
"Borne";24007;"15-02-2023";"28-02-2023";5;20,8;1;4,2
"Borsele";22847;"15-02-2023";"28-02-2023";18;78,8;2;8,8
"Boxtel";33129;"15-02-2023";"28-02-2023";20;60,4;6;18,1
"Breda";184702;"15-02-2023";"28-02-2023";81;43,9;14;7,6
"Bronckhorst";36077;"15-02-2023";"28-02-2023";17;47,1;5;13,9
"Brummen";20890;"15-02-2023";"28-02-2023";11;52,7;1;4,8
"Brunssum";27674;"15-02-2023";"28-02-2023";19;68,7;2;7,2
"Bunnik";15590;"15-02-2023";"28-02-2023";10;64,1;0;0
"Bunschoten";22325;"15-02-2023";"28-02-2023";3;13,4;1;4,5
"Buren";27155;"15-02-2023";"28-02-2023";4;14,7;1;3,7
"Capelle aan den IJssel";67188;"15-02-2023";"28-02-2023";17;25,3;6;8,9
"Castricum";36263;"15-02-2023";"28-02-2023";15;41,4;3;8,3
"Coevorden";35517;"15-02-2023";"28-02-2023";6;16,9;0;0
"Cranendonck";20669;"15-02-2023";"28-02-2023";6;29;0;0
"Culemborg";29397;"15-02-2023";"28-02-2023";13;44,2;2;6,8
"Dalfsen";29162;"15-02-2023";"28-02-2023";8;27,4;2;6,9
"Dantumadiel";18957;"15-02-2023";"28-02-2023";3;15,8;2;10,6
"De Bilt";43508;"15-02-2023";"28-02-2023";22;50,6;3;6,9
"De Fryske Marren";51597;"15-02-2023";"28-02-2023";9;17,4;3;5,8
"De Ronde Venen";44955;"15-02-2023";"28-02-2023";8;17,8;1;2,2
"De Wolden";24511;"15-02-2023";"28-02-2023";5;20,4;2;8,2
"Delft";104572;"15-02-2023";"28-02-2023";30;28,7;2;1,9
"Den Helder";56334;"15-02-2023";"28-02-2023";27;47,9;8;14,2
"Deurne";32606;"15-02-2023";"28-02-2023";28;85,9;10;30,7
"Deventer";101446;"15-02-2023";"28-02-2023";32;31,5;5;4,9
"Diemen";31822;"15-02-2023";"28-02-2023";12;37,7;0;0
"Dijk en Waard";87695;"15-02-2023";"28-02-2023";19;21,7;3;3,4
"Dinkelland";26594;"15-02-2023";"28-02-2023";4;15;0;0
"Doesburg";11036;"15-02-2023";"28-02-2023";6;54,4;0;0
"Doetinchem";58546;"15-02-2023";"28-02-2023";37;63,2;2;3,4
"Dongen";26483;"15-02-2023";"28-02-2023";12;45,3;1;3,8
"Dordrecht";119537;"15-02-2023";"28-02-2023";47;39,3;2;1,7
"Drechterland";19983;"15-02-2023";"28-02-2023";5;25;1;5
"Drimmelen";27476;"15-02-2023";"28-02-2023";28;101,9;3;10,9
"Dronten";42865;"15-02-2023";"28-02-2023";15;35;2;4,7
"Druten";19178;"15-02-2023";"28-02-2023";8;41,7;3;15,6
"Duiven";24946;"15-02-2023";"28-02-2023";15;60,1;2;8
"Echt-Susteren";31731;"15-02-2023";"28-02-2023";29;91,4;0;0
"Edam-Volendam";36471;"15-02-2023";"28-02-2023";4;11;2;5,5
"Ede";119986;"15-02-2023";"28-02-2023";56;46,7;2;1,7
"Eemnes";9450;"15-02-2023";"28-02-2023";2;21,2;0;0
"Eemsdelta";45389;"15-02-2023";"28-02-2023";16;35,3;0;0
"Eersel";19823;"15-02-2023";"28-02-2023";9;45,4;1;5
"Eijsden-Margraten";25857;"15-02-2023";"28-02-2023";9;34,8;0;0
"Eindhoven";238326;"15-02-2023";"28-02-2023";140;58,7;4;1,7
"Elburg";23740;"15-02-2023";"28-02-2023";4;16,8;1;4,2
"Emmen";107856;"15-02-2023";"28-02-2023";74;68,6;0;0
"Enkhuizen";18620;"15-02-2023";"28-02-2023";2;10,7;0;0
"Enschede";160640;"15-02-2023";"28-02-2023";85;52,9;12;7,5
"Epe";33257;"15-02-2023";"28-02-2023";11;33,1;2;6
"Ermelo";27258;"15-02-2023";"28-02-2023";7;25,7;1;3,7
"Etten-Leur";44152;"15-02-2023";"28-02-2023";19;43;5;11,3
"Geertruidenberg";21944;"15-02-2023";"28-02-2023";17;77,5;0;0
"Geldrop-Mierlo";40131;"15-02-2023";"28-02-2023";22;54,8;6;15
"Gemert-Bakel";31040;"15-02-2023";"28-02-2023";17;54,8;1;3,2
"Gennep";17237;"15-02-2023";"28-02-2023";23;133,4;0;0
"Gilze en Rijen";26557;"15-02-2023";"28-02-2023";12;45,2;3;11,3
"Goeree-Overflakkee";51051;"15-02-2023";"28-02-2023";13;25,5;3;5,9
"Goes";38950;"15-02-2023";"28-02-2023";22;56,5;0;0
"Goirle";23979;"15-02-2023";"28-02-2023";16;66,7;1;4,2
"Gooise Meren";58846;"15-02-2023";"28-02-2023";20;34;1;1,7
"Gorinchem";37632;"15-02-2023";"28-02-2023";13;34,5;0;0
"Gouda";74095;"15-02-2023";"28-02-2023";32;43,2;1;1,3
"Groningen";234950;"15-02-2023";"28-02-2023";96;40,9;5;2,1
"Gulpen-Wittem";14178;"15-02-2023";"28-02-2023";10;70,5;0;0
"Haaksbergen";24268;"15-02-2023";"28-02-2023";10;41,2;1;4,1
"Haarlem";162898;"15-02-2023";"28-02-2023";57;35;1;0,6
"Haarlemmermeer";159336;"15-02-2023";"28-02-2023";96;60,3;4;2,5
"Halderberge";30770;"15-02-2023";"28-02-2023";15;48,7;5;16,2
"Hardenberg";61798;"15-02-2023";"28-02-2023";28;45,3;1;1,6
"Harderwijk";48857;"15-02-2023";"28-02-2023";37;75,7;0;0
"Hardinxveld-Giessendam";18511;"15-02-2023";"28-02-2023";10;54;0;0
"Harlingen";15904;"15-02-2023";"28-02-2023";2;12,6;2;12,6
"Hattem";12307;"15-02-2023";"28-02-2023";6;48,8;2;16,3
"Heemskerk";39189;"15-02-2023";"28-02-2023";15;38,3;0;0
"Heemstede";27557;"15-02-2023";"28-02-2023";23;83,5;0;0
"Heerde";18976;"15-02-2023";"28-02-2023";9;47,4;0;0
"Heerenveen";51119;"15-02-2023";"28-02-2023";11;21,5;0;0
"Heerlen";86845;"15-02-2023";"28-02-2023";59;67,9;7;8,1
"Heeze-Leende";16470;"15-02-2023";"28-02-2023";20;121,4;3;18,2
"Heiloo";24417;"15-02-2023";"28-02-2023";8;32,8;2;8,2
"Hellendoorn";35940;"15-02-2023";"28-02-2023";17;47,3;1;2,8
"Helmond";93476;"15-02-2023";"28-02-2023";34;36,4;11;11,8
"Hendrik-Ido-Ambacht";31663;"15-02-2023";"28-02-2023";10;31,6;1;3,2
"Hengelo";81476;"15-02-2023";"28-02-2023";29;35,6;4;4,9
"Het Hogeland";48022;"15-02-2023";"28-02-2023";19;39,6;5;10,4
"Heumen";17175;"15-02-2023";"28-02-2023";15;87,3;0;0
"Heusden";45557;"15-02-2023";"28-02-2023";36;79;9;19,8
"Hillegom";22312;"15-02-2023";"28-02-2023";11;49,3;1;4,5
"Hilvarenbeek";15810;"15-02-2023";"28-02-2023";7;44,3;0;0
"Hilversum";91733;"15-02-2023";"28-02-2023";28;30,5;0;0
"Hoeksche Waard";88715;"15-02-2023";"28-02-2023";37;41,7;6;6,8
"Hof van Twente";35056;"15-02-2023";"28-02-2023";6;17,1;1;2,9
"Hollands Kroon";48778;"15-02-2023";"28-02-2023";13;26,7;1;2,1
"Hoogeveen";55857;"15-02-2023";"28-02-2023";11;19,7;0;0
"Hoorn";74298;"15-02-2023";"28-02-2023";13;17,5;5;6,7
"Horst aan de Maas";43039;"15-02-2023";"28-02-2023";25;58,1;0;0
"Houten";50323;"15-02-2023";"28-02-2023";22;43,7;5;9,9
"Huizen";40938;"15-02-2023";"28-02-2023";12;29,3;0;0
"Hulst";27533;"15-02-2023";"28-02-2023";26;94,4;2;7,3
"IJsselstein";33429;"15-02-2023";"28-02-2023";17;50,9;0;0
"Kaag en Braassem";27895;"15-02-2023";"28-02-2023";12;43;2;7,2
"Kampen";54791;"15-02-2023";"28-02-2023";15;27,4;1;1,8
"Kapelle";13020;"15-02-2023";"28-02-2023";8;61,4;0;0
"Katwijk";66032;"15-02-2023";"28-02-2023";11;16,7;5;7,6
"Kerkrade";45324;"15-02-2023";"28-02-2023";25;55,2;4;8,8
"Koggenland";23048;"15-02-2023";"28-02-2023";6;26;1;4,3
"Krimpen aan den IJssel";29415;"15-02-2023";"28-02-2023";4;13,6;2;6,8
"Krimpenerwaard";57062;"15-02-2023";"28-02-2023";25;43,8;6;10,5
"Laarbeek";22943;"15-02-2023";"28-02-2023";15;65,4;3;13,1
