"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"09-02-2022";"22-02-2022";16730;3051.1;69;12.6;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"09-02-2022";"22-02-2022";6292;4046.6;23;14.8;1;0.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"09-02-2022";"22-02-2022";1245;4901.8;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"09-02-2022";"22-02-2022";1236;3863.6;1;3.1;0;0
"Aalten";197;"Aalten";27120;"09-02-2022";"22-02-2022";1337;4929.9;3;11.1;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"09-02-2022";"22-02-2022";2186;7835.1;8;28.7;0;0
"Alblasserdam";482;"Alblasserdam";20136;"09-02-2022";"22-02-2022";800;3973;5;24.8;0;0
"Albrandswaard";613;"Albrandswaard";25814;"09-02-2022";"22-02-2022";844;3269.5;4;15.5;0;0
"Alkmaar";361;"Alkmaar";109896;"09-02-2022";"22-02-2022";4297;3910.1;16;14.6;2;1.8
"Almelo";141;"Almelo";73132;"09-02-2022";"22-02-2022";3032;4145.9;11;15;0;0
"Almere";34;"Almere";214715;"09-02-2022";"22-02-2022";5822;2711.5;20;9.3;2;0.9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"09-02-2022";"22-02-2022";4347;3861;13;11.5;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"09-02-2022";"22-02-2022";372;3586.2;0;0;0;0
"Altena";1959;"Altena";56352;"09-02-2022";"22-02-2022";2318;4113.4;11;19.5;0;0
"Ameland";60;"Ameland";3746;"09-02-2022";"22-02-2022";119;3176.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"09-02-2022";"22-02-2022";7533;4784;26;16.5;1;0.6
