"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"01-02-2023";"14-02-2023";133;24;10;1,8
"'s-Hertogenbosch";156538;"01-02-2023";"14-02-2023";56;35,8;3;1,9
"Aa en Hunze";25579;"01-02-2023";"14-02-2023";6;23,5;0;0
"Aalsmeer";32452;"01-02-2023";"14-02-2023";5;15,4;0;0
"Aalten";27100;"01-02-2023";"14-02-2023";9;33,2;0;0
"Achtkarspelen";27954;"01-02-2023";"14-02-2023";9;32,2;0;0
"Alblasserdam";20087;"01-02-2023";"14-02-2023";5;24,9;1;5
"Albrandswaard";25934;"01-02-2023";"14-02-2023";8;30,8;1;3,9
"Alkmaar";110783;"01-02-2023";"14-02-2023";26;23,5;4;3,6
"Almelo";73155;"01-02-2023";"14-02-2023";16;21,9;0;0
"Almere";217828;"01-02-2023";"14-02-2023";42;19,3;0;0
"Alphen aan den Rijn";112926;"01-02-2023";"14-02-2023";28;24,8;10;8,9
"Alphen-Chaam";10425;"01-02-2023";"14-02-2023";1;9,6;0;0
"Altena";57009;"01-02-2023";"14-02-2023";14;24,6;1;1,8
"Ameland";3757;"01-02-2023";"14-02-2023";0;0;0;0
"Amersfoort";158590;"01-02-2023";"14-02-2023";57;35,9;0;0
"Amstelveen";92331;"01-02-2023";"14-02-2023";39;42,2;0;0
"Amsterdam";903399;"01-02-2023";"14-02-2023";207;22,9;11;1,2
"Apeldoorn";165611;"01-02-2023";"14-02-2023";102;61,6;7;4,2
"Arnhem";163888;"01-02-2023";"14-02-2023";86;52,5;3;1,8
"Assen";68979;"01-02-2023";"14-02-2023";21;30,4;0;0
"Asten";17068;"01-02-2023";"14-02-2023";8;46,9;2;11,7
"Baarle-Nassau";6931;"01-02-2023";"14-02-2023";0;0;1;14,4
"Baarn";24876;"01-02-2023";"14-02-2023";8;32,2;0;0
"Barendrecht";48714;"01-02-2023";"14-02-2023";12;24,6;2;4,1
"Barneveld";60584;"01-02-2023";"14-02-2023";8;13,2;0;0
"Beek";15817;"01-02-2023";"14-02-2023";8;50,6;0;0
"Beekdaelen";35922;"01-02-2023";"14-02-2023";10;27,8;4;11,1
"Beesel";13408;"01-02-2023";"14-02-2023";4;29,8;0;0
"Berg en Dal";34951;"01-02-2023";"14-02-2023";22;62,9;4;11,4
"Bergeijk";18879;"01-02-2023";"14-02-2023";3;15,9;1;5,3
"Bergen (L.)";13106;"01-02-2023";"14-02-2023";4;30,5;2;15,3
"Bergen (NH.)";29723;"01-02-2023";"14-02-2023";5;16,8;2;6,7
"Bergen op Zoom";67894;"01-02-2023";"14-02-2023";12;17,7;2;2,9
"Berkelland";43850;"01-02-2023";"14-02-2023";12;27,4;1;2,3
"Bernheze";31715;"01-02-2023";"14-02-2023";18;56,8;1;3,2
"Best";30608;"01-02-2023";"14-02-2023";7;22,9;0;0
"Beuningen";26235;"01-02-2023";"14-02-2023";17;64,8;1;3,8
"Beverwijk";42084;"01-02-2023";"14-02-2023";21;49,9;0;0
"Bladel";20718;"01-02-2023";"14-02-2023";6;29;0;0
"Blaricum";12359;"01-02-2023";"14-02-2023";1;8,1;0;0
"Bloemendaal";23732;"01-02-2023";"14-02-2023";7;29,5;1;4,2
"Bodegraven-Reeuwijk";35752;"01-02-2023";"14-02-2023";12;33,6;2;5,6
"Boekel";11030;"01-02-2023";"14-02-2023";2;18,1;0;0
"Borger-Odoorn";25681;"01-02-2023";"14-02-2023";7;27,3;0;0
"Borne";24007;"01-02-2023";"14-02-2023";0;0;0;0
"Borsele";22847;"01-02-2023";"14-02-2023";8;35;1;4,4
"Boxtel";33129;"01-02-2023";"14-02-2023";10;30,2;2;6
"Breda";184702;"01-02-2023";"14-02-2023";51;27,6;7;3,8
"Bronckhorst";36077;"01-02-2023";"14-02-2023";6;16,6;0;0
"Brummen";20890;"01-02-2023";"14-02-2023";2;9,6;1;4,8
"Brunssum";27674;"01-02-2023";"14-02-2023";6;21,7;0;0
"Bunnik";15590;"01-02-2023";"14-02-2023";4;25,7;0;0
"Bunschoten";22325;"01-02-2023";"14-02-2023";2;9;0;0
"Buren";27155;"01-02-2023";"14-02-2023";4;14,7;0;0
"Capelle aan den IJssel";67188;"01-02-2023";"14-02-2023";17;25,3;2;3
"Castricum";36263;"01-02-2023";"14-02-2023";6;16,5;2;5,5
"Coevorden";35517;"01-02-2023";"14-02-2023";6;16,9;2;5,6
"Cranendonck";20669;"01-02-2023";"14-02-2023";6;29;1;4,8
"Culemborg";29397;"01-02-2023";"14-02-2023";3;10,2;1;3,4
"Dalfsen";29162;"01-02-2023";"14-02-2023";6;20,6;1;3,4
"Dantumadiel";18957;"01-02-2023";"14-02-2023";2;10,6;0;0
"De Bilt";43508;"01-02-2023";"14-02-2023";12;27,6;5;11,5
"De Fryske Marren";51597;"01-02-2023";"14-02-2023";15;29,1;5;9,7
"De Ronde Venen";44955;"01-02-2023";"14-02-2023";12;26,7;3;6,7
"De Wolden";24511;"01-02-2023";"14-02-2023";1;4,1;0;0
"Delft";104572;"01-02-2023";"14-02-2023";25;23,9;5;4,8
"Den Helder";56334;"01-02-2023";"14-02-2023";16;28,4;1;1,8
"Deurne";32606;"01-02-2023";"14-02-2023";7;21,5;1;3,1
"Deventer";101446;"01-02-2023";"14-02-2023";24;23,7;2;2
"Diemen";31822;"01-02-2023";"14-02-2023";10;31,4;0;0
"Dijk en Waard";87695;"01-02-2023";"14-02-2023";28;31,9;5;5,7
"Dinkelland";26594;"01-02-2023";"14-02-2023";16;60,2;1;3,8
"Doesburg";11036;"01-02-2023";"14-02-2023";5;45,3;0;0
"Doetinchem";58546;"01-02-2023";"14-02-2023";14;23,9;0;0
"Dongen";26483;"01-02-2023";"14-02-2023";6;22,7;0;0
"Dordrecht";119537;"01-02-2023";"14-02-2023";43;36;2;1,7
"Drechterland";19983;"01-02-2023";"14-02-2023";0;0;0;0
"Drimmelen";27476;"01-02-2023";"14-02-2023";8;29,1;0;0
"Dronten";42865;"01-02-2023";"14-02-2023";2;4,7;0;0
"Druten";19178;"01-02-2023";"14-02-2023";8;41,7;2;10,4
"Duiven";24946;"01-02-2023";"14-02-2023";5;20;0;0
"Echt-Susteren";31731;"01-02-2023";"14-02-2023";6;18,9;0;0
"Edam-Volendam";36471;"01-02-2023";"14-02-2023";4;11;1;2,7
"Ede";119986;"01-02-2023";"14-02-2023";29;24,2;1;0,8
"Eemnes";9450;"01-02-2023";"14-02-2023";1;10,6;0;0
"Eemsdelta";45389;"01-02-2023";"14-02-2023";8;17,6;0;0
"Eersel";19823;"01-02-2023";"14-02-2023";10;50,4;0;0
"Eijsden-Margraten";25857;"01-02-2023";"14-02-2023";6;23,2;0;0
"Eindhoven";238326;"01-02-2023";"14-02-2023";81;34;8;3,4
"Elburg";23740;"01-02-2023";"14-02-2023";4;16,8;0;0
"Emmen";107856;"01-02-2023";"14-02-2023";27;25;8;7,4
"Enkhuizen";18620;"01-02-2023";"14-02-2023";2;10,7;1;5,4
"Enschede";160640;"01-02-2023";"14-02-2023";61;38;9;5,6
"Epe";33257;"01-02-2023";"14-02-2023";12;36,1;4;12
"Ermelo";27258;"01-02-2023";"14-02-2023";16;58,7;0;0
"Etten-Leur";44152;"01-02-2023";"14-02-2023";5;11,3;4;9,1
"Geertruidenberg";21944;"01-02-2023";"14-02-2023";3;13,7;1;4,6
"Geldrop-Mierlo";40131;"01-02-2023";"14-02-2023";11;27,4;3;7,5
"Gemert-Bakel";31040;"01-02-2023";"14-02-2023";11;35,4;1;3,2
"Gennep";17237;"01-02-2023";"14-02-2023";12;69,6;1;5,8
"Gilze en Rijen";26557;"01-02-2023";"14-02-2023";2;7,5;1;3,8
"Goeree-Overflakkee";51051;"01-02-2023";"14-02-2023";17;33,3;4;7,8
"Goes";38950;"01-02-2023";"14-02-2023";22;56,5;3;7,7
"Goirle";23979;"01-02-2023";"14-02-2023";9;37,5;0;0
