Category;Aantal
Aalsmeer;null
Aalten;null
Achtkarspelen;null
Alblasserdam;null
Albrandswaard;1.00
Alkmaar;null
Almelo;1.00
Almere;1.00
Alphen aan den Rijn;1.00
Alphen-Chaam;null
Altena;4.00
Ameland;null
Amersfoort;null
Amstelveen;1.00
Amsterdam;6.00
Apeldoorn;null
Appingedam;null
Arnhem;3.00
Assen;null
Asten;null
Baarle-Nassau;null
Baarn;null
Barendrecht;null
Barneveld;null
Beek;null
Beekdaelen;2.00
Beemster;null
Beesel;null
Berg en Dal;null
Bergeijk;null
Bergen (L);null
Bergen (NH);null
Bergen op Zoom;1.00
Berkelland;null
Bernheze;1.00
Best;2.00
Beuningen;5.00
Beverwijk;4.00
Bladel;null
Blaricum;1.00
Bloemendaal;1.00
Bodegraven-Reeuwijk;null
Boekel;1.00
Borger-Odoorn;null
Borne;3.00
Borsele;null
Boxmeer;null
Boxtel;null
Breda;16.00
Brielle;null
Bronckhorst;2.00
Brummen;null
Brunssum;null
Bunnik;null
Bunschoten;null
Buren;null
Capelle aan den IJssel;null
Castricum;null
Coevorden;7.00
Cranendonck;null
Cuijk;null
Culemborg;1.00
Dalfsen;null
Dantumadiel;null
De Bilt;6.00
De Fryske Marren;null
De Ronde Venen;null
De Wolden;null
Delft;1.00
Delfzijl;null
Den Helder;null
Deurne;1.00
Deventer;null
Diemen;null
Dinkelland;2.00
Doesburg;null
Doetinchem;null
Dongen;3.00
Dordrecht;null
Drechterland;null
Drimmelen;null
Dronten;null
Druten;null
Duiven;null
Echt-Susteren;null
Edam-Volendam;null
Ede;1.00
Eemnes;null
Eersel;null
Eijsden-Margraten;null
Eindhoven;6.00
Elburg;null
Emmen;1.00
Enkhuizen;null
Enschede;null
Epe;null
Ermelo;null
Etten-Leur;null
Geertruidenberg;null
Geldrop-Mierlo;null
Gemert-Bakel;1.00
Gennep;null
Gilze en Rijen;null
Goeree-Overflakkee;null
Goes;null
Goirle;1.00
Gooise Meren;2.00
Gorinchem;null
Gouda;null
Grave;null
Groningen;null
Gulpen-Wittem;null
Haaksbergen;null
Haaren;null
Haarlem;2.00
Haarlemmermeer;null
Halderberge;null
Hardenberg;null
Harderwijk;null
Hardinxveld-Giessendam;4.00
Harlingen;null
Hattem;null
Heemskerk;null
Heemstede;1.00
Heerde;null
Heerenveen;null
Heerhugowaard;null
Heerlen;null
Heeze-Leende;null
Heiloo;null
Hellendoorn;2.00
Hellevoetsluis;null
Helmond;5.00
Hendrik-Ido-Ambacht;null
Hengelo (O);null
Het Hogeland;null
Heumen;null
Heusden;1.00
Hillegom;null
Hilvarenbeek;null
Hilversum;null
Hoeksche Waard;2.00
Hof van Twente;null
Hollands Kroon;null
Hoogeveen;null
Hoorn;null
Horst aan de Maas;null
Houten;13.00
Huizen;1.00
Hulst;null
IJsselstein;1.00
Kaag en Braassem;null
Kampen;null
Kapelle;null
Katwijk;null
Kerkrade;null
Koggenland;null
Krimpen aan den IJssel;null
Krimpenerwaard;1.00
Laarbeek;null
Landerd;1.00
Landgraaf;null
Landsmeer;null
Langedijk;null
Lansingerland;2.00
Laren;null
Leeuwarden;null
Leiden;null
Leiderdorp;null
Leidschendam-Voorburg;1.00
Lelystad;null
Leudal;null
Leusden;null
Lingewaard;2.00
Lisse;null
Lochem;null
Loon op Zand;7.00
Lopik;null
Loppersum;null
Losser;null
Maasdriel;1.00
Maasgouw;null
Maassluis;null
Maastricht;4.00
Medemblik;null
Meerssen;null
Meierijstad;4.00
Meppel;null
Middelburg;null
Midden-Delfland;null
Midden-Drenthe;null
Midden-Groningen;null
Mill en Sint Hubert;null
Moerdijk;null
Molenlanden;null
Montferland;null
Montfoort;null
Mook en Middelaar;null
Neder-Betuwe;null
Nederweert;null
Nieuwegein;null
Nieuwkoop;null
Nijkerk;null
Nijmegen;2.00
Nissewaard;null
Noardeast-Fryslân;null
Noord-Beveland;null
Noordenveld;null
Noordoostpolder;null
Noordwijk;null
Nuenen, Gerwen en Nederwetten;null
Nunspeet;null
Oegstgeest;1.00
Oirschot;null
Oisterwijk;3.00
Oldambt;null
Oldebroek;null
Oldenzaal;null
Olst-Wijhe;null
Ommen;null
Oost Gelre;null
Oosterhout;null
Ooststellingwerf;null
Oostzaan;null
Opmeer;null
Opsterland;null
Oss;1.00
Oude IJsselstreek;null
Ouder-Amstel;null
Oudewater;null
Overbetuwe;null
Papendrecht;null
Peel en Maas;null
Pekela;null
Pijnacker-Nootdorp;2.00
Purmerend;null
Putten;null
Raalte;null
Reimerswaal;null
Renkum;5.00
Renswoude;null
Reusel-De Mierden;null
Rheden;null
Rhenen;null
Ridderkerk;1.00
Rijssen-Holten;null
Rijswijk;null
Roerdalen;null
Roermond;1.00
Roosendaal;null
Rotterdam;14.00
Rozendaal;null
Rucphen;null
Schagen;null
