"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"23-02-2022";"08-03-2022";11825;2156.6;53;9.7;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"23-02-2022";"08-03-2022";10794;6941.9;24;15.4;1;0.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"23-02-2022";"08-03-2022";1092;4299.4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"23-02-2022";"08-03-2022";1100;3438.5;1;3.1;0;0
"Aalten";197;"Aalten";27120;"23-02-2022";"08-03-2022";1196;4410;2;7.4;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27900;"23-02-2022";"08-03-2022";1075;3853;4;14.3;0;0
"Alblasserdam";482;"Alblasserdam";20136;"23-02-2022";"08-03-2022";405;2011.3;3;14.9;0;0
"Albrandswaard";613;"Albrandswaard";25814;"23-02-2022";"08-03-2022";608;2355.3;2;7.7;1;3.9
"Alkmaar";361;"Alkmaar";109896;"23-02-2022";"08-03-2022";3434;3124.8;11;10;0;0
"Almelo";141;"Almelo";73132;"23-02-2022";"08-03-2022";2310;3158.7;10;13.7;0;0
"Almere";34;"Almere";214715;"23-02-2022";"08-03-2022";4547;2117.7;19;8.8;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"23-02-2022";"08-03-2022";3578;3178;3;2.7;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"23-02-2022";"08-03-2022";501;4829.8;0;0;0;0
"Altena";1959;"Altena";56352;"23-02-2022";"08-03-2022";1794;3183.6;1;1.8;1;1.8
"Ameland";60;"Ameland";3746;"23-02-2022";"08-03-2022";162;4324.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"23-02-2022";"08-03-2022";6016;3820.6;23;14.6;1;0.6
"Amstelveen";362;"Amstelveen";90829;"23-02-2022";"08-03-2022";2526;2781.1;4;4.4;1;1.1
"Amsterdam";363;"Amsterdam";873338;"23-02-2022";"08-03-2022";25710;2943.9;69;7.9;11;1.3
"Apeldoorn";200;"Apeldoorn";164781;"23-02-2022";"08-03-2022";5543;3363.9;20;12.1;1;0.6
"Arnhem";202;"Arnhem";162424;"23-02-2022";"08-03-2022";6308;3883.7;10;6.2;0;0
"Assen";106;"Assen";68836;"23-02-2022";"08-03-2022";3071;4461.3;5;7.3;0;0
"Asten";743;"Asten";16817;"23-02-2022";"08-03-2022";905;5381.5;2;11.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"23-02-2022";"08-03-2022";188;2725;1;14.5;0;0
"Baarn";308;"Baarn";24792;"23-02-2022";"08-03-2022";699;2819.5;1;4;0;0
"Barendrecht";489;"Barendrecht";48643;"23-02-2022";"08-03-2022";1117;2296.3;9;18.5;0;0
"Barneveld";203;"Barneveld";59992;"23-02-2022";"08-03-2022";1834;3057.1;7;11.7;1;1.7
"Beek";888;"Beek";15875;"23-02-2022";"08-03-2022";886;5581.1;5;31.5;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"23-02-2022";"08-03-2022";1967;5454;4;11.1;0;0
"Beesel";889;"Beesel";13450;"23-02-2022";"08-03-2022";677;5033.5;4;29.7;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"23-02-2022";"08-03-2022";1735;4955.7;5;14.3;1;2.9
"Bergeijk";1724;"Bergeijk";18754;"23-02-2022";"08-03-2022";1067;5689.5;1;5.3;1;5.3
"Bergen (L.)";893;"Bergen (L.)";13108;"23-02-2022";"08-03-2022";809;6171.8;3;22.9;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"23-02-2022";"08-03-2022";775;2608.1;3;10.1;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"23-02-2022";"08-03-2022";3534;5234.5;14;20.7;0;0
