"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"25-05-2022";"07-06-2022";607;110.7;4;0.7;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"25-05-2022";"07-06-2022";98;63;2;1.3;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"25-05-2022";"07-06-2022";17;66.9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"25-05-2022";"07-06-2022";33;103.2;0;0;0;0
"Aalten";197;"Aalten";27120;"25-05-2022";"07-06-2022";15;55.3;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"25-05-2022";"07-06-2022";18;64.5;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"25-05-2022";"07-06-2022";23;114.2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"25-05-2022";"07-06-2022";37;143.3;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"25-05-2022";"07-06-2022";95;86.4;2;1.8;0;0
"Almelo";141;"Almelo";73132;"25-05-2022";"07-06-2022";46;62.9;4;5.5;0;0
"Almere";34;"Almere";214715;"25-05-2022";"07-06-2022";272;126.7;1;0.5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"25-05-2022";"07-06-2022";112;99.5;2;1.8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"25-05-2022";"07-06-2022";10;96.4;0;0;0;0
"Altena";1959;"Altena";56352;"25-05-2022";"07-06-2022";39;69.2;1;1.8;0;0
"Ameland";60;"Ameland";3746;"25-05-2022";"07-06-2022";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"25-05-2022";"07-06-2022";212;134.6;6;3.8;0;0
"Amstelveen";362;"Amstelveen";90829;"25-05-2022";"07-06-2022";136;149.7;0;0;0;0
"Amsterdam";363;"Amsterdam";893783;"25-05-2022";"07-06-2022";1451;162.3;5;0.6;0;0
"Apeldoorn";200;"Apeldoorn";164781;"25-05-2022";"07-06-2022";129;78.3;0;0;0;0
"Arnhem";202;"Arnhem";162424;"25-05-2022";"07-06-2022";122;75.1;1;0.6;0;0
"Assen";106;"Assen";68836;"25-05-2022";"07-06-2022";50;72.6;0;0;0;0
"Asten";743;"Asten";16817;"25-05-2022";"07-06-2022";5;29.7;1;5.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"25-05-2022";"07-06-2022";6;87;0;0;0;0
"Baarn";308;"Baarn";24792;"25-05-2022";"07-06-2022";14;56.5;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"25-05-2022";"07-06-2022";50;102.8;0;0;0;0
"Barneveld";203;"Barneveld";59992;"25-05-2022";"07-06-2022";27;45;1;1.7;0;0
