"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"29-03-2023";"11-04-2023";19;3,4
"'s-Hertogenbosch";156538;"29-03-2023";"11-04-2023";7;4,5
"Aa en Hunze";25579;"29-03-2023";"11-04-2023";0;0
"Aalsmeer";32452;"29-03-2023";"11-04-2023";0;0
"Aalten";27100;"29-03-2023";"11-04-2023";2;7,4
"Achtkarspelen";27954;"29-03-2023";"11-04-2023";0;0
"Alblasserdam";20087;"29-03-2023";"11-04-2023";0;0
"Albrandswaard";25934;"29-03-2023";"11-04-2023";1;3,9
"Alkmaar";110783;"29-03-2023";"11-04-2023";9;8,1
"Almelo";73155;"29-03-2023";"11-04-2023";0;0
"Almere";217828;"29-03-2023";"11-04-2023";0;0
"Alphen aan den Rijn";112926;"29-03-2023";"11-04-2023";8;7,1
"Alphen-Chaam";10425;"29-03-2023";"11-04-2023";0;0
"Altena";57009;"29-03-2023";"11-04-2023";0;0
"Ameland";3757;"29-03-2023";"11-04-2023";0;0
"Amersfoort";158590;"29-03-2023";"11-04-2023";3;1,9
"Amstelveen";92331;"29-03-2023";"11-04-2023";0;0
"Amsterdam";903399;"29-03-2023";"11-04-2023";14;1,5
"Apeldoorn";165611;"29-03-2023";"11-04-2023";12;7,2
"Arnhem";163888;"29-03-2023";"11-04-2023";1;0,6
"Assen";68979;"29-03-2023";"11-04-2023";0;0
"Asten";17068;"29-03-2023";"11-04-2023";4;23,4
"Baarle-Nassau";6931;"29-03-2023";"11-04-2023";0;0
"Baarn";24876;"29-03-2023";"11-04-2023";0;0
"Barendrecht";48714;"29-03-2023";"11-04-2023";2;4,1
"Barneveld";60584;"29-03-2023";"11-04-2023";1;1,7
"Beek";15817;"29-03-2023";"11-04-2023";1;6,3
"Beekdaelen";35922;"29-03-2023";"11-04-2023";2;5,6
"Beesel";13408;"29-03-2023";"11-04-2023";0;0
"Berg en Dal";34951;"29-03-2023";"11-04-2023";0;0
"Bergeijk";18879;"29-03-2023";"11-04-2023";2;10,6
"Bergen (L.)";13106;"29-03-2023";"11-04-2023";0;0
"Bergen (NH.)";29723;"29-03-2023";"11-04-2023";3;10,1
"Bergen op Zoom";67894;"29-03-2023";"11-04-2023";0;0
"Berkelland";43850;"29-03-2023";"11-04-2023";3;6,8
"Bernheze";31715;"29-03-2023";"11-04-2023";0;0
"Best";30608;"29-03-2023";"11-04-2023";0;0
"Beuningen";26235;"29-03-2023";"11-04-2023";0;0
"Beverwijk";42084;"29-03-2023";"11-04-2023";0;0
"Bladel";20718;"29-03-2023";"11-04-2023";2;9,7
"Blaricum";12359;"29-03-2023";"11-04-2023";0;0
"Bloemendaal";23732;"29-03-2023";"11-04-2023";2;8,4
"Bodegraven-Reeuwijk";35752;"29-03-2023";"11-04-2023";2;5,6
"Boekel";11030;"29-03-2023";"11-04-2023";0;0
"Borger-Odoorn";25681;"29-03-2023";"11-04-2023";1;3,9
"Borne";24007;"29-03-2023";"11-04-2023";0;0
"Borsele";22847;"29-03-2023";"11-04-2023";0;0
"Boxtel";33129;"29-03-2023";"11-04-2023";1;3
"Breda";184702;"29-03-2023";"11-04-2023";8;4,3
"Bronckhorst";36077;"29-03-2023";"11-04-2023";0;0
"Brummen";20890;"29-03-2023";"11-04-2023";1;4,8
"Brunssum";27674;"29-03-2023";"11-04-2023";0;0
"Bunnik";15590;"29-03-2023";"11-04-2023";1;6,4
"Bunschoten";22325;"29-03-2023";"11-04-2023";0;0
"Buren";27155;"29-03-2023";"11-04-2023";1;3,7
"Capelle aan den IJssel";67188;"29-03-2023";"11-04-2023";3;4,5
"Castricum";36263;"29-03-2023";"11-04-2023";0;0
