"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"04-08-2021";"17-08-2021";7;27.5;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"04-08-2021";"17-08-2021";73;229.1;1;3.1;0;0
"Aalten";197;"Aalten";27121;"04-08-2021";"17-08-2021";26;95.9;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"04-08-2021";"17-08-2021";41;147.3;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"04-08-2021";"17-08-2021";50;248;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"04-08-2021";"17-08-2021";54;211;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"04-08-2021";"17-08-2021";191;174.5;0;0;0;0
"Almelo";141;"Almelo";73107;"04-08-2021";"17-08-2021";171;233.9;0;0;0;0
"Almere";34;"Almere";211893;"04-08-2021";"17-08-2021";671;316.7;4;1.9;3;1.4
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"04-08-2021";"17-08-2021";193;172.5;0;0;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"04-08-2021";"17-08-2021";8;78.4;0;0;0;0
"Altena";1959;"Altena";55967;"04-08-2021";"17-08-2021";60;107.2;1;1.8;0;0
"Ameland";60;"Ameland";3716;"04-08-2021";"17-08-2021";3;80.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"04-08-2021";"17-08-2021";299;190.1;2;1.3;0;0
"Amstelveen";362;"Amstelveen";91675;"04-08-2021";"17-08-2021";217;236.7;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"04-08-2021";"17-08-2021";2704;309.8;25;2.9;8;0.9
"Apeldoorn";200;"Apeldoorn";163818;"04-08-2021";"17-08-2021";300;183.1;0;0;4;2.4
"Arnhem";202;"Arnhem";161348;"04-08-2021";"17-08-2021";282;174.8;1;0.6;0;0
"Assen";106;"Assen";68599;"04-08-2021";"17-08-2021";77;112.2;0;0;0;0
"Asten";743;"Asten";16721;"04-08-2021";"17-08-2021";22;131.6;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"04-08-2021";"17-08-2021";7;102.1;0;0;0;0
"Baarn";308;"Baarn";24868;"04-08-2021";"17-08-2021";23;92.5;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"04-08-2021";"17-08-2021";93;190.9;0;0;0;0
"Barneveld";203;"Barneveld";59082;"04-08-2021";"17-08-2021";107;181.1;2;3.4;0;0
"Beek";888;"Beek";15865;"04-08-2021";"17-08-2021";35;220.6;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"04-08-2021";"17-08-2021";66;183.6;0;0;0;0
