"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"19-05-2021";"01-06-2021";41;161.1;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"19-05-2021";"01-06-2021";74;232.3;1;3.1;0;0
"Aalten";197;"Aalten";27121;"19-05-2021";"01-06-2021";45;165.9;2;7.4;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27843;"19-05-2021";"01-06-2021";48;172.4;0;0;1;3.6
"Alblasserdam";482;"Alblasserdam";20165;"19-05-2021";"01-06-2021";42;208.3;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"19-05-2021";"01-06-2021";88;343.9;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"19-05-2021";"01-06-2021";133;121.5;2;1.8;0;0
"Almelo";141;"Almelo";73107;"19-05-2021";"01-06-2021";287;392.6;2;2.7;2;2.7
"Almere";34;"Almere";211893;"19-05-2021";"01-06-2021";307;144.9;6;2.8;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"19-05-2021";"01-06-2021";231;206.4;2;1.8;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"19-05-2021";"01-06-2021";11;107.8;0;0;0;0
"Altena";1959;"Altena";55967;"19-05-2021";"01-06-2021";147;262.7;0;0;0;0
"Ameland";60;"Ameland";3716;"19-05-2021";"01-06-2021";15;403.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"19-05-2021";"01-06-2021";364;231.4;3;1.9;0;0
"Amstelveen";362;"Amstelveen";91675;"19-05-2021";"01-06-2021";148;161.4;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"19-05-2021";"01-06-2021";1945;222.9;15;1.7;14;1.6
"Apeldoorn";200;"Apeldoorn";163818;"19-05-2021";"01-06-2021";315;192.3;0;0;2;1.2
"Arnhem";202;"Arnhem";161348;"19-05-2021";"01-06-2021";417;258.4;6;3.7;0;0
"Assen";106;"Assen";68599;"19-05-2021";"01-06-2021";74;107.9;1;1.5;0;0
"Asten";743;"Asten";16721;"19-05-2021";"01-06-2021";37;221.3;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"19-05-2021";"01-06-2021";20;291.6;0;0;0;0
"Baarn";308;"Baarn";24868;"19-05-2021";"01-06-2021";68;273.4;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"19-05-2021";"01-06-2021";120;246.3;1;2.1;0;0
"Barneveld";203;"Barneveld";59082;"19-05-2021";"01-06-2021";136;230.2;1;1.7;0;0
"Beek";888;"Beek";15865;"19-05-2021";"01-06-2021";45;283.6;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"19-05-2021";"01-06-2021";89;247.6;1;2.8;1;2.8
"Beemster";370;"Beemster";10022;"19-05-2021";"01-06-2021";12;119.7;0;0;0;0
"Beesel";889;"Beesel";13482;"19-05-2021";"01-06-2021";47;348.6;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"19-05-2021";"01-06-2021";94;268.6;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"19-05-2021";"01-06-2021";40;214.6;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"19-05-2021";"01-06-2021";81;619;0;0;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"19-05-2021";"01-06-2021";36;120.6;1;3.4;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"19-05-2021";"01-06-2021";154;228.2;0;0;0;0
"Berkelland";1859;"Berkelland";43747;"19-05-2021";"01-06-2021";120;274.3;1;2.3;0;0
"Bernheze";1721;"Bernheze";31240;"19-05-2021";"01-06-2021";120;384.1;2;6.4;0;0
"Best";753;"Best";29988;"19-05-2021";"01-06-2021";86;286.8;0;0;0;0
"Beuningen";209;"Beuningen";25890;"19-05-2021";"01-06-2021";65;251.1;1;3.9;0;0
"Beverwijk";375;"Beverwijk";41626;"19-05-2021";"01-06-2021";69;165.8;0;0;0;0
"Bladel";1728;"Bladel";20390;"19-05-2021";"01-06-2021";60;294.3;0;0;0;0
"Blaricum";376;"Blaricum";11540;"19-05-2021";"01-06-2021";22;190.6;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"19-05-2021";"01-06-2021";39;165.5;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"19-05-2021";"01-06-2021";80;229.4;1;2.9;0;0
"Boekel";755;"Boekel";10785;"19-05-2021";"01-06-2021";29;268.9;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"19-05-2021";"01-06-2021";59;230.8;0;0;0;0
"Borne";147;"Borne";23312;"19-05-2021";"01-06-2021";56;240.2;0;0;0;0
"Borsele";654;"Borsele";22739;"19-05-2021";"01-06-2021";30;131.9;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"19-05-2021";"01-06-2021";90;306.5;1;3.4;0;0
"Boxtel";757;"Boxtel";32970;"19-05-2021";"01-06-2021";89;269.9;0;0;1;3
"Breda";758;"Breda";184069;"19-05-2021";"01-06-2021";418;227.1;1;0.5;0;0
"Brielle";501;"Brielle";17271;"19-05-2021";"01-06-2021";46;266.3;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"19-05-2021";"01-06-2021";58;160.9;0;0;0;0
"Brummen";213;"Brummen";20726;"19-05-2021";"01-06-2021";59;284.7;0;0;0;0
