"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"20-01-2021";"02-02-2021";74;290.8;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31859;"20-01-2021";"02-02-2021";65;204;1;3.1;0;0
"Aalten";197;"Aalten";27121;"20-01-2021";"02-02-2021";72;265.5;1;3.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"20-01-2021";"02-02-2021";232;833.2;4;14.4;4;14.4
"Alblasserdam";482;"Alblasserdam";20165;"20-01-2021";"02-02-2021";39;193.4;0;0;1;5
"Albrandswaard";613;"Albrandswaard";25590;"20-01-2021";"02-02-2021";58;226.7;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109436;"20-01-2021";"02-02-2021";418;382;3;2.7;2;1.8
"Almelo";141;"Almelo";73107;"20-01-2021";"02-02-2021";245;335.1;3;4.1;0;0
"Almere";34;"Almere";211893;"20-01-2021";"02-02-2021";705;332.7;4;1.9;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"20-01-2021";"02-02-2021";303;270.8;4;3.6;5;4.5
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"20-01-2021";"02-02-2021";14;137.2;0;0;0;0
"Altena";1959;"Altena";55967;"20-01-2021";"02-02-2021";267;477.1;3;5.4;1;1.8
"Ameland";60;"Ameland";3716;"20-01-2021";"02-02-2021";2;53.8;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"20-01-2021";"02-02-2021";411;261.3;9;5.7;1;0.6
"Amstelveen";362;"Amstelveen";91675;"20-01-2021";"02-02-2021";185;201.8;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"20-01-2021";"02-02-2021";2477;283.8;44;5;32;3.7
"Apeldoorn";200;"Apeldoorn";163818;"20-01-2021";"02-02-2021";269;164.2;0;0;1;0.6
"Arnhem";202;"Arnhem";161348;"20-01-2021";"02-02-2021";348;215.7;2;1.2;3;1.9
"Assen";106;"Assen";68599;"20-01-2021";"02-02-2021";125;182.2;0;0;0;0
"Asten";743;"Asten";16721;"20-01-2021";"02-02-2021";63;376.8;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"20-01-2021";"02-02-2021";11;160.4;0;0;0;0
"Baarn";308;"Baarn";24868;"20-01-2021";"02-02-2021";68;273.4;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"20-01-2021";"02-02-2021";126;258.7;0;0;0;0
"Barneveld";203;"Barneveld";59082;"20-01-2021";"02-02-2021";338;572.1;1;1.7;8;13.5
"Beek";888;"Beek";15865;"20-01-2021";"02-02-2021";40;252.1;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"20-01-2021";"02-02-2021";118;328.3;0;0;1;2.8
"Beemster";370;"Beemster";10022;"20-01-2021";"02-02-2021";33;329.3;0;0;0;0
"Beesel";889;"Beesel";13482;"20-01-2021";"02-02-2021";68;504.4;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"20-01-2021";"02-02-2021";74;211.5;0;0;1;2.9
"Bergeijk";1724;"Bergeijk";18635;"20-01-2021";"02-02-2021";82;440;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"20-01-2021";"02-02-2021";70;535;0;0;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"20-01-2021";"02-02-2021";91;305;1;3.4;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"20-01-2021";"02-02-2021";225;333.4;4;5.9;1;1.5
"Berkelland";1859;"Berkelland";43747;"20-01-2021";"02-02-2021";141;322.3;1;2.3;2;4.6
"Bernheze";1721;"Bernheze";31240;"20-01-2021";"02-02-2021";192;614.6;0;0;0;0
"Best";753;"Best";29988;"20-01-2021";"02-02-2021";153;510.2;0;0;1;3.3
"Beuningen";209;"Beuningen";25890;"20-01-2021";"02-02-2021";80;309;1;3.9;0;0
"Beverwijk";375;"Beverwijk";41626;"20-01-2021";"02-02-2021";143;343.5;2;4.8;1;2.4
