"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"18-08-2021";"31-08-2021";1482;270.3;18;3.3;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"18-08-2021";"31-08-2021";229;147.3;2;1.3;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"18-08-2021";"31-08-2021";13;51.2;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"18-08-2021";"31-08-2021";66;206.3;1;3.1;0;0
"Aalten";197;"Aalten";27120;"18-08-2021";"31-08-2021";26;95.9;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"18-08-2021";"31-08-2021";93;333.3;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"18-08-2021";"31-08-2021";53;263.2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"18-08-2021";"31-08-2021";43;166.6;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"18-08-2021";"31-08-2021";189;172;0;0;0;0
"Almelo";141;"Almelo";73132;"18-08-2021";"31-08-2021";170;232.5;1;1.4;0;0
"Almere";34;"Almere";214715;"18-08-2021";"31-08-2021";685;319;2;0.9;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"18-08-2021";"31-08-2021";170;151;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"18-08-2021";"31-08-2021";3;28.9;0;0;0;0
"Altena";1959;"Altena";56352;"18-08-2021";"31-08-2021";79;140.2;1;1.8;0;0
"Ameland";60;"Ameland";3746;"18-08-2021";"31-08-2021";1;26.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"18-08-2021";"31-08-2021";299;189.9;2;1.3;3;1.9
"Amstelveen";362;"Amstelveen";90829;"18-08-2021";"31-08-2021";174;191.6;1;1.1;3;3.3
"Amsterdam";363;"Amsterdam";873338;"18-08-2021";"31-08-2021";2798;320.4;41;4.7;13;1.5
"Apeldoorn";200;"Apeldoorn";164781;"18-08-2021";"31-08-2021";320;194.2;2;1.2;1;0.6
"Arnhem";202;"Arnhem";162424;"18-08-2021";"31-08-2021";344;211.8;1;0.6;1;0.6
"Assen";106;"Assen";68836;"18-08-2021";"31-08-2021";67;97.3;1;1.5;0;0
"Asten";743;"Asten";16817;"18-08-2021";"31-08-2021";26;154.6;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"18-08-2021";"31-08-2021";8;116;0;0;0;0
"Baarn";308;"Baarn";24792;"18-08-2021";"31-08-2021";31;125;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"18-08-2021";"31-08-2021";105;215.9;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"18-08-2021";"31-08-2021";122;203.4;3;5;0;0
"Beek";888;"Beek";15875;"18-08-2021";"31-08-2021";24;151.2;1;6.3;1;6.3
"Beekdaelen";1954;"Beekdaelen";36065;"18-08-2021";"31-08-2021";37;102.6;0;0;2;5.5
"Beemster";370;"Beemster";10110;"18-08-2021";"31-08-2021";25;247.3;0;0;0;0
"Beesel";889;"Beesel";13450;"18-08-2021";"31-08-2021";12;89.2;0;0;0;0
