"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-05-22";"2023-05-28";4;0,7;232,91
"'s-Hertogenbosch";156538;"2023-05-22";"2023-05-28";0;0;189,63
"Aa en Hunze";25579;"2023-05-22";"2023-05-28";0;0;109,5
"Aalsmeer";32452;"2023-05-22";"2023-05-28";0;0;166,32
"Aalten";27100;"2023-05-22";"2023-05-28";0;0;151,67
"Achtkarspelen";27954;"2023-05-22";"2023-05-28";0;0;41,72
"Alblasserdam";20087;"2023-05-22";"2023-05-28";0;0;300,19
"Albrandswaard";25934;"2023-05-22";"2023-05-28";0;0;478,22
"Alkmaar";110783;"2023-05-22";"2023-05-28";0;0;67,02
"Almelo";73155;"2023-05-22";"2023-05-28";0;0;160,92
"Almere";217828;"2023-05-22";"2023-05-28";0;0;
"Alphen aan den Rijn";112926;"2023-05-22";"2023-05-28";1;0,9;200,05
"Alphen-Chaam";10425;"2023-05-22";"2023-05-28";0;0;167,26
"Altena";57009;"2023-05-22";"2023-05-28";1;1,8;73,95
"Ameland";3757;"2023-05-22";"2023-05-28";0;0;
"Amersfoort";158590;"2023-05-22";"2023-05-28";1;0,6;82,24
"Amstelveen";92331;"2023-05-22";"2023-05-28";0;0;200,57
"Amsterdam";903399;"2023-05-22";"2023-05-28";5;0,6;331,81
"Apeldoorn";165611;"2023-05-22";"2023-05-28";0;0;157,14
"Arnhem";163888;"2023-05-22";"2023-05-28";0;0;52,25
"Assen";68979;"2023-05-22";"2023-05-28";0;0;113,45
"Asten";17068;"2023-05-22";"2023-05-28";0;0;
"Baarle-Nassau";6931;"2023-05-22";"2023-05-28";0;0;52,21
"Baarn";24876;"2023-05-22";"2023-05-28";0;0;51,98
"Barendrecht";48714;"2023-05-22";"2023-05-28";0;0;478,22
"Barneveld";60584;"2023-05-22";"2023-05-28";0;0;142,35
"Beek";15817;"2023-05-22";"2023-05-28";0;0;31,79
"Beekdaelen";35922;"2023-05-22";"2023-05-28";0;0;42,37
"Beesel";13408;"2023-05-22";"2023-05-28";0;0;46,73
"Berg en Dal";34951;"2023-05-22";"2023-05-28";0;0;59,97
"Bergeijk";18879;"2023-05-22";"2023-05-28";0;0;198,1
"Bergen (L.)";13106;"2023-05-22";"2023-05-28";0;0;48,16
"Bergen (NH.)";29723;"2023-05-22";"2023-05-28";0;0;59,35
"Bergen op Zoom";67894;"2023-05-22";"2023-05-28";0;0;
"Berkelland";43850;"2023-05-22";"2023-05-28";0;0;67,75
"Bernheze";31715;"2023-05-22";"2023-05-28";0;0;71,66
"Best";30608;"2023-05-22";"2023-05-28";0;0;116,64
"Beuningen";26235;"2023-05-22";"2023-05-28";1;3,8;
"Beverwijk";42084;"2023-05-22";"2023-05-28";0;0;
"Bladel";20718;"2023-05-22";"2023-05-28";0;0;
"Blaricum";12359;"2023-05-22";"2023-05-28";0;0;
"Bloemendaal";23732;"2023-05-22";"2023-05-28";0;0;
"Bodegraven-Reeuwijk";35752;"2023-05-22";"2023-05-28";0;0;64,31
"Boekel";11030;"2023-05-22";"2023-05-28";0;0;71,66
"Borger-Odoorn";25681;"2023-05-22";"2023-05-28";0;0;103,6
"Borne";24007;"2023-05-22";"2023-05-28";0;0;
"Borsele";22847;"2023-05-22";"2023-05-28";0;0;161,51
"Boxtel";33129;"2023-05-22";"2023-05-28";0;0;18,55
"Breda";184702;"2023-05-22";"2023-05-28";1;0,5;166,18
"Bronckhorst";36077;"2023-05-22";"2023-05-28";0;0;68,17
"Brummen";20890;"2023-05-22";"2023-05-28";0;0;119,1
"Brunssum";27674;"2023-05-22";"2023-05-28";0;0;38,24
"Bunnik";15590;"2023-05-22";"2023-05-28";0;0;239,07
"Bunschoten";22325;"2023-05-22";"2023-05-28";0;0;82,22
"Buren";27155;"2023-05-22";"2023-05-28";0;0;211,1
"Capelle aan den IJssel";67188;"2023-05-22";"2023-05-28";0;0;863,38
"Castricum";36263;"2023-05-22";"2023-05-28";0;0;133,56
"Coevorden";35517;"2023-05-22";"2023-05-28";0;0;153,65
"Cranendonck";20669;"2023-05-22";"2023-05-28";0;0;0
"Culemborg";29397;"2023-05-22";"2023-05-28";0;0;511,94
"Dalfsen";29162;"2023-05-22";"2023-05-28";0;0;76,07
"Dantumadiel";18957;"2023-05-22";"2023-05-28";0;0;86,78
"De Bilt";43508;"2023-05-22";"2023-05-28";0;0;143,1
"De Fryske Marren";51597;"2023-05-22";"2023-05-28";0;0;105,53
"De Ronde Venen";44955;"2023-05-22";"2023-05-28";0;0;413,44
"De Wolden";24511;"2023-05-22";"2023-05-28";0;0;156,9
"Delft";104572;"2023-05-22";"2023-05-28";0;0;254,86
"Den Helder";56334;"2023-05-22";"2023-05-28";0;0;164,95
"Deurne";32606;"2023-05-22";"2023-05-28";0;0;22,31
