"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"07-07-2021";"20-07-2021";112;440.2;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"07-07-2021";"20-07-2021";419;1315.2;1;3.1;0;0
"Aalten";197;"Aalten";27121;"07-07-2021";"20-07-2021";133;490.4;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"07-07-2021";"20-07-2021";98;352;1;3.6;0;0
"Alblasserdam";482;"Alblasserdam";20165;"07-07-2021";"20-07-2021";83;411.6;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"07-07-2021";"20-07-2021";210;820.6;0;0;1;3.9
"Alkmaar";361;"Alkmaar";109436;"07-07-2021";"20-07-2021";901;823.3;1;0.9;0;0
"Almelo";141;"Almelo";73107;"07-07-2021";"20-07-2021";329;450;1;1.4;0;0
"Almere";34;"Almere";211893;"07-07-2021";"20-07-2021";1057;498.8;3;1.4;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"07-07-2021";"20-07-2021";609;544.3;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"07-07-2021";"20-07-2021";56;548.9;0;0;0;0
"Altena";1959;"Altena";55967;"07-07-2021";"20-07-2021";210;375.2;0;0;0;0
"Ameland";60;"Ameland";3716;"07-07-2021";"20-07-2021";60;1614.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"07-07-2021";"20-07-2021";1114;708.3;0;0;0;0
"Amstelveen";362;"Amstelveen";91675;"07-07-2021";"20-07-2021";1008;1099.5;1;1.1;2;2.2
"Amsterdam";363;"Amsterdam";872757;"07-07-2021";"20-07-2021";13015;1491.3;15;1.7;1;0.1
"Apeldoorn";200;"Apeldoorn";163818;"07-07-2021";"20-07-2021";1062;648.3;2;1.2;0;0
"Arnhem";202;"Arnhem";161348;"07-07-2021";"20-07-2021";1062;658.2;2;1.2;0;0
"Assen";106;"Assen";68599;"07-07-2021";"20-07-2021";308;449;0;0;0;0
"Asten";743;"Asten";16721;"07-07-2021";"20-07-2021";105;628;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"07-07-2021";"20-07-2021";58;845.6;0;0;0;0
"Baarn";308;"Baarn";24868;"07-07-2021";"20-07-2021";152;611.2;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"07-07-2021";"20-07-2021";405;831.4;1;2.1;0;0
"Barneveld";203;"Barneveld";59082;"07-07-2021";"20-07-2021";210;355.4;0;0;0;0
"Beek";888;"Beek";15865;"07-07-2021";"20-07-2021";47;296.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"07-07-2021";"20-07-2021";78;217;0;0;0;0
"Beemster";370;"Beemster";10022;"07-07-2021";"20-07-2021";81;808.2;0;0;0;0
"Beesel";889;"Beesel";13482;"07-07-2021";"20-07-2021";35;259.6;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"07-07-2021";"20-07-2021";182;520.1;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"07-07-2021";"20-07-2021";71;381;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"07-07-2021";"20-07-2021";31;236.9;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"07-07-2021";"20-07-2021";194;650.2;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"07-07-2021";"20-07-2021";574;850.4;1;1.5;0;0
"Berkelland";1859;"Berkelland";43747;"07-07-2021";"20-07-2021";207;473.2;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"07-07-2021";"20-07-2021";115;368.1;0;0;0;0
"Best";753;"Best";29988;"07-07-2021";"20-07-2021";129;430.2;0;0;0;0
"Beuningen";209;"Beuningen";25890;"07-07-2021";"20-07-2021";205;791.8;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"07-07-2021";"20-07-2021";299;718.3;1;2.4;0;0
"Bladel";1728;"Bladel";20390;"07-07-2021";"20-07-2021";83;407.1;0;0;0;0
"Blaricum";376;"Blaricum";11540;"07-07-2021";"20-07-2021";92;797.2;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"07-07-2021";"20-07-2021";280;1187.9;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"07-07-2021";"20-07-2021";176;504.7;1;2.9;1;2.9
"Boekel";755;"Boekel";10785;"07-07-2021";"20-07-2021";32;296.7;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"07-07-2021";"20-07-2021";36;140.9;0;0;0;0
"Borne";147;"Borne";23312;"07-07-2021";"20-07-2021";132;566.2;0;0;0;0
"Borsele";654;"Borsele";22739;"07-07-2021";"20-07-2021";75;329.8;1;4.4;0;0
"Boxmeer";756;"Boxmeer";29365;"07-07-2021";"20-07-2021";130;442.7;0;0;0;0
"Boxtel";757;"Boxtel";32970;"07-07-2021";"20-07-2021";146;442.8;0;0;0;0
"Breda";758;"Breda";184069;"07-07-2021";"20-07-2021";2413;1310.9;0;0;0;0
"Brielle";501;"Brielle";17271;"07-07-2021";"20-07-2021";69;399.5;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"07-07-2021";"20-07-2021";145;402.2;0;0;0;0
"Brummen";213;"Brummen";20726;"07-07-2021";"20-07-2021";111;535.6;0;0;0;0
"Brunssum";899;"Brunssum";27821;"07-07-2021";"20-07-2021";47;168.9;0;0;0;0
"Bunnik";312;"Bunnik";15191;"07-07-2021";"20-07-2021";100;658.3;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"07-07-2021";"20-07-2021";67;306.4;0;0;0;0
"Buren";214;"Buren";26749;"07-07-2021";"20-07-2021";101;377.6;0;0;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"07-07-2021";"20-07-2021";535;797.1;1;1.5;0;0
"Castricum";383;"Castricum";35986;"07-07-2021";"20-07-2021";215;597.5;0;0;0;0
"Coevorden";109;"Coevorden";35297;"07-07-2021";"20-07-2021";103;291.8;0;0;0;0
"Cranendonck";1706;"Cranendonck";21138;"07-07-2021";"20-07-2021";111;525.1;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"07-07-2021";"20-07-2021";138;549.1;0;0;0;0
"Culemborg";216;"Culemborg";28955;"07-07-2021";"20-07-2021";163;562.9;0;0;0;0
"Dalfsen";148;"Dalfsen";28587;"07-07-2021";"20-07-2021";100;349.8;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"07-07-2021";"20-07-2021";30;158.5;0;0;0;0
"De Bilt";310;"De Bilt";43137;"07-07-2021";"20-07-2021";379;878.6;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"07-07-2021";"20-07-2021";330;640;0;0;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"07-07-2021";"20-07-2021";419;942.5;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"07-07-2021";"20-07-2021";66;271.3;0;0;0;0
"Delft";503;"Delft";103595;"07-07-2021";"20-07-2021";1288;1243.3;0;0;0;0
"Den Helder";400;"Den Helder";56296;"07-07-2021";"20-07-2021";164;291.3;0;0;0;0
"Deurne";762;"Deurne";32471;"07-07-2021";"20-07-2021";159;489.7;0;0;0;0
"Deventer";150;"Deventer";100719;"07-07-2021";"20-07-2021";863;856.8;0;0;0;0
"Diemen";384;"Diemen";30780;"07-07-2021";"20-07-2021";426;1384;1;3.2;1;3.2
"Dinkelland";1774;"Dinkelland";26461;"07-07-2021";"20-07-2021";286;1080.8;0;0;0;0
