"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"02-06-2021";"15-06-2021";17;66.8;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"02-06-2021";"15-06-2021";65;204;0;0;0;0
"Aalten";197;"Aalten";27121;"02-06-2021";"15-06-2021";17;62.7;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"02-06-2021";"15-06-2021";9;32.3;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20165;"02-06-2021";"15-06-2021";20;99.2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"02-06-2021";"15-06-2021";57;222.7;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109436;"02-06-2021";"15-06-2021";70;64;0;0;0;0
"Almelo";141;"Almelo";73107;"02-06-2021";"15-06-2021";97;132.7;2;2.7;0;0
"Almere";34;"Almere";211893;"02-06-2021";"15-06-2021";191;90.1;1;0.5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"02-06-2021";"15-06-2021";104;92.9;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"02-06-2021";"15-06-2021";8;78.4;0;0;0;0
"Altena";1959;"Altena";55967;"02-06-2021";"15-06-2021";50;89.3;0;0;0;0
"Ameland";60;"Ameland";3716;"02-06-2021";"15-06-2021";1;26.9;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"02-06-2021";"15-06-2021";265;168.5;1;0.6;2;1.3
"Amstelveen";362;"Amstelveen";91675;"02-06-2021";"15-06-2021";126;137.4;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"02-06-2021";"15-06-2021";1001;114.7;9;1;10;1.1
"Apeldoorn";200;"Apeldoorn";163818;"02-06-2021";"15-06-2021";163;99.5;2;1.2;0;0
"Arnhem";202;"Arnhem";161348;"02-06-2021";"15-06-2021";226;140.1;3;1.9;1;0.6
"Assen";106;"Assen";68599;"02-06-2021";"15-06-2021";81;118.1;0;0;0;0
"Asten";743;"Asten";16721;"02-06-2021";"15-06-2021";9;53.8;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"02-06-2021";"15-06-2021";2;29.2;0;0;0;0
"Baarn";308;"Baarn";24868;"02-06-2021";"15-06-2021";24;96.5;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"02-06-2021";"15-06-2021";63;129.3;0;0;0;0
"Barneveld";203;"Barneveld";59082;"02-06-2021";"15-06-2021";114;193;1;1.7;0;0
"Beek";888;"Beek";15865;"02-06-2021";"15-06-2021";41;258.4;1;6.3;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"02-06-2021";"15-06-2021";39;108.5;0;0;0;0
"Beemster";370;"Beemster";10022;"02-06-2021";"15-06-2021";12;119.7;1;10;0;0
"Beesel";889;"Beesel";13482;"02-06-2021";"15-06-2021";23;170.6;0;0;1;7.4
"Berg en Dal";1945;"Berg en Dal";34992;"02-06-2021";"15-06-2021";37;105.7;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"02-06-2021";"15-06-2021";15;80.5;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"02-06-2021";"15-06-2021";25;191.1;1;7.6;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"02-06-2021";"15-06-2021";34;113.9;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"02-06-2021";"15-06-2021";61;90.4;0;0;0;0
"Berkelland";1859;"Berkelland";43747;"02-06-2021";"15-06-2021";45;102.9;0;0;0;0
"Bernheze";1721;"Bernheze";31240;"02-06-2021";"15-06-2021";58;185.7;0;0;0;0
"Best";753;"Best";29988;"02-06-2021";"15-06-2021";52;173.4;1;3.3;0;0
"Beuningen";209;"Beuningen";25890;"02-06-2021";"15-06-2021";37;142.9;1;3.9;0;0
"Beverwijk";375;"Beverwijk";41626;"02-06-2021";"15-06-2021";51;122.5;0;0;0;0
"Bladel";1728;"Bladel";20390;"02-06-2021";"15-06-2021";19;93.2;0;0;0;0
"Blaricum";376;"Blaricum";11540;"02-06-2021";"15-06-2021";4;34.7;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"02-06-2021";"15-06-2021";42;178.2;0;0;0;0
