Category;Aantal
Aa en Hunze;
Aalsmeer;2.0
Aalten;
Achtkarspelen;
Alblasserdam;
Albrandswaard;1.0
Alkmaar;1.0
Almelo;1.0
Almere;1.0
Alphen aan den Rijn;2.0
Alphen-Chaam;
Altena;4.0
Ameland;
Amersfoort;2.0
Amstelveen;2.0
Amsterdam;8.0
Apeldoorn;1.0
Appingedam;
Arnhem;3.0
Assen;
Asten;
Baarle-Nassau;
Baarn;
Barendrecht;
Barneveld;
Beek;
Beekdaelen;8.0
Beemster;
Beesel;
Berg en Dal;3.0
Bergeijk;1.0
Bergen (L);
Bergen (NH);
Bergen op Zoom;1.0
Berkelland;
Bernheze;2.0
Best;3.0
Beuningen;3.0
Beverwijk;4.0
Bladel;
Blaricum;1.0
Bloemendaal;1.0
Bodegraven-Reeuwijk;
Boekel;7.0
Borger-Odoorn;
Borne;3.0
Borsele;1.0
Boxmeer;
Boxtel;
Breda;32.0
Brielle;
Bronckhorst;2.0
Brummen;
Brunssum;
Bunnik;
Bunschoten;
Buren;
Capelle aan den IJssel;
Castricum;
Coevorden;11.0
Cranendonck;1.0
Cuijk;1.0
Culemborg;1.0
Dalfsen;
Dantumadiel;
De Bilt;10.0
De Fryske Marren;
De Ronde Venen;
De Wolden;
Delft;1.0
Delfzijl;
Den Helder;1.0
Deurne;3.0
Deventer;
Diemen;2.0
Dinkelland;2.0
Doesburg;
Doetinchem;
Dongen;4.0
Dordrecht;
Drechterland;
Drimmelen;1.0
Dronten;
Druten;
Duiven;
Echt-Susteren;
Edam-Volendam;
Ede;
Eemnes;
Eersel;
Eijsden-Margraten;
Eindhoven;8.0
Elburg;
Emmen;1.0
Enkhuizen;
Enschede;1.0
Epe;
Ermelo;1.0
Etten-Leur;5.0
Geertruidenberg;1.0
Geldrop-Mierlo;
Gemert-Bakel;4.0
Gennep;
Gilze en Rijen;
Goeree-Overflakkee;
Goes;2.0
Goirle;6.0
Gooise Meren;3.0
Gorinchem;
Gouda;2.0
Grave;
Groningen;
Gulpen-Wittem;
Haaksbergen;
Haaren;6.0
Haarlem;1.0
Haarlemmermeer;
Halderberge;
Hardenberg;
Harderwijk;
Hardinxveld-Giessendam;5.0
Harlingen;
Hattem;
Heemskerk;
Heemstede;1.0
Heerde;
Heerenveen;
Heerhugowaard;
Heerlen;1.0
Heeze-Leende;1.0
Heiloo;
Hellendoorn;2.0
Hellevoetsluis;
Helmond;12.0
Hendrik-Ido-Ambacht;
Hengelo (O);
Het Hogeland;
Heumen;
Heusden;2.0
Hillegom;
Hilvarenbeek;1.0
Hilversum;
Hoeksche Waard;2.0
Hof van Twente;
Hollands Kroon;
Hoogeveen;
Hoorn;
Horst aan de Maas;
Houten;13.0
Huizen;2.0
Hulst;
IJsselstein;1.0
Kaag en Braassem;
Kampen;
Kapelle;
Katwijk;
Kerkrade;
Koggenland;
Krimpen aan den IJssel;
Krimpenerwaard;3.0
Laarbeek;
Landerd;2.0
Landgraaf;
Landsmeer;
Langedijk;1.0
Lansingerland;4.0
Laren;
Leeuwarden;
Leiden;1.0
Leiderdorp;
Leidschendam-Voorburg;2.0
Lelystad;1.0
Leudal;3.0
Leusden;
Lingewaard;2.0
Lisse;
Lochem;
Loon op Zand;7.0
Lopik;
Loppersum;
Losser;
Maasdriel;
Maasgouw;
Maassluis;
Maastricht;8.0
Medemblik;
Meerssen;
Meierijstad;13.0
Meppel;
Middelburg;
Midden-Delfland;
Midden-Drenthe;
Midden-Groningen;
Mill en Sint Hubert;
Moerdijk;
Molenlanden;
Montferland;
Montfoort;
Mook en Middelaar;
Neder-Betuwe;1.0
Nederweert;
Nieuwegein;
Nieuwkoop;
Nijkerk;
Nijmegen;4.0
Nissewaard;
Noardeast-Fryslân;
Noord-Beveland;
Noordenveld;
Noordoostpolder;
Noordwijk;2.0
Nuenen, Gerwen en Nederwetten;1.0
Nunspeet;
Oegstgeest;2.0
Oirschot;
Oisterwijk;4.0
Oldambt;
Oldebroek;
Oldenzaal;
Olst-Wijhe;
Ommen;
Oost Gelre;
Oosterhout;
Ooststellingwerf;
Oostzaan;
Opmeer;
Opsterland;2.0
Oss;2.0
Oude IJsselstreek;
Ouder-Amstel;
Oudewater;
Overbetuwe;
Papendrecht;
Peel en Maas;3.0
Pekela;
Pijnacker-Nootdorp;5.0
Purmerend;1.0
Putten;
Raalte;
Reimerswaal;
Renkum;7.0
Renswoude;
Reusel-De Mierden;
Rheden;1.0
Rhenen;
Ridderkerk;1.0
Rijssen-Holten;
Rijswijk;
Roerdalen;
Roermond;1.0
Roosendaal;1.0
Rotterdam;15.0
Rozendaal;
Rucphen;
Schagen;1.0
Scherpenzeel;
Schiedam;
Schiermonnikoog;
Schouwen-Duiveland;1.0
's-Gravenhage;7.0
's-Hertogenbosch;5.0
Simpelveld;2.0
Sint Anthonis;
Sint-Michielsgestel;5.0
Sittard-Geleen;20.0
Sliedrecht;
Sluis;
Smallingerland;1.0
Soest;8.0
Someren;
Son en Breugel;1.0
Stadskanaal;
Staphorst;
Stede Broec;
Steenbergen;
Steenwijkerland;
Stein;1.0
Stichtse Vecht;5.0
Súdwest-Fryslân;
Terneuzen;
Terschelling;
Texel;
Teylingen;
Tholen;
Tiel;1.0
Tilburg;42.0
Tubbergen;1.0
Twenterand;
Tynaarlo;
Tytsjerksteradiel;
Uden;18.0
Uitgeest;
Uithoorn;
Urk;
Utrecht;18.0
Utrechtse Heuvelrug;2.0
Vaals;
Valkenburg aan de Geul;
Valkenswaard;
Veendam;
Veenendaal;
Veere;2.0
Veldhoven;1.0
Velsen;
Venlo;1.0
Venray;
Vijfheerenlanden;1.0
Vlaardingen;
Vlieland;
Vlissingen;
Voerendaal;
Voorschoten;
Voorst;1.0
Vught;1.0
Waadhoeke;
Waalre;1.0
Waalwijk;6.0
Waddinxveen;1.0
Wageningen;
Wassenaar;
Waterland;1.0
Weert;
Weesp;
West Betuwe;2.0
West Maas en Waal;1.0
Westerkwartier;
Westerveld;
Westervoort;
Westerwolde;
Westland;
Weststellingwerf;
Westvoorne;1.0
Wierden;
Wijchen;1.0
Wijdemeren;
Wijk bij Duurstede;1.0
Winterswijk;
Woensdrecht;
Woerden;2.0
Wormerland;
Woudenberg;1.0
Zaanstad;2.0
Zaltbommel;1.0
Zandvoort;
Zeewolde;1.0
Zeist;3.0
Zevenaar;
Zoetermeer;
Zoeterwoude;
Zuidplas;
Zundert;2.0
Zutphen;
Zwartewaterland;
Zwijndrecht;
Zwolle;2.0
