"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"27-04-2022";"10-05-2022";630;114.9;9;1.6;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"27-04-2022";"10-05-2022";117;75.2;2;1.3;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"27-04-2022";"10-05-2022";15;59.1;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"27-04-2022";"10-05-2022";40;125;0;0;0;0
"Aalten";197;"Aalten";27120;"27-04-2022";"10-05-2022";44;162.2;4;14.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"27-04-2022";"10-05-2022";7;25.1;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"27-04-2022";"10-05-2022";22;109.3;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25814;"27-04-2022";"10-05-2022";35;135.6;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"27-04-2022";"10-05-2022";148;134.7;7;6.4;1;0.9
"Almelo";141;"Almelo";73132;"27-04-2022";"10-05-2022";76;103.9;1;1.4;0;0
"Almere";34;"Almere";214715;"27-04-2022";"10-05-2022";291;135.5;2;0.9;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"27-04-2022";"10-05-2022";129;114.6;2;1.8;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"27-04-2022";"10-05-2022";2;19.3;0;0;0;0
"Altena";1959;"Altena";56352;"27-04-2022";"10-05-2022";33;58.6;1;1.8;0;0
"Ameland";60;"Ameland";3746;"27-04-2022";"10-05-2022";1;26.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"27-04-2022";"10-05-2022";212;134.6;5;3.2;0;0
"Amstelveen";362;"Amstelveen";90829;"27-04-2022";"10-05-2022";149;164;1;1.1;0;0
"Amsterdam";363;"Amsterdam";893783;"27-04-2022";"10-05-2022";1663;186.1;20;2.2;1;0.1
"Apeldoorn";200;"Apeldoorn";164781;"27-04-2022";"10-05-2022";173;105;4;2.4;0;0
"Arnhem";202;"Arnhem";162424;"27-04-2022";"10-05-2022";183;112.7;1;0.6;0;0
"Assen";106;"Assen";68836;"27-04-2022";"10-05-2022";77;111.9;2;2.9;0;0
"Asten";743;"Asten";16817;"27-04-2022";"10-05-2022";9;53.5;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"27-04-2022";"10-05-2022";2;29;0;0;0;0
"Baarn";308;"Baarn";24792;"27-04-2022";"10-05-2022";30;121;3;12.1;0;0
"Barendrecht";489;"Barendrecht";48643;"27-04-2022";"10-05-2022";64;131.6;4;8.2;0;0
"Barneveld";203;"Barneveld";59992;"27-04-2022";"10-05-2022";49;81.7;3;5;0;0
"Beek";888;"Beek";15875;"27-04-2022";"10-05-2022";20;126;0;0;0;0
