"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";467;301.1;126;81.2;77;49.6
"Aa en Hunze";14;55;1;3.9;0;0
"Aalsmeer";39;122.4;9;28.3;3;9.4
"Aalten";57;210.2;9;33.2;7;25.8
"Achtkarspelen";11;39.5;0;0;0;0
"Alblasserdam";42;208.3;10;49.6;4;19.8
"Albrandswaard";97;379.1;14;54.7;8;31.3
"Alkmaar";243;222;54;49.3;29;26.5
"Almelo";92;125.9;23;31.5;9;12.3
"Almere";415;195.9;123;58.1;27;12.7
"Alphen aan den Rijn";197;176.1;59;52.7;24;21.4
"Alphen-Chaam";46;450.4;18;176.2;5;49
"Altena";123;219.7;31;55.4;11;19.6
"Ameland";0;0;0;0;0;0
"Amersfoort";209;132.9;59;37.5;23;14.6
"Amstelveen";307;334.8;56;61.1;35;38.2
"Amsterdam";2312;264.9;609;69.8;265;30.4
"Apeldoorn";388;236.8;89;54.3;49;29.9
"Appingedam";5;42.9;3;25.8;0;0
"Arnhem";305;189;66;40.9;26;16.1
"Assen";42;61.2;12;17.5;2;2.9
"Asten";73;436.2;18;107.6;12;71.7
"Baarle-Nassau";25;364.4;9;131.2;2;29.2
"Baarn";56;225.1;11;44.2;8;32.2
"Barendrecht";128;262.8;40;82.1;12;24.6
"Barneveld";124;209.9;18;30.5;6;10.2
"Beek";44;277.3;15;94.5;5;31.5
"Beekdaelen";166;461.4;51;141.8;22;61.2
"Beemster";11;109.7;4;39.9;1;10
"Beesel";41;304.1;20;148.3;8;59.3
"Berg en Dal";157;448.7;29;82.9;16;45.7
"Bergeijk";55;295.1;19;101.9;5;26.8
"Bergen (L.)";23;175.8;7;53.5;2;15.3
"Bergen (NH.)";85;284.8;16;53.6;3;10.1
"Bergen op Zoom";150;222.3;24;35.6;10;14.8
"Berkelland";84;192;12;27.4;7;16
"Bernheze";268;857.7;96;307.2;64;204.8
"Best";73;243.5;31;103.4;10;33.4
"Beuningen";70;270.4;19;73.4;5;19.3
"Beverwijk";77;185;15;36;10;24
"Bladel";66;323.6;21;103;8;39.2
"Blaricum";26;225.4;8;69.3;2;17.3
"Bloemendaal";49;207.9;7;29.7;5;21.2
"Bodegraven-Reeuwijk";57;163.5;7;20.1;1;2.9
"Boekel";89;825.3;35;324.6;21;194.7
"Borger-Odoorn";9;35.2;4;15.7;3;11.7
"Borne";50;214.5;14;60.1;6;25.7
"Borsele";27;118.7;5;22;0;0
"Boxmeer";116;394.9;19;64.7;27;91.9
"Boxtel";89;288.9;24;77.9;15;48.7
"Breda";473;256.7;144;78.1;61;33.1
"Brielle";32;185.2;11;63.7;0;0
"Bronckhorst";73;202.5;17;47.2;7;19.4
"Brummen";35;168.6;17;81.9;5;24.1
"Brunssum";100;359.5;42;151;15;53.9
"Bunnik";43;283.1;9;59.2;1;6.6
"Bunschoten";62;283.5;9;41.2;7;32
"Buren";48;179.5;16;59.8;7;26.2
"Capelle aan den IJssel";284;422.9;52;77.4;52;77.4
"Castricum";78;216.7;15;41.7;9;25
"Coevorden";57;161.5;13;36.8;2;5.7
"Cranendonck";166;784.3;63;297.6;36;170.1
"Cuijk";70;278.5;12;47.7;10;39.8
"Culemborg";61;210.7;21;72.5;7;24.2
"Dalfsen";77;269.4;16;56;6;21
"Dantumadiel";6;31.7;2;10.6;0;0
"De Bilt";169;391.9;25;58;21;48.7
"De Fryske Marren";65;126;16;31;5;9.7
"De Ronde Venen";95;213.7;39;87.7;11;24.7
"De Wolden";44;180.9;11;45.2;5;20.6
"Delft";138;133.1;38;36.7;12;11.6
"Delfzijl";17;68.9;6;24.3;0;0
"Den Helder";37;65.7;12;21.3;2;3.6
"Deurne";170;523.5;54;166.3;23;70.8
"Deventer";261;259.1;46;45.7;32;31.8
"Diemen";101;328.1;17;55.2;14;45.5
"Dinkelland";71;268.2;19;71.8;10;37.8
"Doesburg";32;288.9;9;81.2;6;54.2
"Doetinchem";98;168.9;26;44.8;15;25.9
"Dongen";77;293.6;20;76.3;12;45.8
"Dordrecht";439;368;83;69.6;40;33.5
"Drechterland";43;218.1;4;20.3;8;40.6
"Drimmelen";66;242;18;66;8;29.3
"Dronten";117;281.5;30;72.2;11;26.5
"Druten";112;592;25;132.1;8;42.3
"Duiven";47;187.1;14;55.7;6;23.9
"Echt-Susteren";91;287.8;39;123.3;15;47.4
"Edam-Volendam";109;301.1;24;66.3;3;8.3
"Ede";211;180.1;54;46.1;20;17.1
"Eemnes";17;183.8;2;21.6;1;10.8
"Eersel";67;346.9;26;134.6;10;51.8
"Eijsden-Margraten";165;640.7;54;209.7;27;104.8
"Eindhoven";494;210.7;178;75.9;82;35
