"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"22-02-2023";"07-03-2023";128;23,1;18;3,3
"'s-Hertogenbosch";156538;"22-02-2023";"07-03-2023";125;79,9;30;19,2
"Aa en Hunze";25579;"22-02-2023";"07-03-2023";4;15,6;1;3,9
"Aalsmeer";32452;"22-02-2023";"07-03-2023";12;37;1;3,1
"Aalten";27100;"22-02-2023";"07-03-2023";14;51,7;6;22,1
"Achtkarspelen";27954;"22-02-2023";"07-03-2023";2;7,2;0;0
"Alblasserdam";20087;"22-02-2023";"07-03-2023";8;39,8;1;5
"Albrandswaard";25934;"22-02-2023";"07-03-2023";16;61,7;2;7,7
"Alkmaar";110783;"22-02-2023";"07-03-2023";35;31,6;12;10,8
"Almelo";73155;"22-02-2023";"07-03-2023";21;28,7;6;8,2
"Almere";217828;"22-02-2023";"07-03-2023";49;22,5;1;0,5
"Alphen aan den Rijn";112926;"22-02-2023";"07-03-2023";32;28,3;6;5,3
"Alphen-Chaam";10425;"22-02-2023";"07-03-2023";1;9,6;1;9,6
"Altena";57009;"22-02-2023";"07-03-2023";10;17,5;4;7
"Ameland";3757;"22-02-2023";"07-03-2023";0;0;0;0
"Amersfoort";158590;"22-02-2023";"07-03-2023";36;22,7;0;0
"Amstelveen";92331;"22-02-2023";"07-03-2023";15;16,2;0;0
"Amsterdam";903399;"22-02-2023";"07-03-2023";315;34,9;29;3,2
"Apeldoorn";165611;"22-02-2023";"07-03-2023";64;38,6;8;4,8
"Arnhem";163888;"22-02-2023";"07-03-2023";112;68,3;15;9,2
"Assen";68979;"22-02-2023";"07-03-2023";17;24,6;0;0
"Asten";17068;"22-02-2023";"07-03-2023";7;41;5;29,3
"Baarle-Nassau";6931;"22-02-2023";"07-03-2023";2;28,9;1;14,4
"Baarn";24876;"22-02-2023";"07-03-2023";9;36,2;0;0
"Barendrecht";48714;"22-02-2023";"07-03-2023";6;12,3;1;2,1
"Barneveld";60584;"22-02-2023";"07-03-2023";31;51,2;2;3,3
"Beek";15817;"22-02-2023";"07-03-2023";6;37,9;1;6,3
"Beekdaelen";35922;"22-02-2023";"07-03-2023";14;39;1;2,8
"Beesel";13408;"22-02-2023";"07-03-2023";9;67,1;0;0
"Berg en Dal";34951;"22-02-2023";"07-03-2023";32;91,6;9;25,8
"Bergeijk";18879;"22-02-2023";"07-03-2023";12;63,6;2;10,6
"Bergen (L.)";13106;"22-02-2023";"07-03-2023";7;53,4;0;0
"Bergen (NH.)";29723;"22-02-2023";"07-03-2023";10;33,6;3;10,1
"Bergen op Zoom";67894;"22-02-2023";"07-03-2023";15;22,1;10;14,7
"Berkelland";43850;"22-02-2023";"07-03-2023";18;41;6;13,7
"Bernheze";31715;"22-02-2023";"07-03-2023";27;85,1;4;12,6
"Best";30608;"22-02-2023";"07-03-2023";10;32,7;0;0
"Beuningen";26235;"22-02-2023";"07-03-2023";30;114,4;6;22,9
"Beverwijk";42084;"22-02-2023";"07-03-2023";19;45,1;1;2,4
"Bladel";20718;"22-02-2023";"07-03-2023";11;53,1;0;0
"Blaricum";12359;"22-02-2023";"07-03-2023";2;16,2;0;0
"Bloemendaal";23732;"22-02-2023";"07-03-2023";4;16,9;1;4,2
"Bodegraven-Reeuwijk";35752;"22-02-2023";"07-03-2023";9;25,2;3;8,4
"Boekel";11030;"22-02-2023";"07-03-2023";3;27,2;1;9,1
"Borger-Odoorn";25681;"22-02-2023";"07-03-2023";4;15,6;0;0
"Borne";24007;"22-02-2023";"07-03-2023";9;37,5;0;0
"Borsele";22847;"22-02-2023";"07-03-2023";8;35;0;0
"Boxtel";33129;"22-02-2023";"07-03-2023";33;99,6;6;18,1
"Breda";184702;"22-02-2023";"07-03-2023";119;64,4;28;15,2
"Bronckhorst";36077;"22-02-2023";"07-03-2023";10;27,7;3;8,3
"Brummen";20890;"22-02-2023";"07-03-2023";8;38,3;5;23,9
"Brunssum";27674;"22-02-2023";"07-03-2023";18;65;3;10,8
"Bunnik";15590;"22-02-2023";"07-03-2023";0;0;0;0
"Bunschoten";22325;"22-02-2023";"07-03-2023";4;17,9;0;0
"Buren";27155;"22-02-2023";"07-03-2023";9;33,1;3;11
"Capelle aan den IJssel";67188;"22-02-2023";"07-03-2023";15;22,3;7;10,4
"Castricum";36263;"22-02-2023";"07-03-2023";9;24,8;3;8,3
"Coevorden";35517;"22-02-2023";"07-03-2023";7;19,7;2;5,6
"Cranendonck";20669;"22-02-2023";"07-03-2023";17;82,2;1;4,8
"Culemborg";29397;"22-02-2023";"07-03-2023";8;27,2;3;10,2
"Dalfsen";29162;"22-02-2023";"07-03-2023";9;30,9;2;6,9
"Dantumadiel";18957;"22-02-2023";"07-03-2023";3;15,8;2;10,6
"De Bilt";43508;"22-02-2023";"07-03-2023";16;36,8;7;16,1
"De Fryske Marren";51597;"22-02-2023";"07-03-2023";11;21,3;4;7,8
"De Ronde Venen";44955;"22-02-2023";"07-03-2023";5;11,1;1;2,2
"De Wolden";24511;"22-02-2023";"07-03-2023";9;36,7;2;8,2
"Delft";104572;"22-02-2023";"07-03-2023";46;44;11;10,5
"Den Helder";56334;"22-02-2023";"07-03-2023";33;58,6;6;10,7
"Deurne";32606;"22-02-2023";"07-03-2023";17;52,1;14;42,9
"Deventer";101446;"22-02-2023";"07-03-2023";26;25,6;5;4,9
"Diemen";31822;"22-02-2023";"07-03-2023";12;37,7;0;0
"Dijk en Waard";87695;"22-02-2023";"07-03-2023";14;16;2;2,3
"Dinkelland";26594;"22-02-2023";"07-03-2023";8;30,1;2;7,5
"Doesburg";11036;"22-02-2023";"07-03-2023";5;45,3;0;0
"Doetinchem";58546;"22-02-2023";"07-03-2023";50;85,4;5;8,5
"Dongen";26483;"22-02-2023";"07-03-2023";15;56,6;3;11,3
"Dordrecht";119537;"22-02-2023";"07-03-2023";76;63,6;8;6,7
"Drechterland";19983;"22-02-2023";"07-03-2023";3;15;0;0
"Drimmelen";27476;"22-02-2023";"07-03-2023";15;54,6;5;18,2
"Dronten";42865;"22-02-2023";"07-03-2023";14;32,7;1;2,3
"Druten";19178;"22-02-2023";"07-03-2023";14;73;6;31,3
"Duiven";24946;"22-02-2023";"07-03-2023";13;52,1;1;4
"Echt-Susteren";31731;"22-02-2023";"07-03-2023";19;59,9;2;6,3
"Edam-Volendam";36471;"22-02-2023";"07-03-2023";7;19,2;2;5,5
"Ede";119986;"22-02-2023";"07-03-2023";48;40;2;1,7
"Eemnes";9450;"22-02-2023";"07-03-2023";0;0;0;0
"Eemsdelta";45389;"22-02-2023";"07-03-2023";11;24,2;0;0
"Eersel";19823;"22-02-2023";"07-03-2023";10;50,4;2;10,1
"Eijsden-Margraten";25857;"22-02-2023";"07-03-2023";13;50,3;0;0
"Eindhoven";238326;"22-02-2023";"07-03-2023";134;56,2;7;2,9
"Elburg";23740;"22-02-2023";"07-03-2023";6;25,3;3;12,6
"Emmen";107856;"22-02-2023";"07-03-2023";66;61,2;10;9,3
"Enkhuizen";18620;"22-02-2023";"07-03-2023";1;5,4;0;0
"Enschede";160640;"22-02-2023";"07-03-2023";65;40,5;19;11,8
"Epe";33257;"22-02-2023";"07-03-2023";18;54,1;5;15
"Ermelo";27258;"22-02-2023";"07-03-2023";13;47,7;4;14,7
"Etten-Leur";44152;"22-02-2023";"07-03-2023";32;72,5;13;29,4
"Geertruidenberg";21944;"22-02-2023";"07-03-2023";9;41;2;9,1
"Geldrop-Mierlo";40131;"22-02-2023";"07-03-2023";26;64,8;11;27,4
"Gemert-Bakel";31040;"22-02-2023";"07-03-2023";19;61,2;4;12,9
"Gennep";17237;"22-02-2023";"07-03-2023";16;92,8;1;5,8
"Gilze en Rijen";26557;"22-02-2023";"07-03-2023";14;52,7;2;7,5
"Goeree-Overflakkee";51051;"22-02-2023";"07-03-2023";15;29,4;4;7,8
"Goes";38950;"22-02-2023";"07-03-2023";24;61,6;4;10,3
"Goirle";23979;"22-02-2023";"07-03-2023";17;70,9;2;8,3
"Gooise Meren";58846;"22-02-2023";"07-03-2023";20;34;0;0
"Gorinchem";37632;"22-02-2023";"07-03-2023";17;45,2;0;0
"Gouda";74095;"22-02-2023";"07-03-2023";30;40,5;5;6,7
"Groningen";234950;"22-02-2023";"07-03-2023";60;25,5;12;5,1
"Gulpen-Wittem";14178;"22-02-2023";"07-03-2023";8;56,4;0;0
"Haaksbergen";24268;"22-02-2023";"07-03-2023";5;20,6;3;12,4
"Haarlem";162898;"22-02-2023";"07-03-2023";53;32,5;2;1,2
"Haarlemmermeer";159336;"22-02-2023";"07-03-2023";85;53,3;4;2,5
