"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"22-12-2021";"04-01-2022";5578;1017.3;64;11.7;3;0.5
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"22-12-2021";"04-01-2022";1848;1188.5;11;7.1;3;1.9
"Aa en Hunze";1680;"Aa en Hunze";25399;"22-12-2021";"04-01-2022";285;1122.1;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"22-12-2021";"04-01-2022";499;1559.8;0;0;1;3.1
"Aalten";197;"Aalten";27120;"22-12-2021";"04-01-2022";156;575.2;4;14.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"22-12-2021";"04-01-2022";271;971.3;4;14.3;1;3.6
"Alblasserdam";482;"Alblasserdam";20136;"22-12-2021";"04-01-2022";137;680.4;4;19.9;0;0
"Albrandswaard";613;"Albrandswaard";25814;"22-12-2021";"04-01-2022";299;1158.3;4;15.5;0;0
"Alkmaar";361;"Alkmaar";109896;"22-12-2021";"04-01-2022";1085;987.3;16;14.6;5;4.5
"Almelo";141;"Almelo";73132;"22-12-2021";"04-01-2022";656;897;5;6.8;0;0
"Almere";34;"Almere";214715;"22-12-2021";"04-01-2022";2692;1253.8;32;14.9;2;0.9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"22-12-2021";"04-01-2022";1293;1148.4;8;7.1;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"22-12-2021";"04-01-2022";105;1012.2;0;0;0;0
"Altena";1959;"Altena";56352;"22-12-2021";"04-01-2022";498;883.7;6;10.6;0;0
"Ameland";60;"Ameland";3746;"22-12-2021";"04-01-2022";14;373.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"22-12-2021";"04-01-2022";1696;1077.1;15;9.5;2;1.3
"Amstelveen";362;"Amstelveen";90829;"22-12-2021";"04-01-2022";1160;1277.1;5;5.5;2;2.2
"Amsterdam";363;"Amsterdam";873338;"22-12-2021";"04-01-2022";13173;1508.4;80;9.2;15;1.7
"Apeldoorn";200;"Apeldoorn";164781;"22-12-2021";"04-01-2022";1618;981.9;17;10.3;2;1.2
"Arnhem";202;"Arnhem";162424;"22-12-2021";"04-01-2022";1690;1040.5;8;4.9;1;0.6
"Assen";106;"Assen";68836;"22-12-2021";"04-01-2022";493;716.2;2;2.9;0;0
"Asten";743;"Asten";16817;"22-12-2021";"04-01-2022";230;1367.7;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"22-12-2021";"04-01-2022";67;971.2;0;0;0;0
"Baarn";308;"Baarn";24792;"22-12-2021";"04-01-2022";223;899.5;2;8.1;0;0
"Barendrecht";489;"Barendrecht";48643;"22-12-2021";"04-01-2022";535;1099.8;2;4.1;0;0
"Barneveld";203;"Barneveld";59992;"22-12-2021";"04-01-2022";553;921.8;3;5;2;3.3
"Beek";888;"Beek";15875;"22-12-2021";"04-01-2022";140;881.9;3;18.9;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"22-12-2021";"04-01-2022";381;1056.4;3;8.3;0;0
"Beemster";370;"Beemster";10110;"22-12-2021";"04-01-2022";147;1454;2;19.8;0;0
"Beesel";889;"Beesel";13450;"22-12-2021";"04-01-2022";79;587.4;3;22.3;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"22-12-2021";"04-01-2022";278;794.1;4;11.4;1;2.9
"Bergeijk";1724;"Bergeijk";18754;"22-12-2021";"04-01-2022";202;1077.1;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"22-12-2021";"04-01-2022";88;671.3;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"22-12-2021";"04-01-2022";409;1376.4;1;3.4;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"22-12-2021";"04-01-2022";677;1002.8;5;7.4;0;0
"Berkelland";1859;"Berkelland";43846;"22-12-2021";"04-01-2022";320;729.8;2;4.6;0;0
"Bernheze";1721;"Bernheze";31455;"22-12-2021";"04-01-2022";354;1125.4;1;3.2;0;0
"Best";753;"Best";30216;"22-12-2021";"04-01-2022";391;1294;5;16.5;1;3.3
"Beuningen";209;"Beuningen";26157;"22-12-2021";"04-01-2022";237;906.1;4;15.3;0;0
"Beverwijk";375;"Beverwijk";41863;"22-12-2021";"04-01-2022";539;1287.5;1;2.4;1;2.4
"Bladel";1728;"Bladel";20529;"22-12-2021";"04-01-2022";224;1091.1;0;0;0;0
"Blaricum";376;"Blaricum";11954;"22-12-2021";"04-01-2022";181;1514.1;2;16.7;1;8.4
"Bloemendaal";377;"Bloemendaal";23478;"22-12-2021";"04-01-2022";296;1260.8;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"22-12-2021";"04-01-2022";428;1213.2;8;22.7;0;0
"Boekel";755;"Boekel";10959;"22-12-2021";"04-01-2022";177;1615.1;1;9.1;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"22-12-2021";"04-01-2022";220;859.4;1;3.9;1;3.9
"Borne";147;"Borne";23668;"22-12-2021";"04-01-2022";220;929.5;0;0;0;0
