"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"09-03-2022";"22-03-2022";15614;2847.6;60;10.9;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"09-03-2022";"22-03-2022";6232;4008;31;19.9;4;2.6
"Aa en Hunze";1680;"Aa en Hunze";25399;"09-03-2022";"22-03-2022";1257;4949;8;31.5;0;0
"Aalsmeer";358;"Aalsmeer";31991;"09-03-2022";"22-03-2022";1328;4151.2;4;12.5;0;0
"Aalten";197;"Aalten";27120;"09-03-2022";"22-03-2022";1644;6061.9;8;29.5;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"09-03-2022";"22-03-2022";986;3534.1;3;10.8;0;0
"Alblasserdam";482;"Alblasserdam";20136;"09-03-2022";"22-03-2022";406;2016.3;3;14.9;0;0
"Albrandswaard";613;"Albrandswaard";25814;"09-03-2022";"22-03-2022";860;3331.5;2;7.7;0;0
"Alkmaar";361;"Alkmaar";109896;"09-03-2022";"22-03-2022";3781;3440.5;19;17.3;0;0
"Almelo";141;"Almelo";73132;"09-03-2022";"22-03-2022";2947;4029.7;9;12.3;0;0
"Almere";34;"Almere";214715;"09-03-2022";"22-03-2022";6504;3029.1;13;6.1;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"09-03-2022";"22-03-2022";4252;3776.6;11;9.8;2;1.8
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"09-03-2022";"22-03-2022";320;3084.9;2;19.3;0;0
"Altena";1959;"Altena";56352;"09-03-2022";"22-03-2022";1606;2849.9;11;19.5;0;0
"Ameland";60;"Ameland";3746;"09-03-2022";"22-03-2022";148;3950.9;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"09-03-2022";"22-03-2022";6031;3830.1;26;16.5;0;0
"Amstelveen";362;"Amstelveen";90829;"09-03-2022";"22-03-2022";3019;3323.8;6;6.6;1;1.1
"Amsterdam";363;"Amsterdam";873338;"09-03-2022";"22-03-2022";27076;3100.3;66;7.6;9;1
"Apeldoorn";200;"Apeldoorn";164781;"09-03-2022";"22-03-2022";7619;4623.7;33;20;5;3
"Arnhem";202;"Arnhem";162424;"09-03-2022";"22-03-2022";7448;4585.5;19;11.7;2;1.2
"Assen";106;"Assen";68836;"09-03-2022";"22-03-2022";4022;5842.9;7;10.2;0;0
"Asten";743;"Asten";16817;"09-03-2022";"22-03-2022";715;4251.7;5;29.7;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"09-03-2022";"22-03-2022";202;2928;3;43.5;0;0
"Baarn";308;"Baarn";24792;"09-03-2022";"22-03-2022";744;3001;2;8.1;0;0
"Barendrecht";489;"Barendrecht";48643;"09-03-2022";"22-03-2022";1514;3112.5;5;10.3;0;0
"Barneveld";203;"Barneveld";59992;"09-03-2022";"22-03-2022";1909;3182.1;7;11.7;0;0
"Beek";888;"Beek";15875;"09-03-2022";"22-03-2022";772;4863;3;18.9;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"09-03-2022";"22-03-2022";1594;4419.8;9;25;0;0
"Beesel";889;"Beesel";13450;"09-03-2022";"22-03-2022";587;4364.3;4;29.7;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"09-03-2022";"22-03-2022";1496;4273.1;11;31.4;3;8.6
"Bergeijk";1724;"Bergeijk";18754;"09-03-2022";"22-03-2022";862;4596.4;2;10.7;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"09-03-2022";"22-03-2022";523;3989.9;6;45.8;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"09-03-2022";"22-03-2022";883;2971.6;8;26.9;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"09-03-2022";"22-03-2022";2225;3295.6;10;14.8;0;0
"Berkelland";1859;"Berkelland";43846;"09-03-2022";"22-03-2022";1952;4451.9;11;25.1;0;0
"Bernheze";1721;"Bernheze";31455;"09-03-2022";"22-03-2022";1332;4234.6;4;12.7;0;0
"Best";753;"Best";30216;"09-03-2022";"22-03-2022";1171;3875.4;7;23.2;0;0
"Beuningen";209;"Beuningen";26157;"09-03-2022";"22-03-2022";1157;4423.3;9;34.4;0;0
"Beverwijk";375;"Beverwijk";41863;"09-03-2022";"22-03-2022";1493;3566.4;2;4.8;0;0
"Bladel";1728;"Bladel";20529;"09-03-2022";"22-03-2022";1002;4880.9;0;0;0;0
"Blaricum";376;"Blaricum";11954;"09-03-2022";"22-03-2022";428;3580.4;1;8.4;0;0
"Bloemendaal";377;"Bloemendaal";23478;"09-03-2022";"22-03-2022";910;3876;3;12.8;1;4.3
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"09-03-2022";"22-03-2022";1115;3160.6;5;14.2;0;0
"Boekel";755;"Boekel";10959;"09-03-2022";"22-03-2022";441;4024.1;3;27.4;1;9.1
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"09-03-2022";"22-03-2022";1198;4680.1;9;35.2;0;0
"Borne";147;"Borne";23668;"09-03-2022";"22-03-2022";1145;4837.8;8;33.8;0;0
"Borsele";654;"Borsele";22818;"09-03-2022";"22-03-2022";807;3536.7;3;13.1;0;0
"Boxtel";757;"Boxtel";32973;"09-03-2022";"22-03-2022";1239;3757.6;9;27.3;0;0
"Breda";758;"Breda";184126;"09-03-2022";"22-03-2022";6368;3458.5;27;14.7;1;0.5
"Brielle";501;"Brielle";17439;"09-03-2022";"22-03-2022";655;3755.9;6;34.4;0;0
