"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"24-02-2021";"09-03-2021";57;224;0;0;1;3.9
"Aalsmeer";358;"Aalsmeer";31859;"24-02-2021";"09-03-2021";90;282.5;1;3.1;1;3.1
"Aalten";197;"Aalten";27121;"24-02-2021";"09-03-2021";95;350.3;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"24-02-2021";"09-03-2021";107;384.3;2;7.2;2;7.2
"Alblasserdam";482;"Alblasserdam";20165;"24-02-2021";"09-03-2021";102;505.8;0;0;1;5
"Albrandswaard";613;"Albrandswaard";25590;"24-02-2021";"09-03-2021";78;304.8;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"24-02-2021";"09-03-2021";547;499.8;3;2.7;1;0.9
"Almelo";141;"Almelo";73107;"24-02-2021";"09-03-2021";214;292.7;1;1.4;1;1.4
"Almere";34;"Almere";211893;"24-02-2021";"09-03-2021";564;266.2;5;2.4;8;3.8
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"24-02-2021";"09-03-2021";439;392.3;1;0.9;4;3.6
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"24-02-2021";"09-03-2021";17;166.6;0;0;0;0
"Altena";1959;"Altena";55967;"24-02-2021";"09-03-2021";160;285.9;0;0;0;0
"Ameland";60;"Ameland";3716;"24-02-2021";"09-03-2021";4;107.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"24-02-2021";"09-03-2021";418;265.8;4;2.5;6;3.8
"Amstelveen";362;"Amstelveen";91675;"24-02-2021";"09-03-2021";231;252;2;2.2;0;0
"Amsterdam";363;"Amsterdam";872757;"24-02-2021";"09-03-2021";2830;324.3;36;4.1;9;1
"Apeldoorn";200;"Apeldoorn";163818;"24-02-2021";"09-03-2021";432;263.7;4;2.4;0;0
"Arnhem";202;"Arnhem";161348;"24-02-2021";"09-03-2021";337;208.9;3;1.9;1;0.6
"Assen";106;"Assen";68599;"24-02-2021";"09-03-2021";145;211.4;1;1.5;0;0
"Asten";743;"Asten";16721;"24-02-2021";"09-03-2021";54;322.9;1;6;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"24-02-2021";"09-03-2021";16;233.3;0;0;0;0
"Baarn";308;"Baarn";24868;"24-02-2021";"09-03-2021";67;269.4;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"24-02-2021";"09-03-2021";147;301.8;1;2.1;5;10.3
"Barneveld";203;"Barneveld";59082;"24-02-2021";"09-03-2021";136;230.2;0;0;1;1.7
"Beek";888;"Beek";15865;"24-02-2021";"09-03-2021";17;107.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"24-02-2021";"09-03-2021";102;283.8;2;5.6;0;0
"Beemster";370;"Beemster";10022;"24-02-2021";"09-03-2021";134;1337.1;0;0;0;0
"Beesel";889;"Beesel";13482;"24-02-2021";"09-03-2021";32;237.4;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"24-02-2021";"09-03-2021";82;234.3;1;2.9;0;0
"Bergeijk";1724;"Bergeijk";18635;"24-02-2021";"09-03-2021";49;262.9;0;0;1;5.4
"Bergen (L.)";893;"Bergen (L.)";13085;"24-02-2021";"09-03-2021";31;236.9;1;7.6;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"24-02-2021";"09-03-2021";169;566.4;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"24-02-2021";"09-03-2021";162;240;1;1.5;0;0
"Berkelland";1859;"Berkelland";43747;"24-02-2021";"09-03-2021";83;189.7;0;0;1;2.3
"Bernheze";1721;"Bernheze";31240;"24-02-2021";"09-03-2021";121;387.3;0;0;2;6.4
"Best";753;"Best";29988;"24-02-2021";"09-03-2021";124;413.5;1;3.3;0;0
"Beuningen";209;"Beuningen";25890;"24-02-2021";"09-03-2021";74;285.8;0;0;0;0
"Beverwijk";375;"Beverwijk";41626;"24-02-2021";"09-03-2021";329;790.4;0;0;3;7.2
"Bladel";1728;"Bladel";20390;"24-02-2021";"09-03-2021";107;524.8;0;0;1;4.9
"Blaricum";376;"Blaricum";11540;"24-02-2021";"09-03-2021";50;433.3;0;0;1;8.7
"Bloemendaal";377;"Bloemendaal";23571;"24-02-2021";"09-03-2021";60;254.6;0;0;1;4.2
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"24-02-2021";"09-03-2021";174;499;4;11.5;1;2.9
"Boekel";755;"Boekel";10785;"24-02-2021";"09-03-2021";18;166.9;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"24-02-2021";"09-03-2021";47;183.9;3;11.7;2;7.8
"Borne";147;"Borne";23312;"24-02-2021";"09-03-2021";56;240.2;0;0;0;0
"Borsele";654;"Borsele";22739;"24-02-2021";"09-03-2021";27;118.7;0;0;0;0
"Boxmeer";756;"Boxmeer";29365;"24-02-2021";"09-03-2021";78;265.6;0;0;0;0
"Boxtel";757;"Boxtel";32970;"24-02-2021";"09-03-2021";134;406.4;0;0;1;3
"Breda";758;"Breda";184069;"24-02-2021";"09-03-2021";360;195.6;2;1.1;0;0
"Brielle";501;"Brielle";17271;"24-02-2021";"09-03-2021";42;243.2;1;5.8;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"24-02-2021";"09-03-2021";93;257.9;1;2.8;1;2.8
"Brummen";213;"Brummen";20726;"24-02-2021";"09-03-2021";47;226.8;1;4.8;0;0
"Brunssum";899;"Brunssum";27821;"24-02-2021";"09-03-2021";59;212.1;0;0;1;3.6
"Bunnik";312;"Bunnik";15191;"24-02-2021";"09-03-2021";42;276.5;1;6.6;0;0
