"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"12-10-2022";"25-10-2022";879;158,8;37;6,7;3;0,5
"'s-Hertogenbosch";156538;"12-10-2022";"25-10-2022";306;195,5;4;2,6;0;0
"Aa en Hunze";25579;"12-10-2022";"25-10-2022";47;183,7;0;0;0;0
"Aalsmeer";32452;"12-10-2022";"25-10-2022";58;178,7;2;6,2;0;0
"Aalten";27100;"12-10-2022";"25-10-2022";60;221,4;1;3,7;0;0
"Achtkarspelen";27954;"12-10-2022";"25-10-2022";31;110,9;3;10,7;0;0
"Alblasserdam";20087;"12-10-2022";"25-10-2022";31;154,3;2;10;0;0
"Albrandswaard";25934;"12-10-2022";"25-10-2022";47;181,2;2;7,7;0;0
"Alkmaar";110783;"12-10-2022";"25-10-2022";218;196,8;14;12,6;0;0
"Almelo";73155;"12-10-2022";"25-10-2022";116;158,6;7;9,6;0;0
"Almere";217828;"12-10-2022";"25-10-2022";319;146,4;16;7,3;0;0
"Alphen aan den Rijn";112926;"12-10-2022";"25-10-2022";248;219,6;8;7,1;2;1,8
"Alphen-Chaam";10425;"12-10-2022";"25-10-2022";27;259;1;9,6;0;0
"Altena";57009;"12-10-2022";"25-10-2022";72;126,3;5;8,8;0;0
"Ameland";3757;"12-10-2022";"25-10-2022";1;26,6;0;0;0;0
"Amersfoort";158590;"12-10-2022";"25-10-2022";392;247,2;16;10,1;1;0,6
"Amstelveen";92331;"12-10-2022";"25-10-2022";177;191,7;2;2,2;0;0
"Amsterdam";903399;"12-10-2022";"25-10-2022";1410;156,1;42;4,6;2;0,2
"Apeldoorn";165611;"12-10-2022";"25-10-2022";497;300,1;12;7,2;2;1,2
"Arnhem";163888;"12-10-2022";"25-10-2022";367;223,9;2;1,2;1;0,6
"Assen";68979;"12-10-2022";"25-10-2022";148;214,6;2;2,9;0;0
"Asten";17068;"12-10-2022";"25-10-2022";29;169,9;2;11,7;0;0
"Baarle-Nassau";6931;"12-10-2022";"25-10-2022";14;202;1;14,4;0;0
"Baarn";24876;"12-10-2022";"25-10-2022";66;265,3;3;12,1;0;0
"Barendrecht";48714;"12-10-2022";"25-10-2022";125;256,6;5;10,3;0;0
"Barneveld";60584;"12-10-2022";"25-10-2022";114;188,2;8;13,2;0;0
"Beek";15817;"12-10-2022";"25-10-2022";60;379,3;1;6,3;0;0
"Beekdaelen";35922;"12-10-2022";"25-10-2022";113;314,6;0;0;0;0
"Beesel";13408;"12-10-2022";"25-10-2022";38;283,4;0;0;0;0
"Berg en Dal";34951;"12-10-2022";"25-10-2022";89;254,6;2;5,7;1;2,9
"Bergeijk";18879;"12-10-2022";"25-10-2022";34;180,1;3;15,9;0;0
"Bergen (L.)";13106;"12-10-2022";"25-10-2022";29;221,3;1;7,6;0;0
"Bergen (NH.)";29723;"12-10-2022";"25-10-2022";73;245,6;5;16,8;0;0
"Bergen op Zoom";67894;"12-10-2022";"25-10-2022";133;195,9;6;8,8;0;0
"Berkelland";43850;"12-10-2022";"25-10-2022";62;141,4;1;2,3;0;0
