"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"11-05-2022";"24-05-2022";490;89.4;13;2.4;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"11-05-2022";"24-05-2022";77;49.5;3;1.9;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"11-05-2022";"24-05-2022";6;23.6;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"11-05-2022";"24-05-2022";24;75;1;3.1;0;0
"Aalten";197;"Aalten";27120;"11-05-2022";"24-05-2022";28;103.2;3;11.1;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"11-05-2022";"24-05-2022";13;46.6;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"11-05-2022";"24-05-2022";16;79.5;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"11-05-2022";"24-05-2022";25;96.8;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"11-05-2022";"24-05-2022";100;91;1;0.9;0;0
"Almelo";141;"Almelo";73132;"11-05-2022";"24-05-2022";46;62.9;0;0;0;0
"Almere";34;"Almere";214715;"11-05-2022";"24-05-2022";259;120.6;2;0.9;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"11-05-2022";"24-05-2022";122;108.4;2;1.8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"11-05-2022";"24-05-2022";1;9.6;0;0;0;0
"Altena";1959;"Altena";56352;"11-05-2022";"24-05-2022";17;30.2;0;0;0;0
"Ameland";60;"Ameland";3746;"11-05-2022";"24-05-2022";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"11-05-2022";"24-05-2022";155;98.4;5;3.2;0;0
"Amstelveen";362;"Amstelveen";90829;"11-05-2022";"24-05-2022";111;122.2;0;0;0;0
"Amsterdam";363;"Amsterdam";893783;"11-05-2022";"24-05-2022";1261;141.1;11;1.2;3;0.3
"Apeldoorn";200;"Apeldoorn";164781;"11-05-2022";"24-05-2022";89;54;0;0;0;0
"Arnhem";202;"Arnhem";162424;"11-05-2022";"24-05-2022";127;78.2;1;0.6;0;0
"Assen";106;"Assen";68836;"11-05-2022";"24-05-2022";69;100.2;1;1.5;0;0
"Asten";743;"Asten";16817;"11-05-2022";"24-05-2022";9;53.5;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"11-05-2022";"24-05-2022";3;43.5;0;0;0;0
