"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-05-01";"2023-05-07";4;0,7;
"'s-Hertogenbosch";156538;"2023-05-01";"2023-05-07";1;0,6;75,57
"Aa en Hunze";25579;"2023-05-01";"2023-05-07";1;3,9;416,13
"Aalsmeer";32452;"2023-05-01";"2023-05-07";0;0;
"Aalten";27100;"2023-05-01";"2023-05-07";2;7,4;224,23
"Achtkarspelen";27954;"2023-05-01";"2023-05-07";0;0;755,5
"Alblasserdam";20087;"2023-05-01";"2023-05-07";0;0;183,8
"Albrandswaard";25934;"2023-05-01";"2023-05-07";2;7,7;
"Alkmaar";110783;"2023-05-01";"2023-05-07";0;0;416,71
"Almelo";73155;"2023-05-01";"2023-05-07";0;0;364,3
"Almere";217828;"2023-05-01";"2023-05-07";0;0;1211,12
"Alphen aan den Rijn";112926;"2023-05-01";"2023-05-07";3;2,7;
"Alphen-Chaam";10425;"2023-05-01";"2023-05-07";0;0;
"Altena";57009;"2023-05-01";"2023-05-07";0;0;
"Ameland";3757;"2023-05-01";"2023-05-07";0;0;
"Amersfoort";158590;"2023-05-01";"2023-05-07";0;0;745,87
"Amstelveen";92331;"2023-05-01";"2023-05-07";0;0;917,3
"Amsterdam";903399;"2023-05-01";"2023-05-07";3;0,3;917,22
"Apeldoorn";165611;"2023-05-01";"2023-05-07";4;2,4;635,85
"Arnhem";163888;"2023-05-01";"2023-05-07";0;0;321,6
"Assen";68979;"2023-05-01";"2023-05-07";1;1,4;429,96
"Asten";17068;"2023-05-01";"2023-05-07";0;0;46,65
"Baarle-Nassau";6931;"2023-05-01";"2023-05-07";0;0;134,62
"Baarn";24876;"2023-05-01";"2023-05-07";0;0;429,27
"Barendrecht";48714;"2023-05-01";"2023-05-07";0;0;
"Barneveld";60584;"2023-05-01";"2023-05-07";0;0;371,66
"Beek";15817;"2023-05-01";"2023-05-07";0;0;526,71
"Beekdaelen";35922;"2023-05-01";"2023-05-07";2;5,6;443,56
"Beesel";13408;"2023-05-01";"2023-05-07";0;0;112,26
"Berg en Dal";34951;"2023-05-01";"2023-05-07";0;0;302,97
"Bergeijk";18879;"2023-05-01";"2023-05-07";0;0;
"Bergen (L.)";13106;"2023-05-01";"2023-05-07";0;0;242,7
"Bergen (NH.)";29723;"2023-05-01";"2023-05-07";0;0;396,69
"Bergen op Zoom";67894;"2023-05-01";"2023-05-07";0;0;
"Berkelland";43850;"2023-05-01";"2023-05-07";0;0;138,41
"Bernheze";31715;"2023-05-01";"2023-05-07";0;0;263,69
"Best";30608;"2023-05-01";"2023-05-07";0;0;254,83
"Beuningen";26235;"2023-05-01";"2023-05-07";2;7,6;198,56
"Beverwijk";42084;"2023-05-01";"2023-05-07";0;0;373,33
"Bladel";20718;"2023-05-01";"2023-05-07";0;0;
"Blaricum";12359;"2023-05-01";"2023-05-07";0;0;317,06
"Bloemendaal";23732;"2023-05-01";"2023-05-07";0;0;
"Bodegraven-Reeuwijk";35752;"2023-05-01";"2023-05-07";2;5,6;
"Boekel";11030;"2023-05-01";"2023-05-07";0;0;28,73
"Borger-Odoorn";25681;"2023-05-01";"2023-05-07";0;0;413,58
"Borne";24007;"2023-05-01";"2023-05-07";0;0;283,66
"Borsele";22847;"2023-05-01";"2023-05-07";0;0;1090,28
"Boxtel";33129;"2023-05-01";"2023-05-07";0;0;
"Breda";184702;"2023-05-01";"2023-05-07";2;1,1;
"Bronckhorst";36077;"2023-05-01";"2023-05-07";0;0;612,3
"Brummen";20890;"2023-05-01";"2023-05-07";1;4,8;411,79
"Brunssum";27674;"2023-05-01";"2023-05-07";0;0;257,13
"Bunnik";15590;"2023-05-01";"2023-05-07";0;0;450,38
"Bunschoten";22325;"2023-05-01";"2023-05-07";1;4,5;745,87
"Buren";27155;"2023-05-01";"2023-05-07";1;3,7;389,39
"Capelle aan den IJssel";67188;"2023-05-01";"2023-05-07";0;0;185,03
"Castricum";36263;"2023-05-01";"2023-05-07";0;0;373,33
"Coevorden";35517;"2023-05-01";"2023-05-07";0;0;696,35
"Cranendonck";20669;"2023-05-01";"2023-05-07";0;0;
"Culemborg";29397;"2023-05-01";"2023-05-07";0;0;220,59
"Dalfsen";29162;"2023-05-01";"2023-05-07";1;3,4;195
"Dantumadiel";18957;"2023-05-01";"2023-05-07";0;0;423,71
"De Bilt";43508;"2023-05-01";"2023-05-07";0;0;595,78
"De Fryske Marren";51597;"2023-05-01";"2023-05-07";0;0;661,26
"De Ronde Venen";44955;"2023-05-01";"2023-05-07";0;0;917,3
"De Wolden";24511;"2023-05-01";"2023-05-07";2;8,2;1440,73
"Delft";104572;"2023-05-01";"2023-05-07";3;2,9;
"Den Helder";56334;"2023-05-01";"2023-05-07";3;5,3;325,94
"Deurne";32606;"2023-05-01";"2023-05-07";0;0;55,99
"Deventer";101446;"2023-05-01";"2023-05-07";1;1;225,82
"Diemen";31822;"2023-05-01";"2023-05-07";0;0;917,3
"Dijk en Waard";87695;"2023-05-01";"2023-05-07";1;1,1;346,49
"Dinkelland";26594;"2023-05-01";"2023-05-07";0;0;391,71
"Doesburg";11036;"2023-05-01";"2023-05-07";0;0;655,31
"Doetinchem";58546;"2023-05-01";"2023-05-07";0;0;408,7
"Dongen";26483;"2023-05-01";"2023-05-07";0;0;
"Dordrecht";119537;"2023-05-01";"2023-05-07";0;0;
"Drechterland";19983;"2023-05-01";"2023-05-07";0;0;741,99
"Drimmelen";27476;"2023-05-01";"2023-05-07";0;0;
"Dronten";42865;"2023-05-01";"2023-05-07";0;0;507,13
"Druten";19178;"2023-05-01";"2023-05-07";0;0;
"Duiven";24946;"2023-05-01";"2023-05-07";1;4;327,82
