"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"14-07-2021";"27-07-2021";60;235,8;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"14-07-2021";"27-07-2021";255;800,4;2;6,3;0;0
"Aalten";197;"Aalten";27121;"14-07-2021";"27-07-2021";94;346,6;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"14-07-2021";"27-07-2021";98;352;2;7,2;0;0
"Alblasserdam";482;"Alblasserdam";20165;"14-07-2021";"27-07-2021";80;396,7;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25590;"14-07-2021";"27-07-2021";211;824,5;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"14-07-2021";"27-07-2021";850;776,7;0;0;0;0
"Almelo";141;"Almelo";73107;"14-07-2021";"27-07-2021";314;429,5;0;0;0;0
"Almere";34;"Almere";211893;"14-07-2021";"27-07-2021";999;471,5;3;1,4;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"14-07-2021";"27-07-2021";455;406,6;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"14-07-2021";"27-07-2021";49;480,3;0;0;0;0
"Altena";1959;"Altena";55967;"14-07-2021";"27-07-2021";235;419,9;0;0;0;0
"Ameland";60;"Ameland";3716;"14-07-2021";"27-07-2021";14;376,7;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"14-07-2021";"27-07-2021";892;567,2;2;1,3;0;0
"Amstelveen";362;"Amstelveen";91675;"14-07-2021";"27-07-2021";589;642,5;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"14-07-2021";"27-07-2021";8692;995,9;26;3;2;0,2
"Apeldoorn";200;"Apeldoorn";163818;"14-07-2021";"27-07-2021";995;607,4;3;1,8;1;0,6
"Arnhem";202;"Arnhem";161348;"14-07-2021";"27-07-2021";1085;672,5;5;3,1;0;0
"Assen";106;"Assen";68599;"14-07-2021";"27-07-2021";222;323,6;0;0;0;0
"Asten";743;"Asten";16721;"14-07-2021";"27-07-2021";133;795,4;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"14-07-2021";"27-07-2021";30;437,4;0;0;0;0
"Baarn";308;"Baarn";24868;"14-07-2021";"27-07-2021";126;506,7;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"14-07-2021";"27-07-2021";356;730,8;2;4,1;0;0
"Barneveld";203;"Barneveld";59082;"14-07-2021";"27-07-2021";183;309,7;0;0;0;0
"Beek";888;"Beek";15865;"14-07-2021";"27-07-2021";69;434,9;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"14-07-2021";"27-07-2021";139;386,8;2;5,6;0;0
"Beemster";370;"Beemster";10022;"14-07-2021";"27-07-2021";62;618,6;0;0;0;0
"Beesel";889;"Beesel";13482;"14-07-2021";"27-07-2021";66;489,5;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"14-07-2021";"27-07-2021";216;617,3;0;0;0;0
