"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"17-11-2021";"30-11-2021";6716;1224.8;83;15.1;5;0.9
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"17-11-2021";"30-11-2021";2848;1831.6;28;18;3;1.9
"Aa en Hunze";1680;"Aa en Hunze";25399;"17-11-2021";"30-11-2021";247;972.5;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"17-11-2021";"30-11-2021";626;1956.8;3;9.4;3;9.4
"Aalten";197;"Aalten";27120;"17-11-2021";"30-11-2021";385;1419.6;6;22.1;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27900;"17-11-2021";"30-11-2021";475;1702.5;6;21.5;1;3.6
"Alblasserdam";482;"Alblasserdam";20136;"17-11-2021";"30-11-2021";400;1986.5;6;29.8;0;0
"Albrandswaard";613;"Albrandswaard";25814;"17-11-2021";"30-11-2021";516;1998.9;3;11.6;0;0
"Alkmaar";361;"Alkmaar";109896;"17-11-2021";"30-11-2021";1816;1652.5;22;20;1;0.9
"Almelo";141;"Almelo";73132;"17-11-2021";"30-11-2021";1003;1371.5;19;26;4;5.5
"Almere";34;"Almere";214715;"17-11-2021";"30-11-2021";2895;1348.3;51;23.8;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"17-11-2021";"30-11-2021";1959;1740;6;5.3;7;6.2
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"17-11-2021";"30-11-2021";153;1475;0;0;0;0
"Altena";1959;"Altena";56352;"17-11-2021";"30-11-2021";1046;1856.2;24;42.6;1;1.8
"Ameland";60;"Ameland";3746;"17-11-2021";"30-11-2021";10;267;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"17-11-2021";"30-11-2021";2703;1716.6;18;11.4;2;1.3
"Amstelveen";362;"Amstelveen";90829;"17-11-2021";"30-11-2021";1401;1542.5;9;9.9;2;2.2
"Amsterdam";363;"Amsterdam";873338;"17-11-2021";"30-11-2021";11068;1267.3;106;12.1;17;1.9
"Apeldoorn";200;"Apeldoorn";164781;"17-11-2021";"30-11-2021";2174;1319.3;40;24.3;5;3
"Arnhem";202;"Arnhem";162424;"17-11-2021";"30-11-2021";2576;1586;18;11.1;9;5.5
"Assen";106;"Assen";68836;"17-11-2021";"30-11-2021";759;1102.6;9;13.1;4;5.8
"Asten";743;"Asten";16817;"17-11-2021";"30-11-2021";431;2562.9;6;35.7;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"17-11-2021";"30-11-2021";129;1869.8;2;29;0;0
"Baarn";308;"Baarn";24792;"17-11-2021";"30-11-2021";671;2706.5;1;4;0;0
"Barendrecht";489;"Barendrecht";48643;"17-11-2021";"30-11-2021";819;1683.7;6;12.3;1;2.1
"Barneveld";203;"Barneveld";59992;"17-11-2021";"30-11-2021";1531;2552;14;23.3;6;10
"Beek";888;"Beek";15875;"17-11-2021";"30-11-2021";459;2891.3;6;37.8;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"17-11-2021";"30-11-2021";831;2304.2;12;33.3;5;13.9
"Beemster";370;"Beemster";10110;"17-11-2021";"30-11-2021";177;1750.7;1;9.9;0;0
"Beesel";889;"Beesel";13450;"17-11-2021";"30-11-2021";298;2215.6;4;29.7;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"17-11-2021";"30-11-2021";684;1953.7;8;22.9;2;5.7
"Bergeijk";1724;"Bergeijk";18754;"17-11-2021";"30-11-2021";329;1754.3;7;37.3;1;5.3
"Bergen (L.)";893;"Bergen (L.)";13108;"17-11-2021";"30-11-2021";322;2456.5;4;30.5;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29715;"17-11-2021";"30-11-2021";403;1356.2;7;23.6;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"17-11-2021";"30-11-2021";1049;1553.8;16;23.7;1;1.5
"Berkelland";1859;"Berkelland";43846;"17-11-2021";"30-11-2021";684;1560;16;36.5;0;0
"Bernheze";1721;"Bernheze";31455;"17-11-2021";"30-11-2021";593;1885.2;7;22.3;1;3.2
"Best";753;"Best";30216;"17-11-2021";"30-11-2021";454;1502.5;8;26.5;0;0
"Beuningen";209;"Beuningen";26157;"17-11-2021";"30-11-2021";443;1693.6;9;34.4;1;3.8
"Beverwijk";375;"Beverwijk";41863;"17-11-2021";"30-11-2021";651;1555.1;6;14.3;1;2.4
"Bladel";1728;"Bladel";20529;"17-11-2021";"30-11-2021";362;1763.4;8;39;1;4.9
"Blaricum";376;"Blaricum";11954;"17-11-2021";"30-11-2021";175;1463.9;2;16.7;1;8.4
"Bloemendaal";377;"Bloemendaal";23478;"17-11-2021";"30-11-2021";471;2006.1;0;0;1;4.3
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"17-11-2021";"30-11-2021";704;1995.6;12;34;1;2.8
"Boekel";755;"Boekel";10959;"17-11-2021";"30-11-2021";152;1387;4;36.5;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"17-11-2021";"30-11-2021";260;1015.7;4;15.6;2;7.8
"Borne";147;"Borne";23668;"17-11-2021";"30-11-2021";367;1550.6;5;21.1;0;0
"Borsele";654;"Borsele";22818;"17-11-2021";"30-11-2021";482;2112.4;3;13.1;0;0
"Boxmeer";756;"Boxmeer";29609;"17-11-2021";"30-11-2021";561;1894.7;3;10.1;1;3.4
"Boxtel";757;"Boxtel";32973;"17-11-2021";"30-11-2021";668;2025.9;6;18.2;0;0
"Breda";758;"Breda";184126;"17-11-2021";"30-11-2021";3342;1815.1;33;17.9;8;4.3
"Brielle";501;"Brielle";17439;"17-11-2021";"30-11-2021";272;1559.7;1;5.7;0;0
"Bronckhorst";1876;"Bronckhorst";36087;"17-11-2021";"30-11-2021";604;1673.7;12;33.3;2;5.5
"Brummen";213;"Brummen";20884;"17-11-2021";"30-11-2021";316;1513.1;5;23.9;0;0
"Brunssum";899;"Brunssum";27670;"17-11-2021";"30-11-2021";743;2685.2;27;97.6;4;14.5
"Bunnik";312;"Bunnik";15341;"17-11-2021";"30-11-2021";231;1505.8;3;19.6;1;6.5
"Bunschoten";313;"Bunschoten";22019;"17-11-2021";"30-11-2021";473;2148.1;6;27.2;0;0
"Buren";214;"Buren";27009;"17-11-2021";"30-11-2021";414;1532.8;7;25.9;2;7.4
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67319;"17-11-2021";"30-11-2021";1179;1751.4;25;37.1;2;3
"Castricum";383;"Castricum";36086;"17-11-2021";"30-11-2021";546;1513.1;8;22.2;1;2.8
"Coevorden";109;"Coevorden";35317;"17-11-2021";"30-11-2021";439;1243;8;22.7;0;0
"Cranendonck";1706;"Cranendonck";21001;"17-11-2021";"30-11-2021";390;1857.1;7;33.3;2;9.5
"Cuijk";1684;"Cuijk";25404;"17-11-2021";"30-11-2021";638;2511.4;7;27.6;1;3.9
"Culemborg";216;"Culemborg";29121;"17-11-2021";"30-11-2021";438;1504.1;5;17.2;1;3.4
"Dalfsen";148;"Dalfsen";28901;"17-11-2021";"30-11-2021";443;1532.8;6;20.8;0;0
"Dantumadiel";1891;"Dantumadiel";18943;"17-11-2021";"30-11-2021";375;1979.6;12;63.3;0;0
"De Bilt";310;"De Bilt";43384;"17-11-2021";"30-11-2021";578;1332.3;3;6.9;0;0
"De Fryske Marren";1940;"De Fryske Marren";51778;"17-11-2021";"30-11-2021";908;1753.6;14;27;1;1.9
