"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"Heemskerk";83;211.8;28;71.5;10;25.5
"Heemstede";89;326.7;11;40.4;32;117.5
"Heerde";190;1022.2;54;290.5;28;150.6
"Heerenveen";91;180.2;13;25.7;20;39.6
"Heerhugowaard";142;246.6;27;46.9;9;15.6
"Heerlen";371;426.2;125;143.6;54;62
"Heeze-Leende";62;383.9;15;92.9;8;49.5
"Heiloo";48;200.2;9;37.5;8;33.4
"Hellendoorn";95;264.5;8;22.3;12;33.4
"Hellevoetsluis";67;166.8;16;39.8;3;7.5
"Helmond";371;401.4;114;123.3;41;44.4
"Hendrik-Ido-Ambacht";62;198.7;10;32;6;19.2
"Hengelo";123;151.6;21;25.9;19;23.4
"Het Hogeland";29;60.6;7;14.6;3;6.3
"Heumen";71;431.6;17;103.3;9;54.7
"Heusden";137;306.5;44;98.4;22;49.2
"Hillegom";33;148.6;8;36;2;9
"Hilvarenbeek";43;277.2;9;58;6;38.7
"Hilversum";195;214.6;31;34.1;25;27.5
"Hoeksche Waard";306;349.9;76;86.9;20;22.9
"Hof van Twente";63;179.9;15;42.8;4;11.4
"Hollands Kroon";62;128;26;53.7;6;12.4
"Hoogeveen";93;167;19;34.1;8;14.4
"Hoorn";87;118.8;34;46.4;12;16.4
"Horst aan de Maas";120;282.8;41;96.6;24;56.6
"Houten";135;269.2;24;47.9;13;25.9
"Huizen";126;305.3;22;53.3;10;24.2
"Hulst";31;112.5;9;32.7;5;18.1
"IJsselstein";150;439.8;35;102.6;34;99.7
"Kaag en Braassem";28;102.6;6;22;2;7.3
"Kampen";339;623.8;59;108.6;26;47.8
"Kapelle";24;189.1;3;23.6;1;7.9
"Katwijk";204;310.2;29;44.1;14;21.3
"Kerkrade";203;443.8;63;137.7;33;72.1
"Koggenland";35;153.8;6;26.4;6;26.4
"Krimpen aan den IJssel";75;254;10;33.9;7;23.7
"Krimpenerwaard";181;321.4;45;79.9;30;53.3
"Laarbeek";120;532.6;41;182;26;115.4
"Landerd";142;902.7;39;247.9;21;133.5
"Landgraaf";142;379.1;52;138.8;13;34.7
"Landsmeer";23;200.1;3;26.1;3;26.1
"Langedijk";45;159.8;16;56.8;4;14.2
"Lansingerland";181;290.1;42;67.3;25;40.1
"Laren";26;230.6;8;71;2;17.7
"Leeuwarden";58;46.8;33;26.6;6;4.8
"Leiden";156;124.6;39;31.2;18;14.4
"Leiderdorp";32;118.3;12;44.3;6;22.2
"Leidschendam-Voorburg";113;147.6;20;26.1;15;19.6
"Lelystad";174;221.3;64;81.4;29;36.9
"Leudal";187;520.9;51;142.1;32;89.1
"Leusden";51;167.8;9;29.6;5;16.4
"Lingewaard";124;266.1;31;66.5;10;21.5
"Lisse";26;113.3;7;30.5;2;8.7
"Lochem";95;281.6;14;41.5;14;41.5
"Loon op Zand";59;252.1;24;102.5;6;25.6
"Lopik";64;442.3;19;131.3;8;55.3
"Loppersum";2;21;0;0;0;0
"Losser";25;110.2;7;30.9;0;0
"Maasdriel";49;195.7;15;59.9;7;28
"Maasgouw";104;434.1;27;112.7;14;58.4
"Maassluis";62;186.7;20;60.2;4;12
"Maastricht";891;733;186;153;136;111.9
"Medemblik";70;155.2;18;39.9;6;13.3
"Meerssen";112;594.7;22;116.8;13;69
"Meierijstad";544;670;211;259.9;131;161.3
"Meppel";40;118;8;23.6;4;11.8
"Middelburg";59;120.9;18;36.9;10;20.5
"Midden-Delfland";18;93.1;4;20.7;0;0
"Midden-Drenthe";22;66.3;6;18.1;0;0
"Midden-Groningen";32;52.6;6;9.9;3;4.9
"Mill en Sint Hubert";38;347.3;9;82.3;5;45.7
"Moerdijk";78;210;14;37.7;8;21.5
"Molenlanden";123;280;19;43.2;9;20.5
"Montferland";88;244.4;20;55.5;9;25
"Montfoort";42;301.7;12;86.2;5;35.9
"Mook en Middelaar";37;471.5;6;76.5;5;63.7
"Neder-Betuwe";131;538.2;35;143.8;20;82.2
"Nederweert";50;293.7;31;182.1;7;41.1
"Nieuwegein";146;230.1;43;67.8;14;22.1
"Nieuwkoop";48;166.6;9;31.2;4;13.9
"Nijkerk";58;134.3;22;51;3;6.9
"Nijmegen";626;352.3;128;72;69;38.8
"Nissewaard";177;207.7;54;63.4;17;19.9
"Noardeast-Fryslân";26;57.5;6;13.3;4;8.8
"Noord-Beveland";10;135.2;1;13.5;0;0
"Noordenveld";18;57.6;4;12.8;1;3.2
"Noordoostpolder";81;171.4;14;29.6;10;21.2
"Noordwijk";48;110.3;17;39.1;3;6.9
"Nuenen, Gerwen en Nederwetten";54;231;18;77;9;38.5
"Nunspeet";221;793.7;56;201.1;20;71.8
"Oegstgeest";41;165;8;32.2;3;12.1
"Oirschot";62;331.1;13;69.4;9;48.1
"Oisterwijk";72;274.4;23;87.6;11;41.9
"Oldambt";13;34;7;18.3;2;5.2
"Oldebroek";162;685.1;40;169.2;19;80.4
"Oldenzaal";50;157.1;14;44;7;22
"Olst-Wijhe";50;274;12;65.7;8;43.8
"Ommen";52;288.8;9;50;2;11.1
"Oost Gelre";65;219.4;17;57.4;6;20.3
"Oosterhout";128;228.6;48;85.7;16;28.6
"Ooststellingwerf";7;27.5;3;11.8;0;0
"Oostzaan";26;267.1;11;113;2;20.5
"Opmeer";8;67.6;1;8.4;1;8.4
"Opsterland";23;77.3;7;23.5;0;0
"Oss";474;515.6;164;178.4;87;94.6
"Oude IJsselstreek";78;198;21;53.3;9;22.8
"Ouder-Amstel";33;235.2;5;35.6;0;0
"Oudewater";58;567.2;26;254.3;8;78.2
"Overbetuwe";130;271.3;57;119;16;33.4
"Papendrecht";72;224.1;9;28;7;21.8
"Peel en Maas";272;626.4;143;329.3;64;147.4
"Pekela";5;41;4;32.8;0;0
"Pijnacker-Nootdorp";118;213.3;24;43.4;16;28.9
"Purmerend";216;265.9;65;80;34;41.9
"Putten";29;120.3;9;37.3;0;0
"Raalte";150;397.8;24;63.6;17;45.1
"Reimerswaal";31;136.4;4;17.6;2;8.8
"Renkum";76;242;14;44.6;7;22.3
"Renswoude";19;348.8;5;91.8;5;91.8
"Reusel-De Mierden";23;175.4;11;83.9;2;15.3
"Rheden";137;313.2;33;75.5;14;32
"Rhenen";46;228.6;11;54.7;6;29.8
"Ridderkerk";132;285.7;37;80.1;16;34.6
"Rijssen-Holten";197;516;30;78.6;21;55
"Rijswijk";128;235.2;35;64.3;22;40.4
"Roerdalen";48;233.3;27;131.2;7;34
"Roermond";131;224.9;59;101.3;23;39.5
"Roosendaal";215;278.4;28;36.3;21;27.2
"Rotterdam";2384;366;507;77.8;336;51.6
"Rozendaal";3;176;1;58.7;0;0
"Rucphen";67;292.9;9;39.3;9;39.3
"s-Gravenhage";1506;276.2;324;59.4;223;40.9
"Schagen";74;159.2;19;40.9;10;21.5
"Scherpenzeel";32;323.9;4;40.5;2;20.2
"Schiedam";235;298.5;57;72.4;23;29.2
"Schiermonnikoog";0;0;0;0;0;0
"Schouwen-Duiveland";79;233.3;11;32.5;6;17.7
"Simpelveld";47;445.4;19;180.1;5;47.4
"Sint Anthonis";64;548.3;20;171.4;11;94.2
"Sint-Michielsgestel";109;373.2;36;123.3;19;65.1
"Sittard-Geleen";401;433.9;115;124.4;61;66
"Sliedrecht";62;245.9;9;35.7;5;19.8
"Sluis";17;73.2;8;34.5;4;17.2
"Smallingerland";55;97.9;9;16;5;8.9
"Soest";85;182.4;23;49.3;12;25.7
"Someren";99;510.9;33;170.3;8;41.3
"Son en Breugel";74;427.2;31;179;14;80.8
"Stadskanaal";8;25.2;2;6.3;2;6.3
"Staphorst";59;344.1;8;46.7;4;23.3
"Stede Broec";48;220.9;19;87.4;5;23
"Steenbergen";86;351;13;53.1;13;53.1
"Steenwijkerland";87;197.1;14;31.7;5;11.3
"Stein";115;460;43;172;15;60
"Stichtse Vecht";118;181.7;33;50.8;12;18.5
"Súdwest-Fryslân";102;113.3;17;18.9;3;3.3
"Terneuzen";115;211.2;25;45.9;4;7.3
"Terschelling";2;40.9;0;0;0;0
"Texel";11;81;5;36.8;2;14.7
"Teylingen";53;141.6;13;34.7;2;5.3
"Tholen";158;613.4;40;155.3;16;62.1
"Tiel";126;298.9;42;99.6;18;42.7
"Tilburg";766;348.5;248;112.8;159;72.3
"Tubbergen";79;371.3;12;56.4;5;23.5
"Twenterand";61;180.8;12;35.6;2;5.9
"Tynaarlo";38;112.2;9;26.6;0;0
"Tytsjerksteradiel";15;46.8;4;12.5;1;3.1
"Uden";259;614.9;115;273;63;149.6
"Uitgeest";23;168.5;5;36.6;1;7.3
"Uithoorn";51;173.1;16;54.3;2;6.8
"Urk";82;389.9;22;104.6;4;19
"Utrecht";1099;307.2;258;72.1;109;30.5
"Utrechtse Heuvelrug";114;229.8;28;56.5;14;28.2
"Vaals";30;297.1;10;99;1;9.9
"Valkenburg aan de Geul";86;525.7;19;116.1;7;42.8
