"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"13-10-2021";"26-10-2021";1531;279.2;8;1.5;5;0.9
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"13-10-2021";"26-10-2021";394;253.4;3;1.9;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"13-10-2021";"26-10-2021";50;196.9;0;0;1;3.9
"Aalsmeer";358;"Aalsmeer";31991;"13-10-2021";"26-10-2021";165;515.8;2;6.3;0;0
"Aalten";197;"Aalten";27120;"13-10-2021";"26-10-2021";60;221.2;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"13-10-2021";"26-10-2021";167;598.6;1;3.6;0;0
"Alblasserdam";482;"Alblasserdam";20136;"13-10-2021";"26-10-2021";276;1370.7;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"13-10-2021";"26-10-2021";68;263.4;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"13-10-2021";"26-10-2021";155;141;0;0;0;0
"Almelo";141;"Almelo";73132;"13-10-2021";"26-10-2021";116;158.6;4;5.5;1;1.4
"Almere";34;"Almere";214715;"13-10-2021";"26-10-2021";640;298.1;7;3.3;10;4.7
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"13-10-2021";"26-10-2021";512;454.8;1;0.9;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"13-10-2021";"26-10-2021";19;183.2;0;0;0;0
"Altena";1959;"Altena";56352;"13-10-2021";"26-10-2021";428;759.5;2;3.5;0;0
"Ameland";60;"Ameland";3746;"13-10-2021";"26-10-2021";5;133.5;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"13-10-2021";"26-10-2021";488;309.9;0;0;0;0
"Amstelveen";362;"Amstelveen";90829;"13-10-2021";"26-10-2021";208;229;3;3.3;1;1.1
"Amsterdam";363;"Amsterdam";873338;"13-10-2021";"26-10-2021";2595;297.1;14;1.6;5;0.6
"Apeldoorn";200;"Apeldoorn";164781;"13-10-2021";"26-10-2021";821;498.2;6;3.6;2;1.2
"Arnhem";202;"Arnhem";162424;"13-10-2021";"26-10-2021";482;296.8;1;0.6;0;0
"Assen";106;"Assen";68836;"13-10-2021";"26-10-2021";91;132.2;0;0;0;0
"Asten";743;"Asten";16817;"13-10-2021";"26-10-2021";30;178.4;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"13-10-2021";"26-10-2021";22;318.9;0;0;0;0
"Baarn";308;"Baarn";24792;"13-10-2021";"26-10-2021";95;383.2;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"13-10-2021";"26-10-2021";140;287.8;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"13-10-2021";"26-10-2021";527;878.5;4;6.7;1;1.7
"Beek";888;"Beek";15875;"13-10-2021";"26-10-2021";38;239.4;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"13-10-2021";"26-10-2021";213;590.6;0;0;0;0
