"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"08-09-2021";"21-09-2021";1321;240.9;13;2.4;1;0.2
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"08-09-2021";"21-09-2021";211;135.7;0;0;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"08-09-2021";"21-09-2021";12;47.2;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"08-09-2021";"21-09-2021";28;87.5;0;0;0;0
"Aalten";197;"Aalten";27120;"08-09-2021";"21-09-2021";12;44.2;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"08-09-2021";"21-09-2021";70;250.9;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"08-09-2021";"21-09-2021";23;114.2;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"08-09-2021";"21-09-2021";35;135.6;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"08-09-2021";"21-09-2021";97;88.3;0;0;0;0
"Almelo";141;"Almelo";73132;"08-09-2021";"21-09-2021";130;177.8;2;2.7;0;0
"Almere";34;"Almere";214715;"08-09-2021";"21-09-2021";430;200.3;3;1.4;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"08-09-2021";"21-09-2021";138;122.6;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"08-09-2021";"21-09-2021";20;192.8;0;0;0;0
"Altena";1959;"Altena";56352;"08-09-2021";"21-09-2021";39;69.2;0;0;0;0
"Ameland";60;"Ameland";3746;"08-09-2021";"21-09-2021";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"08-09-2021";"21-09-2021";396;251.5;3;1.9;0;0
"Amstelveen";362;"Amstelveen";90829;"08-09-2021";"21-09-2021";141;155.2;0;0;1;1.1
"Amsterdam";363;"Amsterdam";873338;"08-09-2021";"21-09-2021";1824;208.9;10;1.1;1;0.1
"Apeldoorn";200;"Apeldoorn";164781;"08-09-2021";"21-09-2021";199;120.8;0;0;0;0
"Arnhem";202;"Arnhem";162424;"08-09-2021";"21-09-2021";266;163.8;1;0.6;0;0
"Assen";106;"Assen";68836;"08-09-2021";"21-09-2021";40;58.1;2;2.9;0;0
"Asten";743;"Asten";16817;"08-09-2021";"21-09-2021";11;65.4;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"08-09-2021";"21-09-2021";5;72.5;0;0;0;0
"Baarn";308;"Baarn";24792;"08-09-2021";"21-09-2021";24;96.8;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"08-09-2021";"21-09-2021";110;226.1;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"08-09-2021";"21-09-2021";141;235;0;0;0;0
"Beek";888;"Beek";15875;"08-09-2021";"21-09-2021";28;176.4;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"08-09-2021";"21-09-2021";73;202.4;1;2.8;0;0
"Beemster";370;"Beemster";10110;"08-09-2021";"21-09-2021";11;108.8;0;0;0;0
"Beesel";889;"Beesel";13450;"08-09-2021";"21-09-2021";31;230.5;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"08-09-2021";"21-09-2021";32;91.4;0;0;0;0
"Bergeijk";1724;"Bergeijk";18754;"08-09-2021";"21-09-2021";11;58.7;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"08-09-2021";"21-09-2021";12;91.5;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"08-09-2021";"21-09-2021";24;80.8;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"08-09-2021";"21-09-2021";50;74.1;0;0;1;1.5
"Berkelland";1859;"Berkelland";43846;"08-09-2021";"21-09-2021";23;52.5;0;0;0;0
"Bernheze";1721;"Bernheze";31455;"08-09-2021";"21-09-2021";26;82.7;0;0;0;0
"Best";753;"Best";30216;"08-09-2021";"21-09-2021";24;79.4;0;0;0;0
"Beuningen";209;"Beuningen";26157;"08-09-2021";"21-09-2021";6;22.9;0;0;0;0
"Beverwijk";375;"Beverwijk";41863;"08-09-2021";"21-09-2021";53;126.6;0;0;0;0
"Bladel";1728;"Bladel";20529;"08-09-2021";"21-09-2021";15;73.1;0;0;0;0
"Blaricum";376;"Blaricum";11954;"08-09-2021";"21-09-2021";11;92;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23478;"08-09-2021";"21-09-2021";16;68.1;0;0;0;0
