"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"23-11-2022";"06-12-2022";349;63,1;26;4,7;0;0
"'s-Hertogenbosch";156538;"23-11-2022";"06-12-2022";78;49,8;4;2,6;3;1,9
"Aa en Hunze";25579;"23-11-2022";"06-12-2022";9;35,2;1;3,9;0;0
"Aalsmeer";32452;"23-11-2022";"06-12-2022";15;46,2;1;3,1;0;0
"Aalten";27100;"23-11-2022";"06-12-2022";7;25,8;1;3,7;0;0
"Achtkarspelen";27954;"23-11-2022";"06-12-2022";8;28,6;0;0;0;0
"Alblasserdam";20087;"23-11-2022";"06-12-2022";6;29,9;2;10;0;0
"Albrandswaard";25934;"23-11-2022";"06-12-2022";17;65,6;1;3,9;0;0
"Alkmaar";110783;"23-11-2022";"06-12-2022";51;46;4;3,6;0;0
"Almelo";73155;"23-11-2022";"06-12-2022";31;42,4;3;4,1;0;0
"Almere";217828;"23-11-2022";"06-12-2022";106;48,7;3;1,4;0;0
"Alphen aan den Rijn";112926;"23-11-2022";"06-12-2022";54;47,8;5;4,4;0;0
"Alphen-Chaam";10425;"23-11-2022";"06-12-2022";4;38,4;1;9,6;0;0
"Altena";57009;"23-11-2022";"06-12-2022";11;19,3;2;3,5;0;0
"Ameland";3757;"23-11-2022";"06-12-2022";0;0;0;0;0;0
"Amersfoort";158590;"23-11-2022";"06-12-2022";125;78,8;6;3,8;0;0
"Amstelveen";92331;"23-11-2022";"06-12-2022";66;71,5;0;0;0;0
"Amsterdam";903399;"23-11-2022";"06-12-2022";618;68,4;15;1,7;1;0,1
"Apeldoorn";165611;"23-11-2022";"06-12-2022";122;73,7;6;3,6;0;0
"Arnhem";163888;"23-11-2022";"06-12-2022";104;63,5;2;1,2;0;0
"Assen";68979;"23-11-2022";"06-12-2022";26;37,7;0;0;0;0
"Asten";17068;"23-11-2022";"06-12-2022";4;23,4;1;5,9;0;0
"Baarle-Nassau";6931;"23-11-2022";"06-12-2022";2;28,9;1;14,4;0;0
"Baarn";24876;"23-11-2022";"06-12-2022";10;40,2;0;0;0;0
"Barendrecht";48714;"23-11-2022";"06-12-2022";32;65,7;1;2,1;0;0
"Barneveld";60584;"23-11-2022";"06-12-2022";23;38;1;1,7;0;0
"Beek";15817;"23-11-2022";"06-12-2022";8;50,6;1;6,3;0;0
"Beekdaelen";35922;"23-11-2022";"06-12-2022";15;41,8;0;0;0;0
"Beesel";13408;"23-11-2022";"06-12-2022";7;52,2;0;0;0;0
"Berg en Dal";34951;"23-11-2022";"06-12-2022";22;62,9;3;8,6;0;0
"Bergeijk";18879;"23-11-2022";"06-12-2022";2;10,6;0;0;0;0
"Bergen (L.)";13106;"23-11-2022";"06-12-2022";11;83,9;1;7,6;0;0
"Bergen (NH.)";29723;"23-11-2022";"06-12-2022";14;47,1;1;3,4;0;0
"Bergen op Zoom";67894;"23-11-2022";"06-12-2022";23;33,9;2;2,9;0;0
"Berkelland";43850;"23-11-2022";"06-12-2022";19;43,3;2;4,6;0;0
"Bernheze";31715;"23-11-2022";"06-12-2022";13;41;2;6,3;1;3,2
"Best";30608;"23-11-2022";"06-12-2022";10;32,7;0;0;0;0
"Beuningen";26235;"23-11-2022";"06-12-2022";23;87,7;0;0;0;0
"Beverwijk";42084;"23-11-2022";"06-12-2022";35;83,2;0;0;0;0
"Bladel";20718;"23-11-2022";"06-12-2022";2;9,7;0;0;0;0
"Blaricum";12359;"23-11-2022";"06-12-2022";5;40,5;0;0;0;0
