"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"29-09-2021";"12-10-2021";1113;203;11;2;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"29-09-2021";"12-10-2021";156;100.3;0;0;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"29-09-2021";"12-10-2021";16;63;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"29-09-2021";"12-10-2021";30;93.8;0;0;0;0
"Aalten";197;"Aalten";27120;"29-09-2021";"12-10-2021";17;62.7;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"29-09-2021";"12-10-2021";86;308.2;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"29-09-2021";"12-10-2021";39;193.7;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25814;"29-09-2021";"12-10-2021";26;100.7;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"29-09-2021";"12-10-2021";77;70.1;1;0.9;0;0
"Almelo";141;"Almelo";73132;"29-09-2021";"12-10-2021";96;131.3;0;0;0;0
"Almere";34;"Almere";214715;"29-09-2021";"12-10-2021";393;183;5;2.3;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"29-09-2021";"12-10-2021";243;215.8;0;0;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"29-09-2021";"12-10-2021";9;86.8;0;0;0;0
"Altena";1959;"Altena";56352;"29-09-2021";"12-10-2021";182;323;0;0;0;0
"Ameland";60;"Ameland";3746;"29-09-2021";"12-10-2021";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"29-09-2021";"12-10-2021";347;220.4;0;0;0;0
"Amstelveen";362;"Amstelveen";90829;"29-09-2021";"12-10-2021";94;103.5;0;0;0;0
"Amsterdam";363;"Amsterdam";873338;"29-09-2021";"12-10-2021";1243;142.3;3;0.3;2;0.2
"Apeldoorn";200;"Apeldoorn";164781;"29-09-2021";"12-10-2021";375;227.6;1;0.6;1;0.6
"Arnhem";202;"Arnhem";162424;"29-09-2021";"12-10-2021";331;203.8;2;1.2;0;0
"Assen";106;"Assen";68836;"29-09-2021";"12-10-2021";49;71.2;0;0;0;0
"Asten";743;"Asten";16817;"29-09-2021";"12-10-2021";11;65.4;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"29-09-2021";"12-10-2021";18;260.9;0;0;0;0
"Baarn";308;"Baarn";24792;"29-09-2021";"12-10-2021";31;125;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"29-09-2021";"12-10-2021";85;174.7;0;0;0;0
"Barneveld";203;"Barneveld";59992;"29-09-2021";"12-10-2021";300;500.1;1;1.7;0;0
"Beek";888;"Beek";15875;"29-09-2021";"12-10-2021";11;69.3;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"29-09-2021";"12-10-2021";79;219;0;0;0;0
"Beemster";370;"Beemster";10110;"29-09-2021";"12-10-2021";1;9.9;0;0;0;0
"Beesel";889;"Beesel";13450;"29-09-2021";"12-10-2021";37;275.1;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"29-09-2021";"12-10-2021";18;51.4;0;0;0;0
"Bergeijk";1724;"Bergeijk";18754;"29-09-2021";"12-10-2021";17;90.6;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"29-09-2021";"12-10-2021";20;152.6;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"29-09-2021";"12-10-2021";13;43.7;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"29-09-2021";"12-10-2021";71;105.2;0;0;0;0
"Berkelland";1859;"Berkelland";43846;"29-09-2021";"12-10-2021";56;127.7;0;0;0;0
"Bernheze";1721;"Bernheze";31455;"29-09-2021";"12-10-2021";44;139.9;0;0;0;0
"Best";753;"Best";30216;"29-09-2021";"12-10-2021";51;168.8;0;0;0;0
"Beuningen";209;"Beuningen";26157;"29-09-2021";"12-10-2021";47;179.7;0;0;0;0
"Beverwijk";375;"Beverwijk";41863;"29-09-2021";"12-10-2021";38;90.8;0;0;0;0
"Bladel";1728;"Bladel";20529;"29-09-2021";"12-10-2021";17;82.8;0;0;0;0
"Blaricum";376;"Blaricum";11954;"29-09-2021";"12-10-2021";9;75.3;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23478;"29-09-2021";"12-10-2021";20;85.2;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";35278;"29-09-2021";"12-10-2021";101;286.3;1;2.8;0;0
"Boekel";755;"Boekel";10959;"29-09-2021";"12-10-2021";6;54.7;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25598;"29-09-2021";"12-10-2021";41;160.2;0;0;0;0
