"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"18-05-2022";"31-05-2022";503;91.7;10;1.8;0;0
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"18-05-2022";"31-05-2022";82;52.7;4;2.6;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"18-05-2022";"31-05-2022";9;35.4;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"18-05-2022";"31-05-2022";31;96.9;0;0;0;0
"Aalten";197;"Aalten";27120;"18-05-2022";"31-05-2022";15;55.3;0;0;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"18-05-2022";"31-05-2022";13;46.6;0;0;0;0
"Alblasserdam";482;"Alblasserdam";20136;"18-05-2022";"31-05-2022";17;84.4;0;0;1;5
"Albrandswaard";613;"Albrandswaard";25814;"18-05-2022";"31-05-2022";18;69.7;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"18-05-2022";"31-05-2022";86;78.3;1;0.9;0;0
"Almelo";141;"Almelo";73132;"18-05-2022";"31-05-2022";35;47.9;0;0;0;0
"Almere";34;"Almere";214715;"18-05-2022";"31-05-2022";221;102.9;1;0.5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"18-05-2022";"31-05-2022";118;104.8;2;1.8;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"18-05-2022";"31-05-2022";4;38.6;0;0;0;0
"Altena";1959;"Altena";56352;"18-05-2022";"31-05-2022";30;53.2;1;1.8;0;0
"Ameland";60;"Ameland";3746;"18-05-2022";"31-05-2022";0;0;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"18-05-2022";"31-05-2022";155;98.4;5;3.2;0;0
"Amstelveen";362;"Amstelveen";90829;"18-05-2022";"31-05-2022";103;113.4;0;0;0;0
"Amsterdam";363;"Amsterdam";893783;"18-05-2022";"31-05-2022";1292;144.6;10;1.1;0;0
"Apeldoorn";200;"Apeldoorn";164781;"18-05-2022";"31-05-2022";110;66.8;0;0;0;0
"Arnhem";202;"Arnhem";162424;"18-05-2022";"31-05-2022";110;67.7;3;1.8;0;0
"Assen";106;"Assen";68836;"18-05-2022";"31-05-2022";54;78.4;0;0;0;0
"Asten";743;"Asten";16817;"18-05-2022";"31-05-2022";1;5.9;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"18-05-2022";"31-05-2022";0;0;0;0;0;0
"Baarn";308;"Baarn";24792;"18-05-2022";"31-05-2022";15;60.5;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"18-05-2022";"31-05-2022";60;123.3;1;2.1;0;0
"Barneveld";203;"Barneveld";59992;"18-05-2022";"31-05-2022";17;28.3;1;1.7;0;0
"Beek";888;"Beek";15875;"18-05-2022";"31-05-2022";5;31.5;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";36065;"18-05-2022";"31-05-2022";23;63.8;0;0;0;0
"Beesel";889;"Beesel";13450;"18-05-2022";"31-05-2022";3;22.3;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";35010;"18-05-2022";"31-05-2022";16;45.7;1;2.9;0;0
"Bergeijk";1724;"Bergeijk";18754;"18-05-2022";"31-05-2022";3;16;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13108;"18-05-2022";"31-05-2022";10;76.3;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29715;"18-05-2022";"31-05-2022";41;138;1;3.4;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67514;"18-05-2022";"31-05-2022";26;38.5;2;3;0;0
"Berkelland";1859;"Berkelland";43846;"18-05-2022";"31-05-2022";13;29.6;2;4.6;1;2.3
"Bernheze";1721;"Bernheze";31455;"18-05-2022";"31-05-2022";10;31.8;1;3.2;0;0
"Best";753;"Best";30216;"18-05-2022";"31-05-2022";14;46.3;0;0;0;0
"Beuningen";209;"Beuningen";26157;"18-05-2022";"31-05-2022";7;26.8;3;11.5;0;0
"Beverwijk";375;"Beverwijk";41863;"18-05-2022";"31-05-2022";39;93.2;0;0;0;0
