"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"08-12-2021";"21-12-2021";5813;1060.1;88;16;9;1.6
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"08-12-2021";"21-12-2021";1786;1148.6;16;10.3;2;1.3
"Aa en Hunze";1680;"Aa en Hunze";25399;"08-12-2021";"21-12-2021";237;933.1;2;7.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"08-12-2021";"21-12-2021";389;1216;2;6.3;0;0
"Aalten";197;"Aalten";27120;"08-12-2021";"21-12-2021";216;796.5;4;14.7;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27900;"08-12-2021";"21-12-2021";447;1602.2;5;17.9;0;0
"Alblasserdam";482;"Alblasserdam";20136;"08-12-2021";"21-12-2021";225;1117.4;5;24.8;1;5
"Albrandswaard";613;"Albrandswaard";25814;"08-12-2021";"21-12-2021";305;1181.5;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"08-12-2021";"21-12-2021";1378;1253.9;23;20.9;0;0
"Almelo";141;"Almelo";73132;"08-12-2021";"21-12-2021";677;925.7;13;17.8;1;1.4
"Almere";34;"Almere";214715;"08-12-2021";"21-12-2021";2323;1081.9;37;17.2;2;0.9
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"08-12-2021";"21-12-2021";1031;915.7;4;3.6;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"08-12-2021";"21-12-2021";127;1224.3;2;19.3;0;0
"Altena";1959;"Altena";56352;"08-12-2021";"21-12-2021";601;1066.5;5;8.9;3;5.3
"Ameland";60;"Ameland";3746;"08-12-2021";"21-12-2021";14;373.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"08-12-2021";"21-12-2021";2344;1488.6;23;14.6;1;0.6
"Amstelveen";362;"Amstelveen";90829;"08-12-2021";"21-12-2021";822;905;5;5.5;5;5.5
"Amsterdam";363;"Amsterdam";873338;"08-12-2021";"21-12-2021";8263;946.1;86;9.8;23;2.6
"Apeldoorn";200;"Apeldoorn";164781;"08-12-2021";"21-12-2021";2089;1267.7;32;19.4;5;3
"Arnhem";202;"Arnhem";162424;"08-12-2021";"21-12-2021";1840;1132.8;18;11.1;7;4.3
"Assen";106;"Assen";68836;"08-12-2021";"21-12-2021";628;912.3;7;10.2;4;5.8
"Asten";743;"Asten";16817;"08-12-2021";"21-12-2021";167;993;2;11.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"08-12-2021";"21-12-2021";67;971.2;2;29;0;0
