"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Cranendonck";1706;"Cranendonck";21138;"21-04-2021";"04-05-2021";110;520.4;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"21-04-2021";"04-05-2021";214;851.6;0;0;0;0
"Culemborg";216;"Culemborg";28955;"21-04-2021";"04-05-2021";170;587.1;2;6.9;0;0
"Dalfsen";148;"Dalfsen";28587;"21-04-2021";"04-05-2021";141;493.2;1;3.5;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"21-04-2021";"04-05-2021";55;290.7;2;10.6;0;0
"De Bilt";310;"De Bilt";43137;"21-04-2021";"04-05-2021";127;294.4;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"21-04-2021";"04-05-2021";209;405.3;3;5.8;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"21-04-2021";"04-05-2021";271;609.6;0;0;0;0
"De Wolden";1690;"De Wolden";24330;"21-04-2021";"04-05-2021";126;517.9;2;8.2;0;0
"Delft";503;"Delft";103595;"21-04-2021";"04-05-2021";580;559.9;4;3.9;0;0
"Den Helder";400;"Den Helder";56296;"21-04-2021";"04-05-2021";225;399.7;1;1.8;1;1.8
"Deurne";762;"Deurne";32471;"21-04-2021";"04-05-2021";314;967;3;9.2;0;0
"Deventer";150;"Deventer";100719;"21-04-2021";"04-05-2021";596;591.7;6;6;1;1
"Diemen";384;"Diemen";30780;"21-04-2021";"04-05-2021";157;510.1;2;6.5;0;0
"Dinkelland";1774;"Dinkelland";26461;"21-04-2021";"04-05-2021";168;634.9;0;0;0;0
"Doesburg";221;"Doesburg";11077;"21-04-2021";"04-05-2021";37;334;1;9;0;0
"Doetinchem";222;"Doetinchem";58001;"21-04-2021";"04-05-2021";296;510.3;1;1.7;0;0
"Dongen";766;"Dongen";26222;"21-04-2021";"04-05-2021";171;652.1;1;3.8;0;0
"Dordrecht";505;"Dordrecht";119284;"21-04-2021";"04-05-2021";908;761.2;1;0.8;6;5
"Drechterland";498;"Drechterland";19719;"21-04-2021";"04-05-2021";58;294.1;0;0;0;0
"Drimmelen";1719;"Drimmelen";27272;"21-04-2021";"04-05-2021";135;495;1;3.7;0;0
"Dronten";303;"Dronten";41555;"21-04-2021";"04-05-2021";141;339.3;0;0;0;0
"Druten";225;"Druten";18926;"21-04-2021";"04-05-2021";87;459.7;0;0;0;0
"Duiven";226;"Duiven";25126;"21-04-2021";"04-05-2021";130;517.4;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"21-04-2021";"04-05-2021";273;863.7;2;6.3;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"21-04-2021";"04-05-2021";298;823.3;0;0;2;5.5
"Ede";228;"Ede";117165;"21-04-2021";"04-05-2021";587;501;4;3.4;2;1.7
"Eemnes";317;"Eemnes";9247;"21-04-2021";"04-05-2021";40;432.6;0;0;0;0
"Eemsdelta";1979;"Eemsdelta";45857;"21-04-2021";"04-05-2021";146;318.4;0;0;2;4.4
"Eersel";770;"Eersel";19313;"21-04-2021";"04-05-2021";178;921.7;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"21-04-2021";"04-05-2021";101;392;0;0;0;0
