"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"31-03-2021";"13-04-2021";104;408.7;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31859;"31-03-2021";"13-04-2021";229;718.8;1;3.1;0;0
"Aalten";197;"Aalten";27121;"31-03-2021";"13-04-2021";223;822.2;2;7.4;1;3.7
"Achtkarspelen";59;"Achtkarspelen";27843;"31-03-2021";"13-04-2021";118;423.8;1;3.6;0;0
"Alblasserdam";482;"Alblasserdam";20165;"31-03-2021";"13-04-2021";188;932.3;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"31-03-2021";"13-04-2021";141;551;1;3.9;1;3.9
"Alkmaar";361;"Alkmaar";109436;"31-03-2021";"13-04-2021";493;450.5;3;2.7;2;1.8
"Almelo";141;"Almelo";73107;"31-03-2021";"13-04-2021";230;314.6;1;1.4;0;0
"Almere";34;"Almere";211893;"31-03-2021";"13-04-2021";807;380.9;8;3.8;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"31-03-2021";"13-04-2021";638;570.2;4;3.6;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"31-03-2021";"13-04-2021";61;597.9;1;9.8;0;0
"Altena";1959;"Altena";55967;"31-03-2021";"13-04-2021";318;568.2;2;3.6;2;3.6
"Ameland";60;"Ameland";3716;"31-03-2021";"13-04-2021";14;376.7;1;26.9;0;0
"Amersfoort";307;"Amersfoort";157276;"31-03-2021";"13-04-2021";719;457.2;0;0;3;1.9
"Amstelveen";362;"Amstelveen";91675;"31-03-2021";"13-04-2021";402;438.5;1;1.1;0;0
"Amsterdam";363;"Amsterdam";872757;"31-03-2021";"13-04-2021";3787;433.9;39;4.5;15;1.7
"Apeldoorn";200;"Apeldoorn";163818;"31-03-2021";"13-04-2021";929;567.1;4;2.4;1;0.6
"Arnhem";202;"Arnhem";161348;"31-03-2021";"13-04-2021";601;372.5;1;0.6;1;0.6
"Assen";106;"Assen";68599;"31-03-2021";"13-04-2021";226;329.5;3;4.4;0;0
"Asten";743;"Asten";16721;"31-03-2021";"13-04-2021";109;651.9;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"31-03-2021";"13-04-2021";39;568.6;0;0;0;0
"Baarn";308;"Baarn";24868;"31-03-2021";"13-04-2021";74;297.6;1;4;1;4
"Barendrecht";489;"Barendrecht";48714;"31-03-2021";"13-04-2021";342;702.1;5;10.3;1;2.1
