"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"03-11-2021";"16-11-2021";4514;823.2;35;6.4;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"03-11-2021";"16-11-2021";1349;867.6;2;1.3;6;3.9
"Aa en Hunze";1680;"Aa en Hunze";25399;"03-11-2021";"16-11-2021";129;507.9;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31991;"03-11-2021";"16-11-2021";428;1337.9;0;0;0;0
"Aalten";197;"Aalten";27120;"03-11-2021";"16-11-2021";237;873.9;0;0;3;11.1
"Achtkarspelen";59;"Achtkarspelen";27900;"03-11-2021";"16-11-2021";287;1028.7;2;7.2;0;0
"Alblasserdam";482;"Alblasserdam";20136;"03-11-2021";"16-11-2021";386;1917;0;0;1;5
"Albrandswaard";613;"Albrandswaard";25814;"03-11-2021";"16-11-2021";295;1142.8;0;0;0;0
"Alkmaar";361;"Alkmaar";109896;"03-11-2021";"16-11-2021";1042;948.2;1;0.9;0;0
"Almelo";141;"Almelo";73132;"03-11-2021";"16-11-2021";644;880.6;4;5.5;2;2.7
"Almere";34;"Almere";214715;"03-11-2021";"16-11-2021";1808;842;2;0.9;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"03-11-2021";"16-11-2021";1445;1283.5;4;3.6;6;5.3
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"03-11-2021";"16-11-2021";98;944.8;0;0;0;0
"Altena";1959;"Altena";56352;"03-11-2021";"16-11-2021";930;1650.3;2;3.5;3;5.3
"Ameland";60;"Ameland";3746;"03-11-2021";"16-11-2021";14;373.7;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"03-11-2021";"16-11-2021";1468;932.3;0;0;0;0
"Amstelveen";362;"Amstelveen";90829;"03-11-2021";"16-11-2021";907;998.6;3;3.3;3;3.3
"Amsterdam";363;"Amsterdam";873338;"03-11-2021";"16-11-2021";7018;803.6;22;2.5;6;0.7
"Apeldoorn";200;"Apeldoorn";164781;"03-11-2021";"16-11-2021";1525;925.5;3;1.8;0;0
"Arnhem";202;"Arnhem";162424;"03-11-2021";"16-11-2021";1237;761.6;2;1.2;2;1.2
"Assen";106;"Assen";68836;"03-11-2021";"16-11-2021";482;700.2;0;0;0;0
"Asten";743;"Asten";16817;"03-11-2021";"16-11-2021";124;737.3;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"03-11-2021";"16-11-2021";53;768.2;0;0;0;0
"Baarn";308;"Baarn";24792;"03-11-2021";"16-11-2021";307;1238.3;0;0;0;0
"Barendrecht";489;"Barendrecht";48643;"03-11-2021";"16-11-2021";553;1136.9;2;4.1;0;0
"Barneveld";203;"Barneveld";59992;"03-11-2021";"16-11-2021";1396;2327;3;5;1;1.7
"Beek";888;"Beek";15875;"03-11-2021";"16-11-2021";261;1644.1;0;0;1;6.3
"Beekdaelen";1954;"Beekdaelen";36065;"03-11-2021";"16-11-2021";575;1594.3;3;8.3;2;5.5
"Beemster";370;"Beemster";10110;"03-11-2021";"16-11-2021";132;1305.6;0;0;0;0
