"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"2023-05-08";"2023-05-14";3;0,5;759,18
"'s-Hertogenbosch";156538;"2023-05-08";"2023-05-14";1;0,6;144,02
"Aa en Hunze";25579;"2023-05-08";"2023-05-14";0;0;65,19
"Aalsmeer";32452;"2023-05-08";"2023-05-14";0;0;242,75
"Aalten";27100;"2023-05-08";"2023-05-14";1;3,7;547,83
"Achtkarspelen";27954;"2023-05-08";"2023-05-14";0;0;314,99
"Alblasserdam";20087;"2023-05-08";"2023-05-14";0;0;337,8
"Albrandswaard";25934;"2023-05-08";"2023-05-14";1;3,9;474,3
"Alkmaar";110783;"2023-05-08";"2023-05-14";0;0;484,13
"Almelo";73155;"2023-05-08";"2023-05-14";0;0;
"Almere";217828;"2023-05-08";"2023-05-14";0;0;261,22
"Alphen aan den Rijn";112926;"2023-05-08";"2023-05-14";0;0;463,57
"Alphen-Chaam";10425;"2023-05-08";"2023-05-14";0;0;171,06
"Altena";57009;"2023-05-08";"2023-05-14";0;0;105,57
"Ameland";3757;"2023-05-08";"2023-05-14";0;0;367,83
"Amersfoort";158590;"2023-05-08";"2023-05-14";0;0;224,99
"Amstelveen";92331;"2023-05-08";"2023-05-14";0;0;392,81
"Amsterdam";903399;"2023-05-08";"2023-05-14";5;0,6;430
"Apeldoorn";165611;"2023-05-08";"2023-05-14";2;1,2;114,81
"Arnhem";163888;"2023-05-08";"2023-05-14";0;0;170,74
"Assen";68979;"2023-05-08";"2023-05-14";0;0;65,6
"Asten";17068;"2023-05-08";"2023-05-14";0;0;26,11
"Baarle-Nassau";6931;"2023-05-08";"2023-05-14";0;0;193,09
"Baarn";24876;"2023-05-08";"2023-05-14";0;0;178,74
"Barendrecht";48714;"2023-05-08";"2023-05-14";0;0;492,45
"Barneveld";60584;"2023-05-08";"2023-05-14";0;0;116,46
"Beek";15817;"2023-05-08";"2023-05-14";0;0;41,65
"Beekdaelen";35922;"2023-05-08";"2023-05-14";0;0;137,84
"Beesel";13408;"2023-05-08";"2023-05-14";0;0;197,78
"Berg en Dal";34951;"2023-05-08";"2023-05-14";0;0;199,9
"Bergeijk";18879;"2023-05-08";"2023-05-14";1;5,3;46,15
"Bergen (L.)";13106;"2023-05-08";"2023-05-14";0;0;173,13
"Bergen (NH.)";29723;"2023-05-08";"2023-05-14";1;3,4;504,31
"Bergen op Zoom";67894;"2023-05-08";"2023-05-14";0;0;121,22
"Berkelland";43850;"2023-05-08";"2023-05-14";1;2,3;257,41
"Bernheze";31715;"2023-05-08";"2023-05-14";0;0;103,01
"Best";30608;"2023-05-08";"2023-05-14";1;3,3;98,21
"Beuningen";26235;"2023-05-08";"2023-05-14";0;0;198,62
"Beverwijk";42084;"2023-05-08";"2023-05-14";0;0;
"Bladel";20718;"2023-05-08";"2023-05-14";0;0;
"Blaricum";12359;"2023-05-08";"2023-05-14";0;0;240,87
"Bloemendaal";23732;"2023-05-08";"2023-05-14";0;0;458,36
"Bodegraven-Reeuwijk";35752;"2023-05-08";"2023-05-14";0;0;
"Boekel";11030;"2023-05-08";"2023-05-14";0;0;55,97
"Borger-Odoorn";25681;"2023-05-08";"2023-05-14";0;0;67,59
"Borne";24007;"2023-05-08";"2023-05-14";1;4,2;
"Borsele";22847;"2023-05-08";"2023-05-14";0;0;177,42
"Boxtel";33129;"2023-05-08";"2023-05-14";0;0;140,75
"Breda";184702;"2023-05-08";"2023-05-14";1;0,5;257,23
"Bronckhorst";36077;"2023-05-08";"2023-05-14";1;2,8;448,53
"Brummen";20890;"2023-05-08";"2023-05-14";0;0;441,34
"Brunssum";27674;"2023-05-08";"2023-05-14";0;0;162,96
"Bunnik";15590;"2023-05-08";"2023-05-14";0;0;54,54
"Bunschoten";22325;"2023-05-08";"2023-05-14";0;0;224,43
"Buren";27155;"2023-05-08";"2023-05-14";0;0;211,1
"Capelle aan den IJssel";67188;"2023-05-08";"2023-05-14";0;0;450,66
"Castricum";36263;"2023-05-08";"2023-05-14";2;5,5;
"Coevorden";35517;"2023-05-08";"2023-05-14";0;0;883,2
"Cranendonck";20669;"2023-05-08";"2023-05-14";0;0;259,99
"Culemborg";29397;"2023-05-08";"2023-05-14";0;0;638,25
"Dalfsen";29162;"2023-05-08";"2023-05-14";0;0;365,96
"Dantumadiel";18957;"2023-05-08";"2023-05-14";0;0;141,24
"De Bilt";43508;"2023-05-08";"2023-05-14";0;0;534,66
"De Fryske Marren";51597;"2023-05-08";"2023-05-14";0;0;204,83
"De Ronde Venen";44955;"2023-05-08";"2023-05-14";0;0;346,16
"De Wolden";24511;"2023-05-08";"2023-05-14";0;0;825,86
"Delft";104572;"2023-05-08";"2023-05-14";0;0;830,08
"Den Helder";56334;"2023-05-08";"2023-05-14";0;0;470,11
"Deurne";32606;"2023-05-08";"2023-05-14";0;0;159,42
"Deventer";101446;"2023-05-08";"2023-05-14";1;1;208,77
"Diemen";31822;"2023-05-08";"2023-05-14";0;0;392,56
"Dijk en Waard";87695;"2023-05-08";"2023-05-14";1;1,1;646,51
"Dinkelland";26594;"2023-05-08";"2023-05-14";0;0;91,74
"Doesburg";11036;"2023-05-08";"2023-05-14";0;0;493,68
"Doetinchem";58546;"2023-05-08";"2023-05-14";0;0;517,52
"Dongen";26483;"2023-05-08";"2023-05-14";1;3,8;321,63
"Dordrecht";119537;"2023-05-08";"2023-05-14";0;0;273,2
"Drechterland";19983;"2023-05-08";"2023-05-14";0;0;948,4
"Drimmelen";27476;"2023-05-08";"2023-05-14";0;0;194,58
"Dronten";42865;"2023-05-08";"2023-05-14";0;0;96,54
"Druten";19178;"2023-05-08";"2023-05-14";0;0;67,77
"Duiven";24946;"2023-05-08";"2023-05-14";0;0;175,61
"Echt-Susteren";31731;"2023-05-08";"2023-05-14";0;0;205,55
"Edam-Volendam";36471;"2023-05-08";"2023-05-14";0;0;959,97
"Ede";119986;"2023-05-08";"2023-05-14";0;0;81,07
"Eemnes";9450;"2023-05-08";"2023-05-14";0;0;240,87
"Eemsdelta";45389;"2023-05-08";"2023-05-14";1;2,2;677,05
"Eersel";19823;"2023-05-08";"2023-05-14";0;0;47,19
"Eijsden-Margraten";25857;"2023-05-08";"2023-05-14";0;0;237,53
"Eindhoven";238326;"2023-05-08";"2023-05-14";1;0,4;46,15
"Elburg";23740;"2023-05-08";"2023-05-14";0;0;690,51
"Emmen";107856;"2023-05-08";"2023-05-14";2;1,9;
"Enkhuizen";18620;"2023-05-08";"2023-05-14";0;0;948,4
"Enschede";160640;"2023-05-08";"2023-05-14";1;0,6;260,9
"Epe";33257;"2023-05-08";"2023-05-14";0;0;185,24
"Ermelo";27258;"2023-05-08";"2023-05-14";0;0;216,85
"Etten-Leur";44152;"2023-05-08";"2023-05-14";0;0;255,52
"Geertruidenberg";21944;"2023-05-08";"2023-05-14";0;0;85,91
"Geldrop-Mierlo";40131;"2023-05-08";"2023-05-14";0;0;46,35
"Gemert-Bakel";31040;"2023-05-08";"2023-05-14";0;0;199,61
"Gennep";17237;"2023-05-08";"2023-05-14";0;0;184,13
"Gilze en Rijen";26557;"2023-05-08";"2023-05-14";0;0;351,5
"Goeree-Overflakkee";51051;"2023-05-08";"2023-05-14";0;0;429,9
"Goes";38950;"2023-05-08";"2023-05-14";0;0;177,42
"Goirle";23979;"2023-05-08";"2023-05-14";0;0;249,56
"Gooise Meren";58846;"2023-05-08";"2023-05-14";0;0;321,85
"Gorinchem";37632;"2023-05-08";"2023-05-14";0;0;175,01
"Gouda";74095;"2023-05-08";"2023-05-14";2;2,7;805,94
"Groningen";234950;"2023-05-08";"2023-05-14";1;0,4;484,58
"Gulpen-Wittem";14178;"2023-05-08";"2023-05-14";0;0;270,67
"Haaksbergen";24268;"2023-05-08";"2023-05-14";0;0;161,75
"Haarlem";162898;"2023-05-08";"2023-05-14";0;0;671,55
"Haarlemmermeer";159336;"2023-05-08";"2023-05-14";0;0;172,45
"Halderberge";30770;"2023-05-08";"2023-05-14";0;0;147,21
"Hardenberg";61798;"2023-05-08";"2023-05-14";2;3,2;780,43
