"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"12-05-2021";"25-05-2021";49;192.6;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"12-05-2021";"25-05-2021";108;339;0;0;0;0
"Aalten";197;"Aalten";27121;"12-05-2021";"25-05-2021";58;213.9;1;3.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"12-05-2021";"25-05-2021";60;215.5;0;0;1;3.6
"Alblasserdam";482;"Alblasserdam";20165;"12-05-2021";"25-05-2021";62;307.5;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"12-05-2021";"25-05-2021";113;441.6;0;0;0;0
"Alkmaar";361;"Alkmaar";109436;"12-05-2021";"25-05-2021";252;230.3;3;2.7;1;0.9
"Almelo";141;"Almelo";73107;"12-05-2021";"25-05-2021";367;502;3;4.1;1;1.4
"Almere";34;"Almere";211893;"12-05-2021";"25-05-2021";446;210.5;7;3.3;1;0.5
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"12-05-2021";"25-05-2021";256;228.8;3;2.7;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"12-05-2021";"25-05-2021";19;186.2;0;0;0;0
"Altena";1959;"Altena";55967;"12-05-2021";"25-05-2021";167;298.4;3;5.4;0;0
"Ameland";60;"Ameland";3716;"12-05-2021";"25-05-2021";4;107.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"12-05-2021";"25-05-2021";359;228.3;2;1.3;0;0
"Amstelveen";362;"Amstelveen";91675;"12-05-2021";"25-05-2021";189;206.2;0;0;1;1.1
"Amsterdam";363;"Amsterdam";872757;"12-05-2021";"25-05-2021";2446;280.3;21;2.4;15;1.7
"Apeldoorn";200;"Apeldoorn";163818;"12-05-2021";"25-05-2021";386;235.6;0;0;1;0.6
"Arnhem";202;"Arnhem";161348;"12-05-2021";"25-05-2021";517;320.4;2;1.2;0;0
"Assen";106;"Assen";68599;"12-05-2021";"25-05-2021";108;157.4;3;4.4;0;0
"Asten";743;"Asten";16721;"12-05-2021";"25-05-2021";48;287.1;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"12-05-2021";"25-05-2021";32;466.5;0;0;0;0
"Baarn";308;"Baarn";24868;"12-05-2021";"25-05-2021";68;273.4;0;0;0;0
"Barendrecht";489;"Barendrecht";48714;"12-05-2021";"25-05-2021";176;361.3;2;4.1;1;2.1
"Barneveld";203;"Barneveld";59082;"12-05-2021";"25-05-2021";200;338.5;2;3.4;1;1.7
"Beek";888;"Beek";15865;"12-05-2021";"25-05-2021";50;315.2;0;0;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"12-05-2021";"25-05-2021";118;328.3;3;8.3;0;0
"Beemster";370;"Beemster";10022;"12-05-2021";"25-05-2021";22;219.5;0;0;0;0
"Beesel";889;"Beesel";13482;"12-05-2021";"25-05-2021";64;474.7;0;0;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"12-05-2021";"25-05-2021";84;240.1;0;0;0;0
"Bergeijk";1724;"Bergeijk";18635;"12-05-2021";"25-05-2021";48;257.6;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"12-05-2021";"25-05-2021";73;557.9;0;0;1;7.6
"Bergen (NH.)";373;"Bergen (NH.)";29839;"12-05-2021";"25-05-2021";47;157.5;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"12-05-2021";"25-05-2021";178;263.7;0;0;1;1.5
"Berkelland";1859;"Berkelland";43747;"12-05-2021";"25-05-2021";107;244.6;1;2.3;0;0
"Bernheze";1721;"Bernheze";31240;"12-05-2021";"25-05-2021";158;505.8;2;6.4;0;0
"Best";753;"Best";29988;"12-05-2021";"25-05-2021";86;286.8;0;0;0;0
"Beuningen";209;"Beuningen";25890;"12-05-2021";"25-05-2021";83;320.6;1;3.9;1;3.9
"Beverwijk";375;"Beverwijk";41626;"12-05-2021";"25-05-2021";88;211.4;0;0;0;0
"Bladel";1728;"Bladel";20390;"12-05-2021";"25-05-2021";61;299.2;0;0;1;4.9
"Blaricum";376;"Blaricum";11540;"12-05-2021";"25-05-2021";26;225.3;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"12-05-2021";"25-05-2021";29;123;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"12-05-2021";"25-05-2021";123;352.7;0;0;0;0
"Boekel";755;"Boekel";10785;"12-05-2021";"25-05-2021";67;621.2;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"12-05-2021";"25-05-2021";40;156.5;0;0;0;0
"Borne";147;"Borne";23312;"12-05-2021";"25-05-2021";109;467.6;0;0;0;0
"Borsele";654;"Borsele";22739;"12-05-2021";"25-05-2021";42;184.7;1;4.4;0;0
"Boxmeer";756;"Boxmeer";29365;"12-05-2021";"25-05-2021";126;429.1;1;3.4;0;0
"Boxtel";757;"Boxtel";32970;"12-05-2021";"25-05-2021";121;367;0;0;0;0
"Breda";758;"Breda";184069;"12-05-2021";"25-05-2021";628;341.2;6;3.3;0;0
"Brielle";501;"Brielle";17271;"12-05-2021";"25-05-2021";63;364.8;0;0;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"12-05-2021";"25-05-2021";87;241.3;0;0;0;0
"Brummen";213;"Brummen";20726;"12-05-2021";"25-05-2021";67;323.3;0;0;1;4.8
"Brunssum";899;"Brunssum";27821;"12-05-2021";"25-05-2021";88;316.3;4;14.4;2;7.2
"Bunnik";312;"Bunnik";15191;"12-05-2021";"25-05-2021";34;223.8;0;0;0;0
"Bunschoten";313;"Bunschoten";21866;"12-05-2021";"25-05-2021";55;251.5;1;4.6;0;0
"Buren";214;"Buren";26749;"12-05-2021";"25-05-2021";125;467.3;0;0;0;0
"Capelle aan den IJssel";502;"Capelle aan den IJssel";67122;"12-05-2021";"25-05-2021";211;314.4;2;3;1;1.5
"Castricum";383;"Castricum";35986;"12-05-2021";"25-05-2021";57;158.4;0;0;0;0
"Coevorden";109;"Coevorden";35297;"12-05-2021";"25-05-2021";85;240.8;1;2.8;0;0
"Cranendonck";1706;"Cranendonck";21138;"12-05-2021";"25-05-2021";70;331.2;0;0;0;0
"Cuijk";1684;"Cuijk";25130;"12-05-2021";"25-05-2021";67;266.6;0;0;0;0
"Culemborg";216;"Culemborg";28955;"12-05-2021";"25-05-2021";76;262.5;1;3.5;0;0
"Dalfsen";148;"Dalfsen";28587;"12-05-2021";"25-05-2021";79;276.3;0;0;0;0
"Dantumadiel";1891;"Dantumadiel";18922;"12-05-2021";"25-05-2021";56;296;0;0;0;0
"De Bilt";310;"De Bilt";43137;"12-05-2021";"25-05-2021";56;129.8;0;0;0;0
"De Fryske Marren";1940;"De Fryske Marren";51564;"12-05-2021";"25-05-2021";159;308.4;1;1.9;0;0
"De Ronde Venen";736;"De Ronde Venen";44456;"12-05-2021";"25-05-2021";121;272.2;1;2.2;0;0
"De Wolden";1690;"De Wolden";24330;"12-05-2021";"25-05-2021";88;361.7;0;0;0;0
"Delft";503;"Delft";103595;"12-05-2021";"25-05-2021";378;364.9;0;0;0;0
"Den Helder";400;"Den Helder";56296;"12-05-2021";"25-05-2021";117;207.8;1;1.8;0;0
"Deurne";762;"Deurne";32471;"12-05-2021";"25-05-2021";161;495.8;0;0;0;0
"Deventer";150;"Deventer";100719;"12-05-2021";"25-05-2021";284;282;6;6;2;2
"Diemen";384;"Diemen";30780;"12-05-2021";"25-05-2021";77;250.2;2;6.5;1;3.2
"Dinkelland";1774;"Dinkelland";26461;"12-05-2021";"25-05-2021";92;347.7;0;0;0;0
"Doesburg";221;"Doesburg";11077;"12-05-2021";"25-05-2021";25;225.7;1;9;0;0
"Doetinchem";222;"Doetinchem";58001;"12-05-2021";"25-05-2021";165;284.5;0;0;0;0
"Dongen";766;"Dongen";26222;"12-05-2021";"25-05-2021";95;362.3;1;3.8;0;0
"Dordrecht";505;"Dordrecht";119284;"12-05-2021";"25-05-2021";362;303.5;1;0.8;3;2.5
"Drechterland";498;"Drechterland";19719;"12-05-2021";"25-05-2021";65;329.6;1;5.1;0;0
"Drimmelen";1719;"Drimmelen";27272;"12-05-2021";"25-05-2021";99;363;0;0;1;3.7
"Dronten";303;"Dronten";41555;"12-05-2021";"25-05-2021";85;204.5;0;0;0;0
"Druten";225;"Druten";18926;"12-05-2021";"25-05-2021";54;285.3;0;0;0;0
"Duiven";226;"Duiven";25126;"12-05-2021";"25-05-2021";78;310.4;0;0;0;0
"Echt-Susteren";1711;"Echt-Susteren";31610;"12-05-2021";"25-05-2021";94;297.4;1;3.2;0;0
"Edam-Volendam";385;"Edam-Volendam";36197;"12-05-2021";"25-05-2021";128;353.6;1;2.8;0;0
"Ede";228;"Ede";117165;"12-05-2021";"25-05-2021";359;306.4;1;0.9;2;1.7
"Eemnes";317;"Eemnes";9247;"12-05-2021";"25-05-2021";28;302.8;0;0;0;0
"Eemsdelta";1979;"Eemsdelta";45857;"12-05-2021";"25-05-2021";79;172.3;1;2.2;1;2.2
"Eersel";770;"Eersel";19313;"12-05-2021";"25-05-2021";46;238.2;0;0;0;0
"Eijsden-Margraten";1903;"Eijsden-Margraten";25768;"12-05-2021";"25-05-2021";85;329.9;4;15.5;0;0
