"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"02-03-2022";"15-03-2022";15457;2819;55;10;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"02-03-2022";"15-03-2022";14134;9090;43;27.7;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"02-03-2022";"15-03-2022";1181;4649.8;2;7.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"02-03-2022";"15-03-2022";1387;4335.6;2;6.3;0;0
"Aalten";197;"Aalten";27120;"02-03-2022";"15-03-2022";1619;5969.8;7;25.8;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"02-03-2022";"15-03-2022";1084;3885.3;6;21.5;0;0
"Alblasserdam";482;"Alblasserdam";20136;"02-03-2022";"15-03-2022";442;2195.1;3;14.9;0;0
"Albrandswaard";613;"Albrandswaard";25814;"02-03-2022";"15-03-2022";839;3250.2;1;3.9;0;0
"Alkmaar";361;"Alkmaar";109896;"02-03-2022";"15-03-2022";4069;3702.6;23;20.9;0;0
"Almelo";141;"Almelo";73132;"02-03-2022";"15-03-2022";2993;4092.6;9;12.3;0;0
"Almere";34;"Almere";214715;"02-03-2022";"15-03-2022";5927;2760.4;19;8.8;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"02-03-2022";"15-03-2022";4457;3958.7;11;9.8;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"02-03-2022";"15-03-2022";659;6353;1;9.6;0;0
"Altena";1959;"Altena";56352;"02-03-2022";"15-03-2022";2164;3840.1;11;19.5;0;0
"Ameland";60;"Ameland";3746;"02-03-2022";"15-03-2022";138;3683.9;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"02-03-2022";"15-03-2022";7036;4468.4;24;15.2;2;1.3
"Amstelveen";362;"Amstelveen";90829;"02-03-2022";"15-03-2022";3053;3361.3;4;4.4;0;0
"Amsterdam";363;"Amsterdam";873338;"02-03-2022";"15-03-2022";31406;3596.1;71;8.1;9;1
